highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details,brand
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 6.5 kg: Suitable for bachelors & couples,Warranty: 2 years on product, 10 years on motor (T&C),1000 RPM: higher spin speeds helps in faster drying,10 washing programs,Special features: inverter direct drive motor, fast & Clean wash with 6 Motions, child lock, time delay, Jog dial for programs selection, smart diagnosis,Baby Care,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",,"6 Motion Control Technology ,Inverter Direct Drive ,Smart Diagnosis ,Heater ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ","LG 6.5 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1065ZDL, Luxury Silver, Direct Drive Technology)",,,"Brand,LG,Model,FHM1065ZDL,Energy Efficiency,5 Star Rating,Capacity,6.50 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"BrandLG ModelT70SPSF2Z Washing Machine TypeFully Automatic Washing Machine Capacity7.0 Kg NO.OF WASHING PROGRAM5 Wash ModeNormal, Pre Wash+ Normal,Gentle (Wool/Saree) Type/MaterialStainless Steel Child LockYes WheelsYes Water Level SelectorYes ColorSilver FilterYes SIZE (W X D X H)540 x 540 x 870 mm WarrantyStandard Warranty- 1 Year on Product from Brand. 10 YEARS WARRANTY ON MOTOR",,,LG T70SPSF2Z (7.0 Kg) Fully Automatic Top Loading Washing Machine (Middle Free Silver),22990.00,,"Brand,LG,Model,T70SPSF2Z,Capacity,7 Kilograms,	Part Number	,8903124050062,Form Factor,Top-Loading,Colour,GREY/SLIVER,Access Location,Top Load,Batteries Required,No, , ",LG
"Fully-automatic front-loading washing machine; 7.0 kg capacity,Energy Rating: 5 Star,Warranty: 2 years on product, 10 years on motor,Fully-automatic front load washing machine: best wash quality, energy and water efficient,Capacity 7.0 kg: Suitable for families with 3 to 4 members,Energy Rating 5 Star: Best in class efficiency,1000 RPM: higher spin speeds helps in faster drying,Washing Programs: 14 basic washing programs and can be downloaded multiple,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, crome on door, Jog dial for programs selection, smart diagnosis",,"6 Motion Control Technology ,Inverter Direct Drive ,Steam Wash ,SmartThinQ NFC ,Smart Diagnosis ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ,Heater ","LG 7.0 kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHT1007ZNW, Luxury Silver)",33450.00,,"Brand,LG,Model,FHT1007ZNW,Energy Efficiency,5 Star Rating,Capacity,7 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 6.0 kg: Suitable for bachelors & couples,Warranty: 2 years on product, 10 years on motor (T&C),1000 RPM: higher spin speeds helps in faster drying,Washing programs: 14 basic washing programs and can be downloaded multiple,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with turbo wash, child lock, time delay, crome on door, Jog dial for programs selection, smart diagnosis,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",,"6 Motion Control Technology ,Inverter Direct Drive ,Steam Wash ,LG ThinQ NFC ,Smart Diagnosis ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ,Heater ","LG 6.0 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHT1006ZNW, White, 6 Motion Direct Drive)",26700.00,,"Brand,LG,Model,FHT1006ZNW,Energy Efficiency,5 Star Rating,Capacity,6 Kilograms,Annual Energy Consumption,0.081 Kilowatt Hours,Installation Type,Free Standing,	Part Number	,8806098658688,Form Factor,Front-Loading,Special Features,Inverter,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 8.0 kg: Suitable for bachelors & couples,Warranty: 2 years on product, 10 years on motor (T&C),1200 RPM: higher spin speeds helps in faster drying,10 washing programs,Special features: inverter direct drive motor, fast & Clean wash with 6 Motions, child lock, time delay, crome on door, Jog dial for programs selection, smart diagnosis,Baby Care,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",368.00,"6 Motion Control Technology ,Inverter Direct Drive ,Smart Diagnosis ,Heater ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ","LG 8.0 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1208ZDL, Luxury Silver, Direct Drive Technology)",,4.3,"Brand,LG,Model,FHM1208ZDL,Energy Efficiency,5 Star Rating,Capacity,8 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"5 Star Rating,3 + 1 Wash Programs,Lint collector,Collar Scrubber,Roller Jet Pulsator",411.00,,"LG Wash 8Kg and Spin 6 Kg, (P8030SRAZ) 5 Star, Rust Free Body, Roller Jet Pulsator, Wind Jet Dry",,4.3,"Brand,LG,Model,P8030SRAZ,Energy Efficiency,5 Star,Capacity,8 Kilograms,Installation Type,Free Standing,	Part Number	,8806098722259,Special Features,Lint collector, collar scrubber, Rust free body,Control Console,Semi Automatic,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit Inlet hose, 1 unit of QRG, 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 7.0 kg: Suitable for bachelors & couples,Warranty: 2 years on product, 10 years on motor (T&C),1200 RPM: higher spin speeds helps in faster drying,10 washing programs,Special features: inverter direct drive motor, fast & Clean wash with 6 Motions, child lock, time delay, Jog dial for programs selection, smart diagnosis,Baby Care,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",365.00,"6 Motion Control Technology ,Inverter Direct Drive ,Smart Diagnosis ,Heater ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ","LG 7.0 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1207ZDL, Luxury Silver, 6 Motion Technology)",,4.2,"Brand,LG,Model,FHM1207ZDL,Energy Efficiency,5 Star Rating,Capacity,7 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 6.0 kg: Suitable for bachelors & couples,Warranty: 2 years on product, 10 years on motor (T&C),1000 RPM: higher spin speeds helps in faster drying,10 washing programs,Special features: inverter direct drive motor, fast & Clean wash with 6 Motions, child lock, time delay, Baby Care, Jog dial for programs selection, smart diagnosis,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",905.00,"6 Motion Control Technology ,Inverter Direct Drive ,Smart Diagnosis ,Heater ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ","LG 6.0 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1006ADW, White, Direct Drive Technology)",,4.3,"Brand,LG,Model,FHM1006ADW,Energy Efficiency,5 Star Rating,Capacity,6 Kilograms,Annual Energy Consumption,0.081 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,5 Star Energy Rated Model : Best in class efficiency,Manufacturer Warranty: 2 years on product and 10 years on motor (T&C),780 rpm: Higher spin speeds helps in faster drying,Wash Programs: Normal, Pre Wash+Normal, Gentle (Wool/Saree), Quick Wash, Strong (Jeans), Tub Clean/Aqua reserve,Also included in the box: 1 Washing Machine, 1 Anti Rat cover, 1 Owner’s manual,OT Hose,Drain Hose,QRG,Detergent Powder(200gm Packet),Smart Inverter Technology: an energy saving technology and it’s revolutionary water proof motor doesn't corrode and is the most durable one in its league,Spl. Feature: TurboDrum, Tub Clean, To sterilize the inner and outer tub for preventing unpleasant smell of tub, Smart Cleaning, Child Lock, Smart Diagnosis, Normal Pulsator, 3-Step Wash,Fuzzy Logic Control, Stainless Steel Inner Tub, Cold Water inlet, Memory Backup, Auto Balance System, Auto Restart, Standby Power Save,Capacity 7.0 Kg : Suitable for families with 3 to 4 members",,"Smart Inverter Motor ,Long Motor Life ,Most Powerful Washing ,Save Time & Money ,For Hygienic Washing ,Keep Settings Safe ,Start from where it stopped ","LG 7.0 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T70SKSF1Z, Middle Free Silver)",18990.00,,"Brand,LG,Model,T70SKSF1Z,Energy Efficiency,5 Star Rating,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Middle Free Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 Washing Machine, 1 Anti Rat cover, 1 Owner's manual, 1 Service Manual, 1 OT Hose, 1 Drain Hose,1 QRG,1 Detergent Powder(200gm Packet),Batteries Included,No,Batteries Required,No, , ",LG
"Fully-automatic front load washing machine: best wash quality, energy and water efficient,Energy Rating 5 Star: best in class efficiency,Capacity 6.5 kg: Suitable for families with 3 to 4 members,Warranty: 2 years on product, 10 years on motor (T&C),1200 RPM: higher spin speeds helps in faster drying,Washing programs: 14 basic washing programs and can be downloaded multiple,Special features: inverter direct drive motor, washer with steam, fast & Clean wash with 6 Motion DD, child lock, time delay, crome on door, Jog dial for programs selection, smart diagnosis,Included Components : 1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual",,"6 Motion Control Technology ,Inverter Direct Drive ,Steam Wash ,LG ThinQ NFC ,Smart Diagnosis ,Waterproof Touch Panel ,Auto Restart ,Stainless Steel Drum ,Tub Clean ,Child Lock ,Baby Care ,Heater ","LG 6.5 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHT1265ZNL, Luxury Silver, 6 Motion Direct Drive)",30990.00,,"Brand,LG,Model,FHT1265ZNL,Energy Efficiency,5 Star Rating,Capacity,6.50 Kilograms,Annual Energy Consumption,0.082 Kilowatt Hours,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Inverter,Colour,Luxury Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless-Steel,Included Components,1 unit of machine, 1 unit of drain hose, 1 unit OT hose, 1 unit of QRG, 1 unit of user manual,Batteries Included,No,Batteries Required,No, , ",LG
