highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details
"Fully Automatic Front Loading,8.0 Kg Capacity,Foam Detection System,Anti Vibration Design,Multiple Water Protection",60,,"Bosch 8 Kg Fully Automatic Front Load Washing Machine (WAT2846SIN, Silver)","36,950.00",4.1,"Brand,Bosch,Model,WAT2846SIN,Capacity,8 Kilograms,	Part Number	,BOSCH,Form Factor,Front-Loading,Colour,silver,Access Location,Front Load,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,Capacity 6.5 kg :Suitable for families with 3 to 4 members,Warranty: 2 years on product, 10 years on motor,680 rpm: Higher the spin speed, faster the drying time,Special Features: Power Wave wash system, Magic Filter,Special Features: Soft closing Lead,One touch Start,Dual Dispenser (liquid and powder dispenser),Country of Origin: China",147,,"Bosch 6.5 Kg Fully-Automatic Top Loading Washing Machine (WOE652D0IN, Dark Grey)",,4.2,"Brand,Bosch,Model,WOE652D0IN,Capacity,6.50 Kilograms,Noise Level Washing,65 dB,Noise Level Spinning,75 dB,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Power off memory, Dual dispenser, Child lock, Magic filter,Colour,Dark Grey,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Wattage,360 Watts,Material,Cast-Iron,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Anti-Tangle feature minimizes tangles in laundry by up to 50% making it gentler on fabric and easier to iron,EcoSilence Drive motor that's powerful and durable yet quieter than a normal conversation,Wash, Rinse, spin within 60mins for perfect results,ActiveWater: Pressure sensor that detects half-loads and cuts water intake in half,VarioDrum's breakthrough wave-droplet design provides a thorough yet gentle clean for fine textiles",51,,Bosch Front Loading 8kg WAT2846WIN (White) 2019 Edition,"37,690.00",4.3,"Brand,Bosch,Model,WAT2846WIN,Capacity,8 Kilograms,	Part Number	,BOSCH,Form Factor,Front-Loading,Colour,white,Access Location,Front Load,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine. Length electrical supply cord:160 cm; Dimensions of the product:85x60x60cm,Capacity 7 kg: Suitable for families with 3 to 4 members.,Warranty : 2 years on product and 10 years on motor,1200 RPM: Higher the spin speed, faster the drying time,Conveniently freshen up lightly-soiled laundry in just 15 minutes with Super 15,Consumption: energy - 0.99 kWh; water - 47 l,Programmes: Synthetics, Hygiene, Delicate/Silk, Daily wash, Wool, Cottons,Country of Origin: India","1,892",,"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24268IN, silver/grey)",,4.3,"Brand,Bosch,Model,WAK24268IN,Capacity,7 Kilograms,Water Consumption,47 Liters,Noise Level,55 dB,Installation Type,Free Standing,	Part Number	,WAK24268IN,Form Factor,Front-Loading,Special Features,In built heater,Colour,Grey,Control Console,Fully Automatic,Access Location,Front Load,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine; 8 kg,15 wash programs and Express wash,Warranty : 2 years on product, 12 years on motor,32 cm : porthole and 165degree swing door,Anti-vibration design,Active water plus,Vario drum,Touch panel,Eco silence inverter motor,Country of Origin: India",525,,"Bosch 8 kg Fully-Automatic Front Loading Washing Machine (WAT24463IN, White)",,4.3,"Brand,Bosch,Model,WAT24463IN,Capacity,8 Kilograms,Noise Level Washing,49 dB,Noise Level Spinning,74 dB,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Steel,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine,Capacity 7 kg: Suitable for families with 3 to 4 members,Warranty: 2 years on product and 10 years on motor,1200 RPM: Higher the spin speed, faster the drying time,Special features: Variodrum, LED display and foam detection system, Unbalanced load detection and multiple water protection, ,,Easy Returns: This product is eligible for full refund within 10 days of delivery in case of any product defects, damage or features not matching the description provided,Country of Origin: India","2,388",,"Bosch 7 kg Fully-Automatic Front Loading Washing Machine (WAK24168IN, Silver)","27,990.00",4.3,"Brand,Bosch,Model,WAK24168IN,Capacity,7 Kilograms,Water Consumption,47 Liters,Noise Level,55 dB,Installation Type,Free Standing,	Part Number	,WAK24168IN,Form Factor,Front-Loading,Special Features,In built heater,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,Capacity 6.5 kg :Suitable for families with 3 to 4 members,Warranty: 2 years on product, 10 years on motor,680 rpm: Higher the spin speed, faster the drying time,Special Features: Power Wave wash system, Magic Filter,Special Features: Soft closing Lead,One touch Start,Dual Dispenser (liquid and powder dispenser),Dimensions (H X W X D): 100 cm x 60.1 cm x 63 cm,Country of Origin: China",542,,Bosch 6.5 Kg Fully-Automatic Top Loading Washing Machine (WOE654Y0IN grey),,4.2,"Brand,Bosch,Model,WOE654Y0IN,Capacity,6.50 Kilograms,Noise Level Washing,65 dB,Noise Level Spinning,75 dB,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Power off memory, Dual dispenser, Child lock, Magic filter,Colour,Grey,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Wattage,360 Watts,Material,Cast-Iron,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 8 kg :Suitable for families with 5 or more members,Warranty: 2 years on product, 10 years on motor,1200 rpm: Higher the spin speed, faster the drying time, Length electrical supply cord (cm): 160 cm and Frequency (Hz): 50 Hz,Special Features: Express wash, Anti- vibration design, Cottons, Synthetics, Daily Wash, Delicates/Silk, Drum Clean,Spin/Drain, Rinse, Shirts, Sportswear, Kidswear, Low Tangel, Express Wash, AlleryPluys, Super15/30 min,Special Features: Active water plus,Vario drum,Touch panel,Dimensions (H X W X D): 84.8 x 59.8 x 63.2 cm,Country of Origin: India",469,,"Bosch 8 kg Fully-Automatic Front Loading Washing Machine (WAT24464IN, Silver)","32,990.00",4.2,"Brand,Bosch,Model,WAT24464IN,Capacity,8 Kilograms,Noise Level Washing,49 dB,Noise Level Spinning,74 dB,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Steel,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine,6.5 kg capacity,10 wash programs,Warranty: 2 years on product and 10 years on motor,Active water and 3D aqua spa,Re load function, anti vibration design and structured drum,Dimensions (H X W X D): 85 x 60 x 60 cm",491,,"Bosch 6.5 kg Fully-Automatic Front Loading Washing Machine (WAK20166IN, Titanium)","31,000.00",4.3,"Brand,Bosch,Model,WAK20166IN,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,Grey,Control Console,Fully Automatic,Access Location,Front Load,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,Capacity 6.5 kg :Suitable for families with 3 to 4 members,Warranty: 2 years on product, 10 years on motor,680 rpm: Higher the spin speed, faster the drying time ; Dimensions (H X W X D): 96 cm x 55 cm x 56.5 cm ; 8 distinct wash programmes and 8 Water levels for washes ; Safety: Child-proof lock and Automatic tub stop on lid opening during operation ; Length electrical supply cord (cm): 190 cm ; Frequency (Hz):50Hz ; Hot & cold water intake,Special Features: Power Wave wash system, Magic Filter,Special Features: Steel Drum,One touch Start and Soft closing Lid,Dual Dispenser (liquid and powder dispenser),Country of Origin: China","1,068",,"Bosch 6.5 Kg Fully-Automatic Top Loading Washing Machine (WOE654W0IN, White)",,4.3,"Brand,Bosch,Model,WOE654W0IN,Capacity,6.50 Kilograms,Noise Level Washing,65 dB,Noise Level Spinning,75 dB,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Anti vibration design, Vario drum, LED display,Colour,White,Control Console,Fully Automatic,Access Location,Top Load,Voltage,230 Volts,Wattage,360 Watts,Material,Steel,Included Components,1 Washing Machine, 1 Inlet pipe, 1 Drain Hose, 1 water filter, 1 User manual,Batteries Included,No,Batteries Required,No, , "
