highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details
"Fully-automatic front-loading washing machine; 7.5 kg,14 wash programs , Door opening angle (degree):145° and Door Open Diameter (mm):320,Warranty: 4 years comprehensive warranty,Aqua Energie: Water is energised by this built-in device, the filter treatment dissolves detergent better to give clothes a softer wash,Crescent Moon Drum: Smooth crescent moon grooves on the drum surface create a gentle water cushion that prevents damage to fabrics,Door glass shower; Spin Speed Options(RPM): 1200,Ball Valve Technology: The float ball valve lets the water out while keeping the detergent in, this technology prevents wastage and enhances the wash,Unbalance Correction: Unbalanced clothes are automatically detected and redistributed to maintain a consistent and stable wash,Laundry add- put in missed laundry after the wash cycle has started",80,"Aqua Energie ,Laundry Add Option ,Pre Wash ,Anti Allergen ,Ball Valve Technology ,High–Low Voltage Protection ","IFB 7.5 kg Fully-Automatic Front Loading Washing Machine (Elite WX, White, Inbuilt Heater, Aqua Energie water softener)","33,290.00",4.3,"Brand,IFB,Model,Elite WX,Capacity,7.50 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,3D Wash System, Auto Balance System, Child lock, Time delay,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,240 Volts,Material,Stainless steel,Included Components,1 Washing Machine and Manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 6 kg :Suitable for bachelors & couples,Warranty: 4 years on product, 4 years on motor,800 rpm: Higher the spin speed, faster the drying time, Wash Programs> 15 Wash Programs,Special features: Crescent Moon Drum: Smooth crescent moon grooves on the drum surface create a gentle water cushion that prevents damage to fabrics, 2D Wash System: Wash and rinse cycle uses a shower system that ensures thorough soaking and a cleaner wash, Ball Valve Technology: The float ball valve lets the water out while keeping the detergent in, this technology prevents wastage and enhances the wash,For further queries, contact us at 1860 4255 678 / 1860 208 5678","1,576","Aqua Energie ,Anti Allergen ,Laundry Add Option ,Ball Valve Technology ,Express Wash ,High–Low Voltage Protection ","IFB 6 kg Fully-Automatic Front Loading Washing Machine (Diva Aqua SX, Silver, Inbuilt Heater, Aqua Energie water softener)","21,990.00",4,"Brand,IFB,Model,Diva Aqua SX,Capacity,6 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Wattage,930 Watts,Door Material,Plastic,Material,Stainless steel,Included Components,Washing Machine,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 7 kg :Suitable for families with 3 to 4 members,Warranty: 4 years on product, 4 years on motor,1000 rpm: Higher the spin speed, faster the drying time,Wash programs: 15, Water Consumption: 45 L; Power Supply : 220-240V, Single Phase, 50 HZ, Water Supply: 0.3 Bar to 10 Bar,Special Features: Aqua Energie: Water is energised by this built-in device, the filter treatment dissolves detergent better to give clothes a softer wash,Ball Valve Technology: The Float Ball Valve lets the water out while keeping the detergent in, this technology prevents wastage and enhances the wash,Unbalance Correction: Unbalanced clothes are automatically detected and redistributed to maintain a consistent and stable wash,Laundry add- put in missed laundry after the wash cycle has started, auto restart, foam detection, self diagnosis",380,"Aqua Energie ,Express Wash ,Anti Allergen ,Laundry Add Option ,Pre Wash ,Ball Valve Technology ","IFB 7 kg Fully-Automatic Front Loading Washing Machine (Serena Aqua SXA LDT, Silver, Inbuilt Heater, Aqua Energie water softener)","27,490.00",3.9,"Brand,IFB,Model,Serena Aqua SXA LDT,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,Auto Balance System, Child Lock,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,220 Volts,Material,Stainless steel,Included Components,1 Washing Machine, User Manual, Drain Hose, Water Inlet Pipe and Protective Rat Mesh,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front load washing machine: Best Wash Quality, Energy and Water efficient,Capacity 7 kg :Suitable for families with 3 to 4 members,Warranty: 4 years on product, 4 years on motor,1000 rpm: Higher the spin speed, faster the drying time,Special Features: Aqua Energie: Water is energised by this built-in device, the filter treatment dissolves detergent better to give clothes a softer wash,Special Features: Crescent Moon Drum: Smooth crescent moon grooves on the drum surface create a gentle water cushion that prevents damage to fabrics,Ball Valve Technology: The float ball valve lets the water out while keeping the detergent in, this technology prevents wastage and enhances the wash,Unbalance Correction: Unbalanced clothes are automatically detected and redistributed to maintain a consistent and stable wash",48,"3D Wash System ,Aqua Energie ,Anti Allergen ,Express Wash ,Ball Valve Technology ,Laundry Add Option ","IFB 7 kg Fully-Automatic Front Loading Washing Machine (Serena WX, White, Inbuilt Heater, Aqua Energie water softener)","32,490.00",3.9,"Brand,IFB,Model,Serena WX,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,3D Wash System, Express Wash, High Low Voltage Protection, Auto Imbalance System, Child Lock,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,240 Volts,Material,Stainless steel,Included Components,1 Washing Machine and Manual,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine; 8 kg capacity,14 wash programs,Warranty: 4 years on product, 4 years on motor and for any product related queries contact_us on: [1860 208 5678],Best wash quality,Energy and water efficient, Power Features: 230V,Wash care programs: 1. Cotton heavily soiled, cotton normally soiled, daily wash, lingerie, program repeat, silk special, curtains, mixed fabric and wool or hand wash additives",320,"White LED Touch Panel ,4D Wash  ,Smart LED Lit, Multi-position Program Encoder ,Repeat Wash ,Tub Clean  ,Ball Valve Technology ","IFB 8kg Fully-Automatic Front Loading Washing Machine (Senator WXS, Silver, Inbuilt Heater, Aqua Energie water softener)","34,990.00",4.2,"Brand,IFB,Model,Senator WXS,Capacity,8 Kilograms,Installation Type,Free Standing,Form Factor,Front load,Special Features,In built heater,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless steel,Included Components,1 Indoor Unit,Batteries Required,No, , "
"Fully-automatic top-loading washing machine,6.5 kg capacity,Water Level: 8,Water Inlet Selection: Hot/Warm/Cold,A big LED display screen is the new range of top loader washing machines will complement your home decor and you will definitely find them easy to use too,Aqua energie, aqua spa, 3D wash and triadic pulsator,Auto softener dispenser, bleach dispenser,lint tower filter and crescent moon drum,Smart sense, express wash and aqua conserve,Effective 26th May 2018, all customers who have bought IFB top load washing machines will be eligible for 4 years comprehensive warranty",218,"Deep Clean ,Crescent Moon Drum ,Aqua Energie ,Lint Tower Filter ,3D Wash ,Smart Sense ","IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RCG/RCSG Aqua, Graphite Grey, Aqua Energie water softener)","18,990.00",3.9,"Brand,IFB,Model,TL-RCG/RCSG Aqua,Capacity,6.50 Kilograms,Water Consumption,104 Liters,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Express Wash, LED display, Auto Balance, 3D Wash System,Colour,Grey,Control Console,Fully Automatic,Access Location,Top Load,Voltage,240 Volts,Wattage,360 Watts,Material,Stainless steel,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top load washing machine: Affordable with great wash quality, Easy to use,Capacity 6.5 kg :Suitable for families with 3 to 4 members,Warranty: 4 years on product, 4 years on motor,720 rpm: Higher the spin speed, faster the drying time,Water Level: 8, water inlet selection: no,Special Features: A big LED display screen is the new range of top loader washing machines will complement your home decor and you will definitely find them easy to use too,Aqua energie, aqua spa, 3D wash and triadic pulsator, Smart sensors,Auto softener dispenser, bleach dispenser,lint tower filter and crescent moon drum,Net dimension (WxDxH-mm)570 x 590 x 950","1,400","Deep Clean ,Crescent Moon Drum ,Aqua Spa Therapy ,Aqua Energie ,3D Wash System ,Smart Sense ","IFB 6.5 kg Fully-Automatic Top Loading Washing Machine (TL-RDW 6.5kg Aqua, Ivory White, Aqua Energie water softener)","16,790.00",4,"Brand,IFB,Model,TL-RDW 6.5kg Aqua,Capacity,6.50 Kilograms,Water Consumption,104 Liters,Installation Type,Free Standing,	Part Number	,8903287021008,Form Factor,Top-Loading,Special Features,LED display, Auto Balance, 3D Wash System,Colour,White,Control Console,Fully Automatic,Access Location,Top Load,Voltage,240 Volts,Wattage,360 Watts,Material,Stainless steel,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top-loading washing machine,7 kg capacity ; Maximum Connected Load (Watts): 370 ; Power SupplyAC: 220 - 240/ 50Hz ; Water Pressure: 0.3 bar to 8 bar,8 wash programs,Water Level: 10,Water Inlet Selection: Hot/Warm/Cold,A big LED display screen is the new range of top loader washing machines will complement your home decor and you will definitely find them easy to use too,Aqua energie, aqua spa, 3D wash and triadic pulsator,Auto softener dispenser, bleach dispenser,lint tower filter and crescent moon drum,Smart sense, express wash and aqua conserve,Effective 26th May 2018, all customers who have bought IFB top load washing machines will be eligible for 4 years comprehensive warranty",377,"3D Wash ,Crescent Moon Drum ,Aqua Energie ,Lint Tower Filter ,Deep Clean ,Favorite Program ","IFB 7 kg Fully-Automatic Top Loading Washing Machine (TL-SGDG 7.0Kg AQUA, Sparkling Silver, Aqua Energie water softener)","21,990.00",3.9,"Brand,IFB,Model,TL-SGDG 7.0Kg AQUA,Capacity,7 Kilograms,Water Consumption,118 Liters,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Auto Softener Dispenser, LED display, Auto Balance, 3D Wash System, Bleach Dispenser,Colour,Sparkling Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,240 Volts,Wattage,370 Watts,Material,Stainless steel,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic front-loading washing machine; 6.5 kg capacity,10 wash programs,Warranty: 4 years on product, 4 years on motor,Body – Silver, control panel- Silver, front – 1 piece [metal], door – Black with chrome rim [double tone], door outer dial – 505 mm, motor drive – AC control, display – amber colour LED 7 segment,Aqua energy, 3D wash, 7 swirl wash, protective rat mesh, express wash, cradle wash, crescent moon drum, Prewash, No of wash programs – 11,Unbalance correction, high/ low voltage control, foam detection, auto restart, self diagnosis, operations for selection – 10,Programs Selector – smart encoder, programs knob – nil illumination, button type – tact, buttons quantity – 5",15,"Aqua Energie ,Laundry Add Option ,Anti Allergen ,Pre Wash ,Express Wash ,Ball Valve Technology ","IFB 6.5 Kg Fully-Automatic Front Loading Washing Machine (ELENA ZXS, Silver)","29,490.00",4,"Brand,IFB,Model,ELENA ZXS,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,Silver,Control Console,Fully Automatic,Access Location,Front Load,Voltage,240 Volts,Material,Stainless steel,Included Components,1 Washing Machine, 1 User Manual,Batteries Required,No, , "
"Fully-automatic front-loading washing machine; 6.5 kg capacity,10 wash programs ; Temperature Options: 30 °C, 40 °C, 60 °C, 95 °C, Cold ; Power Supply: 220-240V, Single Phase, 50 HZ ; Water Supply: 0.3 Bar - 10 Bar,Warranty: 4 years on product, 4 years on motor,Warranty: 4 years on product and 10 years spare parts support,Capacity: 6.5kg,Fully-automatic front load washing machine: best wash quality, energy and water efficient",37,"Pre Wash ,Time Delay/Delay start ,Auto Imbalance Vibration Control ,Laundry Add Option ,Rinse Hold ,Voltage Control ","IFB 6.5 Kg Fully-Automatic Front Loading Washing Machine (Elena ZX, White, Inbuilt Heater)","28,990.00",4.2,"Brand,IFB,Model,Elena ZX,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Front-Loading,Special Features,In built heater,Colour,White,Control Console,Fully Automatic,Access Location,Front Load,Voltage,230 Volts,Material,Stainless steel,Included Components,1 Indoor Unit, 1 Manuals, 1 Warranty Card,Batteries Included,No,Batteries Required,No, , "
