add_feat,body_feat,conv_feat,dimensions,gen_spec,highlights,no_ratings,prod_desc,product_name,product_price,product_rating,wash_mod
,"Convenience Features,Digital Display,Yes","Dimensions,Width,54 cm,Height,91 cm,Depth,54 cm,Weight,33 kg",,"General,In The Box,1 Machine Unit, Drain Hose, OT Hose, QRG, User Manual,Brand,LG,Model Name,T80SJSF1Z,Function Type,Fully Automatic Top Load,Energy Rating,5,Washing Capacity,8 kg,Washing Method,Pulsator,Maximum Spin Speed,650 rpm,In-built Heater,Yes,Color,Silver,Shade,Middle Free Silver,Installation & Demo,Installation & Demo,Authorised Service Engineer will install the Washing Machine, make it operational and explain the below details. 1. How to Use, 2. Features,3. Do's and Dont's.,Warranty,Warranty Summary,2 Years Warranty on Complete Washing Machine and 10 Years on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Body Features,Tub Material,Stainless Steel,Convenience Features,Digital Display,Yes,Dimensions,Width,54 cm,Height,91 cm,Depth,54 cm,Weight,33 kg","Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,650 rpm  : Higher the spin speed, lower the drying time,5 Star Rating,8 kg",,,"LG 8 kg Fully Automatic Top Load with In-built Heater Silver,  (T80SJSF1Z)","28,990",,"Body Features,Tub Material,Stainless Steel"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No","Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes","Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel","General,In The Box,1 Machine Unit, Drain Hose, OT Hose, QRG, User Manual,Brand,LG,Model Name,FHM1208ZDL.ALSQEIL,Function Type,Fully Automatic Front Load,Energy Rating,5,Washing Capacity,8 kg,Washing Method,Tumble,Maximum Spin Speed,1200 rpm,In-built Heater,Yes,Color,Silver,Maximum Temperature,95 DegreeC,Water Level Selector,Yes,Shade,Silver,Technology Used,6 Motion Direct Drive Technology,Installation & Demo,Installation & Demo,Authorised Service Engineer will install the Washing Machine, make it operational and explain the below details. 1. How to Use, 2. Features,3. Do's and Dont's.,Warranty,Warranty Summary,2 Years on Product and 10 Years on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No,Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel,Dimensions,Width,60 cm,Height,85 cm,Depth,55 cm,Cord Length,1250 mm,Weight,65 kg","Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,5 Star Rating,8 kg","2,084",,"LG 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,  (FHM1208ZDL.ALSQEIL)","32,990",4.4,"Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Stainless Steel,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No","Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Wrinkle Prevention,No,Lint Filter,Yes","Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Auto Restart, Smart Inverter","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit of QRG (quick reference guide), 1 unit of user manual, 1 unit OT hose & 1 Unit Detergent Powder (200gm packet), Anti Rat Cover,Brand,LG,Model Name,T8069NEDLH,Function Type,Fully Automatic Top Load,Energy Rating,0,Washing Capacity,7 kg,Washing Method,Pulsator,Maximum Spin Speed,780 rpm,In-built Heater,No,Color,Grey,Dryer Type,Air Dry,Water Level Selector,Yes,Shade,Middle Free Silver,Installation & Demo,Installation & Demo,Authorised Service Engineer will install the Washing Machine, make it operational and explain the below details. 1. How to Use, 2. Features,3. Do's and Dont's.,Warranty,Warranty Summary,2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts, Any Accessories External to the Product, The Product is not Used According to the Instructions Given in the Instructions Manual, Defects Caused by Improper Use as Determined by the Company Personnel, Modification or Alteration of Any Nature Made in the Electrical Circuitry or Physical Construction of the Set, Site (Where the Premises is Kept) Conditions that do not Confirm to the Recommended Operating Conditions of the Machine, The Serial Number is Removed, Altered or Obliterated from the Machine, Defects due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,Yes,Hot Wash,No,Quick Wash,Yes,Spin Only,Yes,Body Features,Outer Body Material,Stainless Steel,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No,Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Wrinkle Prevention,No,Lint Filter,Yes,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Auto Restart, Smart Inverter,Dimensions,Width,54 cm,Height,91 cm,Depth,54 cm,Weight,32 kg","Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,780 rpm  : Higher the spin speed, lower the drying time,7 kg",518,"Smart Inverter Motor,Long-lasting Motor,Powerful Washing,Smart Diagnosis,Punch+ 3,Durable,Hygienic,User-friendly,Child Lock","LG 7 kg Inverter Fully Automatic Top Load Grey,  (T8069NEDLH)","18,499",4.3,"Wash Modes,Fuzzy Logic,Yes,Hot Wash,No,Quick Wash,Yes,Spin Only,Yes"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,Yes","Convenience Features,Digital Display,No,Tub Self-clean,No,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,No","Additional Features,Child Lock,No,Shock Proof,Yes","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit Inlet hose, 1 unit of QRG (quick reference guide), 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Brand,LG,Model Name,P7010RRAA,Function Type,Semi Automatic Top Load,Energy Rating,0,Washing Capacity,7 kg,Washing Method,Pulsator,Maximum Spin Speed,1350 rpm,In-built Heater,No,Color,Maroon, White,Dryer Type,Air Dry,Water Level Selector,Yes,Shade,Burgundy,Technology Used,Rat Away Technology,Installation & Demo,Installation & Demo,This product does not require installation. The features of the product are presented in the user manual that comes with it. Hence, the manufacturer does not provide on-site installation or demo for the product. In case of any queries about the installation or the features of product, kindly call us at 1800 208 9898 or (080) 49400000 for assistance.,Warranty,Warranty Summary,2 Years Comprehensive and 5 Years on Motor From LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence.,Warranty Service Type,Technician Visit,Wash Modes,Wash Program Types,4,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,No,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,Yes,Convenience Features,Digital Display,No,Tub Self-clean,No,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,No,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,No,Shock Proof,Yes,Dimensions,Width,79.5 cm,Height,97.5 cm,Depth,47 cm,Weight,33 kg","Highlights,Semi Automatic Top Load,1350 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 4,7 kg","2,802","Roller Jet Pulsator,Rat-away Technology,Concentrated Soak,Air Dry,Three Wash Programs","LG 7 kg Semi Automatic Top Load Maroon, White,  (P7010RRAA)","10,990",4.4,"Wash Modes,Wash Program Types,4,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,No,Spin Only,Yes,Spin & Rinse,Yes"
"Power Features,Power Requirement,AC 220 V","Body Features,Outer Body Material,Stainless steel,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No","Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,Yes","Additional Features,Child Lock,Yes,Door Lock,Yes","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit of QRG (quick reference guide), 1 unit of user manual, 1 unit OT hose & 1 Unit Detergent Powder (200gm packet), Anti Rat Cover,Brand,LG,Model Name,T7569NDDLH,Function Type,Fully Automatic Top Load,Energy Rating,0,Washing Capacity,6.5 kg,Washing Method,Pulsator Wash,Maximum Spin Speed,780 rpm,In-built Heater,No,Color,Silver,Dryer Type,Spin Dry,Maximum Temperature,60 DegreeC,Water Level Selector,Yes,Water Level Settings,10,Water Consumption,75 L,Shade,Middle Free Silver,Technology Used,Inverter Technology,Installation & Demo,Installation & Demo,Authorised Service Engineer will Install the Washing Machine, Make it Operational and Explain the Below Details, 1 How to Use, 2 Features, 3 Do's and Dont's,Warranty,Warranty Summary,2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty,Not Covered in Warranty,Plastic Parts,Warranty Service Type,Technician Visit,Wash Modes,Wash Program Types,3,Fuzzy Logic,Yes,Hot Wash,No,Pre-wash Soak,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Other Wash Modes,Eco Wash,Body Features,Outer Body Material,Stainless steel,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No,Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,Yes,Power Features,Power Requirement,AC 220 V,Additional Features,Child Lock,Yes,Door Lock,Yes,Dimensions,Width,540 mm,Height,910 mm,Depth,540 mm,Weight,33 kg","Highlights,Fully Automatic Top Load Washing Machines are ergonomically friendly and provide great wash quality,780 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 3,6.5 kg","9,266","Corrosion Resistance,TurboDrum,Punch+ 3,Smart Diagnosis,Auto Restart,Stainless Steel Drum,Tub Clean,Child Lock","LG 6.5 kg Inverter Fully Automatic Top Load Silver,  (T7569NDDLH)","14,990",4.4,"Wash Modes,Wash Program Types,3,Fuzzy Logic,Yes,Hot Wash,No,Pre-wash Soak,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Other Wash Modes,Eco Wash"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No","Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes","Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel","General,In The Box,1 Machine Unit, Drain Hose, OT Hose, QRG, User Manual,Brand,LG,Model Name,FHM1006ADW.ABWQEIL,Function Type,Fully Automatic Front Load,Energy Rating,5,Washing Capacity,6 kg,Washing Method,Tumble,Maximum Spin Speed,1000 rpm,In-built Heater,Yes,Color,White,Maximum Temperature,95 DegreeC,Water Level Selector,Yes,Shade,White,Technology Used,6 Motion Direct Drive Technology,Installation & Demo,Installation & Demo,Authorised Service Engineer will install the Washing Machine, make it operational and explain the below details. 1. How to Use, 2. Features,3. Do's and Dont's.,Warranty,Warranty Summary,2 Years on Product and 10 Years on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No,Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel,Dimensions,Width,60 cm,Height,85 cm,Depth,44 cm,Cord Length,1250 mm,Weight,60 kg","Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1000 rpm  : Higher the spin speed, lower the drying time,5 Star Rating,6 kg","5,311",,"LG 6 kg 5 Star Fully Automatic Front Load with In-built Heater White,  (FHM1006ADW.ABWQEIL)","23,990",4.4,"Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,Yes","Convenience Features,Digital Display,No,Tub Self-clean,No,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,No","Additional Features,Child Lock,No,Shock Proof,Yes,Other Features,Magic Wheels 360 Degree Rotation","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit Inlet hose, 1 unit of QRG (quick reference guide), 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Brand,LG,Model Name,P8035SPMZ,Function Type,Semi Automatic Top Load,Energy Rating,5,Washing Capacity,8 kg,Washing Method,Pulsator,Maximum Spin Speed,1350 rpm,In-built Heater,No,Color,Purple, White,Dryer Type,Air Dry,Water Level Selector,Yes,Shade,Purple,Technology Used,Rat Away Technology,Installation & Demo,Installation & Demo,This product does not require installation. The features of the product are presented in the user manual that comes with it. Hence, the manufacturer does not provide on-site installation or demo for the product. In case of any queries about the installation or the features of product, kindly call us at 1800 208 9898 or (080) 49400000 for assistance.,Warranty,Warranty Summary,2 Years Comprehensive and 5 Years on Motor From LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence.,Warranty Service Type,Technician Visit,Wash Modes,Wash Program Types,4,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,No,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,Yes,Convenience Features,Digital Display,No,Tub Self-clean,No,Wrinkle Prevention,No,Lint Filter,Yes,Memory Backup,No,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,No,Shock Proof,Yes,Other Features,Magic Wheels 360 Degree Rotation,Dimensions,Width,80.5 cm,Height,97.5 cm,Depth,47.8 cm,Weight,33 kg","Highlights,Semi Automatic Top Load,1350 rpm  : Higher the spin speed, lower the drying time,Number of wash programs - 4,5 Star Rating,8 kg","2,025","Roller Jet Pulsator,Rat Away Technology,Loosens Tough Dirt Particles,Magic Wheel,Air Dry,3-wash Program","LG 8 kg Semi Automatic Top Load Purple, White,  (P8035SPMZ)","12,490",4.5,"Wash Modes,Wash Program Types,4,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,No,Spin Only,Yes,Spin & Rinse,Yes"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No","Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes","Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel","General,In The Box,1 Machine Unit, Drain Hose, OT Hose, QRG, User Manual,Brand,LG,Model Name,FHM1207ZDL.ALSQEIL,Function Type,Fully Automatic Front Load,Energy Rating,5,Washing Capacity,7 kg,Washing Method,Tumble,Maximum Spin Speed,1200 rpm,In-built Heater,Yes,Color,Silver,Maximum Temperature,95 DegreeC,Water Level Selector,Yes,Shade,Silver,Technology Used,6 Motion Direct Drive Technology,Installation & Demo,Installation & Demo,Authorised Service Engineer will install the Washing Machine, make it operational and explain the below details. 1. How to Use, 2. Features,3. Do's and Dont's.,Warranty,Warranty Summary,2 Years on Product and 10 Years on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This also Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts. Any Accessories External to the Product. The Product is Not Used according to the Instructions Given in the Instructions Manual. Defects Caused By Improper Use as Determined By the Company Personnel. Modification or Alteration of any Nature Made in the Electrical Circuitry/or Physical Construction of the Set. Site (Where the Premises is Kept) Conditions that Do not Confirm to the Recommended Operating Conditions of the Machine. The Serial Number is Removed, Altered or Obliterated from the Machine. Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Outer Body Material,Metal,Tub Material,Stainless Steel,Transparent Window Display,Yes,Wheel Support,No,Convenience Features,Digital Display,Yes,Tub Self-clean,Yes,Preset Timer,Yes,Memory Backup,Yes,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,Yes,Shock Proof,Yes,Door Lock,Yes,Auto Power Off,Yes,Other Features,Smart Diagnosis, Cycle Download, Scrub, Stepping, Filtration, Tumble, Swing, Rolling, Touch Panel,Dimensions,Width,60 cm,Height,85 cm,Depth,44 cm,Cord Length,1250 mm,Weight,60 kg","Highlights,Fully Automatic Front Load Washing Machines have Great Wash Quality with very less running cost,1200 rpm  : Higher the spin speed, lower the drying time,5 Star Rating,7 kg","2,110",,"LG 7 kg 5 Star Fully Automatic Front Load with In-built Heater Silver,  (FHM1207ZDL.ALSQEIL)","29,990",4.4,"Wash Modes,Fuzzy Logic,Yes,Hot Wash,Yes,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes"
"Additional Features,Child Lock,No,Other Features,Rat Away","Body Features,Tub Material,Plastic,Wheel Support,Yes","Convenience Features,Digital Display,No,Tub Self-clean,No,Preset Timer,No,Lint Filter,Yes,Memory Backup,No","Dimensions,Width,805 mm,Height,975 mm,Depth,478 mm,Weight,27 kg","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit Inlet hose, 1 unit of QRG (quick reference guide), 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Brand,LG,Model Name,P7020NGAY,Function Type,Semi Automatic Top Load,Energy Rating,4,Washing Capacity,7 kg,Washing Method,Normal Pulsator Wash,Maximum Spin Speed,1350 rpm,In-built Heater,No,Color,Grey, White,Dryer Type,Spin Dry,Water Level Selector,No,Shade,Dark Grey,Installation & Demo,Installation & Demo,0,Warranty,Warranty Summary,2 Years Comprehensive Warranty on product and 5 Years on Motor from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase Will be Covered Under Warranty,Covers all Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts,Any Accessories External to the Product,Product is Not Used According to the Instructions Given in the Instructions Manual,Defects,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes,Body Features,Tub Material,Plastic,Wheel Support,Yes,Convenience Features,Digital Display,No,Tub Self-clean,No,Preset Timer,No,Lint Filter,Yes,Memory Backup,No,Additional Features,Child Lock,No,Other Features,Rat Away,Dimensions,Width,805 mm,Height,975 mm,Depth,478 mm,Weight,27 kg","Highlights,Semi Automatic Top Load,1350 rpm  : Higher the spin speed, lower the drying time,4 Star Rating,7 kg","1,907","3 Wash Programs,Lint Collector,Rat Away Technology,Spin Shower,Collar Scrubber","LG 7 kg 4 Star Semi Automatic Top Load Grey, White,  (P7020NGAY)","10,390",4.4,"Wash Modes,Fuzzy Logic,No,Hot Wash,No,Pre-wash Soak,No,Quick Wash,Yes,Spin Only,Yes,Spin & Rinse,Yes"
"Power Features,Power Requirement,AC 230 V","Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,No","Convenience Features,Digital Display,No,Tub Self-clean,No,Preset Timer,No,Wrinkle Prevention,No,Lint Filter,No","Additional Features,Child Lock,No,Shock Proof,No,Door Lock,No,Auto Power Off,No","General,In The Box,1 unit of machine, 1 unit of the drain hose, 1 unit Inlet hose, 1 unit of QRG (quick reference guide), 1 unit of user manual & 1 Unit Detergent Powder (200gm packet), Safety cover,Brand,LG,Model Name,P6510NBAY,Function Type,Semi Automatic Top Load,Energy Rating,4,Washing Capacity,6.5 kg,Washing Method,Pulsator,Maximum Spin Speed,1350 rpm,In-built Heater,No,Color,White, Blue,Dryer Type,Spin Dry,Dryer Capacity,5.5 kg,Water Level Selector,No,Shade,Dark Blue,Installation & Demo,Installation & Demo,This product does not require installation. The features of the product are presented in the user manual that comes with it. Hence, the manufacturer does not provide on-site installation or demo for the product. In case of any queries about the installation or the features of product, kindly call us at 1800 208 9898 or (080) 49400000 for assistance.,Warranty,Warranty Summary,2 Years Comprehensive Warranty on Product from LG,Covered in Warranty,All Parts Excluding Outer Cabinet and Plastic Parts from the Date of Purchase will be Covered Under Warranty. This Also Covers All Manufacturing Defects,Not Covered in Warranty,Parts: Outer Cabinet and Plastic Parts, Any Accessories External to the Product, The Product is not Used According to the Instructions Given in the Instructions Manual, Defects Caused by Improper Use as Determined by the Company Personnel, Modification or Alteration of Any Nature Made in the Electrical Circuitry or Physical Construction of the Set, Site (Where the Premises is Kept) Conditions that do not Confirm to the Recommended Operating Conditions of the Machine, The Serial Number is Removed, Altered or Obliterated from the Machine, Defects due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to the Service Centers or Purchaser's Residence,Warranty Service Type,Technician Visit,Wash Modes,Fuzzy Logic,No,Hot Wash,No,Quick Wash,No,Spin Only,Yes,Body Features,Outer Body Material,Plastic,Tub Material,Plastic,Transparent Window Display,No,Convenience Features,Digital Display,No,Tub Self-clean,No,Preset Timer,No,Wrinkle Prevention,No,Lint Filter,No,Power Features,Power Requirement,AC 230 V,Additional Features,Child Lock,No,Shock Proof,No,Door Lock,No,Auto Power Off,No,Dimensions,Width,79.5 cm,Height,97.5 cm,Depth,47 cm,Weight,30 kg","Highlights,Semi Automatic Top Load,1350 rpm  : Higher the spin speed, lower the drying time,4 Star Rating,6.5 kg",148,"Repels Rodent,Spin Shower,Collar Scrubber,Lint Collector,3 Wash Program","LG 6.5 kg 4 Star Semi Automatic Top Load White, Blue,  (P6510NBAY)","9,490",4.3,"Wash Modes,Fuzzy Logic,No,Hot Wash,No,Quick Wash,No,Spin Only,Yes"
