highlights,no_ratings,prod_desc,product_name,product_price,product_rating,tech_details
"Fully-automatic top-loading washing machine; 6.5 kg,3 Years Comprehensive Warranty & 10 Years Warranty on Motor,Center jet pulsator, STS drum type, 7 wash programs, 5 water level, digital LED, tempered glass window,Magic filter, diamond drum, water fall, child lock, air turbo, auto restart, eco tub clean,Transparent toughened glass lid,Maximum spin speed - 680, rat mesh, non activ wash plus",122,"Air Turbo ,Eco Tub Clean ,Water Fall ,Magic Filter ,Tempered Glass Window ,Diamond Drum ","Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65M4205HV/TL, Light Grey)","18,990.00",4,"Brand,Samsung,Model,WA65M4205HV/TL,Capacity,6.50 Kilograms,Installation Type,Free Standing,	Part Number	,8806088856223,Form Factor,Top-Loading,Special Features,Magic filter, LED display, Tempered Glass Door, Child lock, Auto restart,Colour,Light Grey,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Wattage,330 Watts,Material,Steel,Included Components,Washing Machine, Hose Drain, Hose Inlet, Warranty Card, User Manual, Shutter (Rat Mesh), Clip Ring, Screw Fitting,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top-loading washing machine; 7 kg,Warranty: 3 years on product, 10 years on motor,DIT motor with 12 years warranty,Soft door closure,Magic dispenser",4,,"Samsung 7 kg Inverter Fully-Automatic Top Loading Washing Machine (WA70N4260FF/TL, Plum)","24,400.00",,"Brand,Samsung,Model,WA70N4260FF/TL,Capacity,7 Kilograms,Maximum Rotational Speed,700,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Inverter,Colour,Plum,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Material,Stainless-Steel,Included Components,1 Washing Machine, User Manual, Inlet Pipe, Outlet Pipe,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top-loading washing machine,Capacity 6.2 kg: Suitable for bachelors and couples,Warranty: 2 years on product,720 RPM: Higher the spin speed, faster the drying time,Special features: Wobble pulsator, STS drum type, 6 wash programs, 5 water level, digital LED, tempered glass window, Magic filter, diamond drum, water fall, child lock, air turbo, auto restart, eco tub clean,Net Dimension (WxHxD): 540 x 906 x 568 mm,Country of Origin: India",288,"Wobble Technology ,Tempered Glass Window ,Magic Filter ,Air Turbo ,Water Fall ,Diamond Drum ,Eco Tub Clean ","Samsung 6.2 kg Fully-Automatic Top Loading Washing Machine (WA62M4300HP/TL, Imperial Silver)","14,790.00",4,"Brand,Samsung,Model,WA62M4300HP/TL,Capacity,6.20 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Magic filter, LED display, Tempered Glass Door,Colour,Imperial Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Wattage,330 Watts,Material,Steel,Included Components,Washing Machine & Hose Drain & Hose Inlet & Warranty Card & User Manual & Shutter (Rat Mesh) & Clip Ring & Screw Fitting,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top-loading washing machine; 7.0 kg capacity,Warranty: 3 years on product, 10 years on motor,Suitable for families with 3 to 4 members,Special features: Bubble soak, bubble technology, easy iron, DIT motor, smart check,For queries/assistance please contact the support no.: 1-800-726-7864,Diamond drum,Country of Origin: India",108,"ACTIVWash+ ,Wobble Technology ,Magic Dispenser ,Magic Filter ,Eco Tub Clean ,Diamond Drum ","Samsung 7.0 Kg Fully-Automatic Top Loading Washing Machine (WA70N4420BS/TL, Silver, ActivWash+)",,4.1,"Brand,Samsung,Model,WA70N4420BS/TL,Capacity,7 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Magic filter, LED display, Tempered Glass Door,Colour,Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Material,Stainless-Steel,Included Components,Washing Machine & Hose Drain & Hose Inlet & Warranty Card & User Manual & Shutter (Rat Mesh) & Clip Ring & Screw Fitting,Batteries Required,No, , "
"Installation: For requesting an installation/demo for this product once delivered, please contact_us on: [ 1800 40 7267864 ] and provide the product's model name.,Fully-automatic top-loading washing machine; 6 kg,Warranty: 2 years on product; 2 years on motor,Center jet pulsator, STS drum type, 6 wash programs, 5 water level, digital LED, tempered glass window,Magic filter, diamond drum, water fall, child lock, air turbo, auto restart, eco tub clean, The Eco Tub Clean can even notify you automatically when it needs cleaning,Transparent toughened glass lid,Maximum spin speed - 680, rat mesh, non activ wash plus",143,"Tempered Glass Window ,Magic Filter ,Water Fall ,Air Turbo ,Eco Tub Clean ,Diamond Drum ","Samsung 6 Kg Fully-Automatic Top Loading Washing Machine (WA60M4100HY/TL, Imperial Silver)",,4.2,"Brand,Samsung,Model,WA60M4100HY/TL,Capacity,6 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Magic filter, LED display, Tempered Glass Door, Child lock, Auto restart,Colour,Imperial Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Wattage,330 Watts,Material,Steel,Included Components,Washing Machine, Hose Drain, Hose Inlet, Warranty Card, User Manual, Shutter (Rat Mesh), Clip Ring, Screw Fitting,Batteries Included,No,Batteries Required,No, , "
"Fully-automatic top-loading washing machine,Capacity 9 kg: Suitable for large families,Warranty: 3 years on product and 10 years on motor,Special features: Wobble technology pulsator, diamond drum (STS) and 5 step super clean, Soak, magic filter, eco tub clean and ice blue led, Note: For all semi-automatic washing machines and refrigerators, installation is not provided by the manufacturer,Easy Returns: This product is eligible for full refund within 10 days of delivery in case of any product defects, damage or features not matching the description provided",10,"Wobble Technology ,Magic Dispenser ,Diamond Drum ,Magic Filter ,Eco Tub Clean ,Aqua Preserve ,Built in Sink ,Super Clean ,Tempered Glass Window ,Water Fall ","Samsung WA90J5730SS/TL Fully-automatic Top-loading Washing Machine (9 Kg, Silver)","30,289.00",4.,"Brand,Samsung,Model,WA90J5730SS/TL,Capacity,9 Kilograms,Installation Type,Free Standing,	Part Number	,WA90J5730SS,Form Factor,Top-Loading,Colour,Silver,Control Console,Fully Automatic,Access Location,Top Load,Voltage,220 Volts,Wattage,480 Watts,Material,Steel,Included Components,Washing Machine, Hose Drain, Hose Inlet, Warranty Card, User Manual, Shutter (Rat Mesh), Clip Ring, Screw Fitting,Batteries Included,No,Batteries Required,No, , "
"Semi-automatic washing Machine: Most Economical, Lowest water and energy consumption, involves manual effort,Capacity 7.2 kg :Suitable for families with 3 to 4 members,Warranty: 2 years on product , 5 years on motor, Rust Proof Plastic Body,1000 rpm: Higher the spin speed, faster the drying time ; Net (WxHxD): 800 x 935 x 502 mm ; Voltage: 220 Volt, Frequency: 50 Hz ; Package contents: Washing Machine, Inlet Pipe, Outlet Pipe, User Manual ; child lock: Yes ; Additional features: Dual Jet System,Special features: Wash programs: Normal, intensive and delicate, Its buzzer helps you to keep score of your time by alerting you when the washing is done","1,020","Rust Free Body ,Powerful Pulsator ,Air Turbo Drying System ,Easy to Soak ,Lint Filter ,Easy to Scrub ,Wash Tray ,Buzzer ","Samsung 7.2 kg Semi-Automatic Top Loading Washing Machine (WT725QPNDMPXTL, White and Blue, Center Jet Pulsator)",,4.4,"Brand,Samsung,Model,WT725QPNDMPXTL,Capacity,7.20 Kilograms,Installation Type,Free Standing,	Part Number	,WT725QPNDMPXTL,Form Factor,Top-Loading,Special Features,Child lock, Dual jet system, Buzzer, Lint filter, Scrub board,Colour,White,Control Console,Semi Automatic,Access Location,Top-load,Door Material,Plastic,Batteries Included,No,Batteries Required,No, , "
"Semi-automatic top-loading washing machine; 6.5 kg,Energy Rating: 5 Star,Warranty: 1 year on product, 2 years on motor,Fully-automatic washing machines,Capacity 6.5 kg: Suitable for families with 4 to 5 members,1 years comprehensive warranty and 2 years warranty on motor from Samsung,Special features: hexa Storm pulsator, magic filter, spin timer,For queries/assistance please contact the support No.: 1-800-726-7864,Pulsator, air turbo, super dry, 3 wash programs, soak",312,"5 Star Energy Rating ,Rust Free Body ,Powerful Pulsator  ,Air Turbo Drying System ,Easy to Soak ,Lint Filter ,Buzzer ,Wash Tray ,Scrub Board ","Samsung 6.5 kg Semi-Automatic 5 Star Top Loading Washing Machine (WT667QPNDPGXTL, White and Maroon, Double Storm Pulsator)",,4.3,"Brand,Samsung,Model,WT667QPNDPGXTL,Energy Efficiency,5 Star Rating,Capacity,6.50 Kilograms,Installation Type,Free Standing,Form Factor,Top-Loading,Special Features,Magic Filter, Rust Proof Body,Colour,White & Maroon,Control Console,Semi Automatic,Access Location,Top Load,Voltage,220 Volts,Material,Plastic,Included Components,Washing Machine & Hose Drain & Hose Inlet & Warranty Card & User Manual & Shutter (Rat Mesh) & Clip Ring & Screw Fitting,Batteries Required,No, , "
,,,,,,
"This product comes ready to use and does NOT require installation or demo. All product features are presented in the user manual that comes with the product.,Semi-automatic washing machine; 7.2 kg capacity,2 years warranty on the product,Easy to move: Big wheel, two way inner handle and EZ wash tray,Rust proof plastic body and lint filter,Persulator type (semi automatic): Double storm,Wash course: Intensive, normal and delication",15,"Easy to Move (Big Wheel/Two Way Inner Handle) ,EZ Wash Tray ,Double Storm ,Scrub Board ,Air Turbo Drying System ,Soak ,Buzzer ,Lint Filter ,Durability (Rust Proof Plastic Body) ","Samsung WT727QPNDMWTL02 Semi-automatic Washing Machine (7.2 kg , Grey and Red)",,4.2,"Brand,Samsung,Model,WT727QPNDMWXTL,Capacity,7.20 Kilograms,Installation Type,Free Standing,	Part Number	,WT727QPNDMW,Form Factor,Top-Loading,Colour,Grey,Control Console,Semi Automatic,Access Location,Top-load,Batteries Required,No, , "
