Rating,Date,Title,Review
5,16-Jul-20,The mean machine - Daikin,Using the air conditioner from last 3 months and I can see why Daikin is number one. Great performance 👍. But energy consumption is more what I feel. Still it's a good product.
5,14-Jul-20,"Dear DAIKIN, please at least provide the basic attachments for installation",Very Good
5,14-Jul-20,Awesome brand.,"Pro:Timely delivery and installation during the COVID-19 situationCon:No LED indicator on the AC, you need to check remote for the same."
5,14-Jul-20,Very good one,Value for money
5,13-Jul-20,Best AC in the town,Like
5,11-Jul-20,Value for money,One of the best AC out there.Our room is on top floor and power chill feature chills the room within 10 minutes
1,05-Jul-20,Good,Warmth
5,04-Jul-20,I recommend this AC,How to extended the warranty.The remote stand is not available in box
4,03-Jul-20,Waste of time and money,Pros:Product is in good condition working very efficiently.Installation also done within 2 days of request with daikin.Daikin customer care people also responding very quickly.Cons:Installation charges are more than they are showing.Installation charges 1500+ 200 travel charge for installation guysOutdoor unit stand 850Extra copper pipe 2 meters 1900Power wire 5 metres 600Total 5050.
5,03-Jul-20,How to extended the warranty. The remote stand is not available in box,I believe in Daikin Ac product because I have been using one another Daikin since 2012 that's why I had ordered..But when we got Ac without kit that was bad experience for us to buy through online...I have paid extra 3500/- to service engineer to get that kit...Installation charge is too much high compared to other brand...It was total 4200/- (1500 installation + 1500/- hanging of compressor+ 1100/- electric wire & outlet pipe)...I have no doubt about this product. This product is really good having less noise & energy efficiency...
5,08-Jun-20,The mean machine - Daikin,Powerchill option chills your room quickly. Installation is big problem due to lockdown. Mine got installed after 1 month and that too from external vendor.
5,07-Jun-20,"Dear DAIKIN, please at least provide the basic attachments for installation",It’s working fine and chills the 170 feet room in no time. It’s silent. Power consumption is yet to be seen. Although dose the job bought for. I recommend it to all potential buyers. It’s seems to be a quality product.
5,07-Jun-20,Powerful AC,Excellent product ... I am using this product from last 3 months and it’s amazing experience.. cooling is great.. no other AC brand can beat daikin. Guys go for it  Without a second thought.  Noiseless air condition I must mention also..
5,06-Jun-20,Quality Product,Do the check pictures. I was with my 1st Daikin AC purchase. More than satisfactory.And after 6 month review.
5,04-Jun-20,Excellent,"Just go for it 👍👍 everything is perfect..fast cooling,low noise,consumes less electricity ✌️"
5,03-Jun-20,Excellent product...,"Good and quick delivery by Amazon, product received in very good condition and installation service by amazon is also good. Ac is very good, we paid around 2000 rupees which includes installation and additional wire which was not provided by diakin."
4,03-Jun-20,"It's very nice,Go for this, perfect delivery, perfect product.","I bought this ac for 40k from Amazon couple of days back and it's definitely worth it and a great product by Daikin. You can always trust the brand and regarding installation, installation guy was a professional but I felt like installation cost was bit high if you compare to other brands. The standard installation was Rs.1500 which I knew I had to pay and there is no outdoor unit stand included with the product and they will charge you Rs750 for the stand and for safety purpose I bought Vguard stabilizer as well (4kv) due to high voltage fluctuate in my area. It's better to be on the safer side which costed me Rs 2500 and installation guy won't charge you for connecting ac to stabilizer as it is covered. Installation costed me Rs 3370 which is very high but the service was good , everything was done perfectly. It's too early for me to judge the product but I can say this as this one is better than other brands and it does cool your room in 3 minutes and noise level is very low. Go for this product you wouldn't regret it in future.:)"
5,03-Jun-20,Good product and quick delivery by amazon,Good
5,03-Jun-20,Worth it!,"Awesome product, just delivered in 2days and installation was also smooth"
1,01-Jun-20,Good,It doesn't get cool- not at all .Suggesting guys don't buy for it and get troubled as I am.
1,01-Jun-20,The mean machine - Daikin,Daikin service very bad and very late please don't purchase daikin ac
5,15-Aug-20,The mean machine - Daikin,Excellent
4,12-Aug-20,"Dear DAIKIN, please at least provide the basic attachments for installation",There is no display in the unit that will show the temperature.
4,11-Aug-20,Excellent,How can i achieved my warranty details of this product....???
4,08-Aug-20,No display on AC to show temperature,"Every thing provided is good including service,if the bill and guarantee card or atleast invoice be sent will be fine."
