Rating,Date,Title,Review
1,08-Aug-20,Good Value for Money,Within few days it stopped working... Customer service is the worst... AC was idle from 5 months. They haven't come for repairing the AC... Please don't buy Godrej products. Better to buy other AC.
5,04-Aug-20,Worst product and brand for AC,excellent
5,28-Jul-20,Worst after sales service,Wonderful cooling with uniformity.
5,24-Jul-20,good service,Good AC at an excellent price.
5,23-Jul-20,Great product,Cool man.
5,15-Jul-20,Good AC,Nice product value for money
5,10-Jul-20,Snow white.,Very fast cooling this ac is pure cooper assembly  & its better then dikin ac
4,09-Jul-20,Amazon deliver prompt installation very good so iam very happy,Very Good
4,30-Jun-20,Love you godrej,Good
5,29-Jun-20,yes it was very good in cooling and fast also,"Effective Cooling with very low noise, Air throw of this AC is very very good.writing review after 3 days of usage.hope it works better in future"
5,14-Jun-20,Good Value for Money,Value for money
1,13-Jun-20,Worst product and brand for AC,"Horrible experience, stopped working on the very first day  just after 10 minutes of operation. Godrej after sales service is pathetic, they accept that it is manufacturing fault and some parts have to be replaced but even after two months of complaint they haven’t yet repaired, Don’t waste your money on this"
3,11-Jun-20,Nice one 👍,"Everything is Great except the moving swing blade of air conditioner. When we switch off AC, the moving blade doesn't shut down completely, leaving some space. This problem came out of the box, noticed it during the unboxing. Maybe purchasing a new blade of the same model may fix it."
1,08-Jun-20,Horrible product very poor quality,"Very bad product. The product doesn't have cooling efficiency. The company technicians visited asked me to return the product as they didn't know where to put the AC and they didn't have tools to hang it on the the desired wall. Installation charges are there by the company. First installation is not free .The product had return or replace option that's why I felt secured to spend money online for this ac . On the third after its arrival, after checking the performance, I raised a complaint by opting for refund or exchange and then called directly so this can be taken care soon and I don't lose my money.I spoke to a rep and explained the whole story and we did some troubleshooting over the phone but the AC was still not performing or chilling how it is suppose to at 18 degree temperature set.The rep said I will call you back after talking to my seniors if we can refund or exchange.Till date no one returned the call. The return date is also expired. My money wasted because Amazon didn't take proper action on time. Now the ac is hanging and performing as a local fan."
