Rating,Date,Title,Review
5,21-Jun-20,Very good washing machine and Super washing quality.,Works fine as expected. Delivery and installation was done promptly.
5,20-Jun-20,not very happy,"Easy to use, options not much complicated..But due to lockdown no response from installation team, so done installation by self..."
1,16-Jun-20,Good and recommended,Purchased this LG washing machine but no news of installation yet. LG customer support is closed too when tried calling there. Amazon in the past has automatically scheduled the installation. Its been 4 days since the delivery and no news yet
4,15-Jun-20,Trusted brand and value for money..,"After 4 month, it stopped working."
1,12-Jun-20,Installation did not happen yet,Brand service people are worseNo one even came to do the demo
5,08-Jun-20,Stopped working after 4 month,One of the best in segment
5,08-Jun-20,Worst buy online,Good
5,05-Jun-20,Best,Good one.i have already this machine nd I have parchegr my mom also
4,13-Jul-20,Very good washing machine and Super washing quality.,"Good, some time it was stucked,after lg service man  clear. Now it is good"
3,13-Jul-20,not very happy,I called many times for installation and demo.. Individual assured me to make it today.. But now he is denying.. And not attending my call
1,11-Jul-20,Nice,Really bad installation experience. Pathetic after sales LG support
5,08-Jul-20,All About installation and demo,"Very nice, buy it without any hesitation"
1,07-Jul-20,Bad installation and after sales,"I have 5.2kg machine purchased around 8 yrs back. 6 months ago motor needed replacement. Was replaced promptly.Now display pcb not working and also control ckt pcb looks damaged.But LG is saying to get display pcb repaired from outside, as they no longer stock this spare.I am willing to pay for new PCBs , but they say now can't service them.What is the purpose of this practice.Should customer purchase new one for only one faulty part.Dear Customer, Your request has been registered [RNP200621044367]"
4,05-Jul-20,"Noiseless,sturdy and intelligent",Very good productBut some vibrations issue
5,04-Jul-20,Unethical service practice,Go for it.  LG is always the best for washing machines.
5,29-Jun-20,Good product,"Nearly three weeks over, so far no issue"
5,25-Jun-20,Great washing Machine,I brought this for my parents specially for my mom. Even though she can't read English she is able use this without any effort. I am using lot of LG products from so long they are great..
5,24-Jun-20,I like it,Good product
5,16-Aug-20,Very good washing machine and Super washing quality.,LG washing machines are one of the best in business. This got the same direct drive motor and inverter technology as higher priced and featured varients. Superb price as well
