Rating,Date,Title,Review
5.0,16 August 2020,Probably the best you can get under 30K!,Everything is perfect
5.0,15 August 2020,Pathetic After Sales Service.,Excellent product and I have bought it during the sale.
1.0,12 August 2020,Awesome,"Amazon sends defective product , I returned the same , high weighted item not taking seriousness in Delhivery as well as delivery ,"
5.0,12 August 2020,Efficient product,Value for money
5.0,11 August 2020,Mp,It's working great... Using from about 18 months... Nice quality
2.0,8 August 2020,Excellent,"This is the most worst product I bought.1. Rust formed outside and bottom of the body with in 6 months.2. Drum started making high noise.3. With in 2 years of usage, consealed drum gone/ giving trouble terryfying user to run it.4. Customer care people are reluctant, no care at all.5. Complaint raised and the same was forwarded to local technician from Nellore6. He started playing over phone, never visit the location of the customer with out visiting home demands money of Rs.850/- per visit,7. Need to replace plastic Drum for Rs.7000/- + visiting charge"
1.0,4 August 2020,Great product,"When I received the product, machine was full damaged."
4.0,3 August 2020,Not Happy,Display numbers not displaying properly.Some of the lines not working.
1.0,1 August 2020,Received damaged product,"Amazon delivery is 3 rd class+ bosch India customer service is very bad, online purchase if failure as defective pieces are sold online, when the machine has 4 nuts below, i got with 3 nuts. The machine is running in our bathroom 2 people needed to hold it firm.... German engineering with Indian service support......What a deadly combination....Still the service guy has not reached to install the machine......After 15 day and regirous follow up...And the worst and funny part is the Bosch call centre guy asked me why u purchased it and started blaming me for failure of product..!!! So bottom line...If u want get humiliated Bosch is best one to buy"
5.0,26 July 2020,Display not working properly,Its running with Zero Noise & functioning very well. My mom liked the outcome of the wash. I feel I made the right choice.
4.0,26 July 2020,Probably the best you can get under 30K!,Using since two years..working well..installation of the machine is problematic because the company has no skilled persons at some small towns and cities..they send the persons hiring local persons...But the machine is quite good in performance
5.0,23 July 2020,Pathetic After Sales Service.,Nice product. Bosch is the best. Totally recommended
5.0,9 July 2020,Wood quality’s,Using it for past 30 days and love the experience. Such a smooth performance and easy clean clothes.
5.0,4 July 2020,Good Product,Satisfied with the product
5.0,22 June 2020,Awesome Product and performance is as expected,"Best machine, Low water usage, Low Noise"
5.0,21 June 2020,Go for it,Writing review after 8 months of purchase. The machine is working very well and am fully satisfied with the product
1.0,19 June 2020,EASY TO OPERATE,"Damage product received, so returned it.Check the seller before buying it."
3.0,11 June 2020,Best buy,Good product but worst customer service team. Update- If you have any product issue during warranty than you will be on waiting list for weeks to sort out that issue. But if you are ready to pay than you get a reply in two weeks!
5.0,10 June 2020,Damage product,Excellent wash
5.0,10 June 2020,Good product but really bad customer service,"Using since past 3 years, unmatched performance, value for money.."
5.0,8 June 2020,Probably the best you can get under 30K!,"I have just got installed a few days back, so not much used. Performance assessment will be done later."
5.0,5 June 2020,Pathetic After Sales Service.,It's been 2 months now since we bought BOSCH WAK24268IN in amazon. So far so good.
5.0,3 June 2020,Elegant and classy,Very good
5.0,1 June 2020,WAK24268IN - Works like a breeze!,Good
4.0,31 May 2020,Very nice peoduct,The product is very good. I am using it since two years and until now no complaint about it. Fully functioning well. From my experience since two years I didn't need service engineer visit.  Honestly happy with the product.
5.0,23 May 2020,Good,"After using it for a year now, would say its the best in this segment. Even better than its pricey rivals. Best built quality and awesome heavy duty motor. It just works very silently. You cannot hear noise outside the room. The wash quality is just awesome. The 15 min function is very very helpful for fast washing. The door material is tough glass which is plastic in other companies. The machine also has 1200 rpm rotation which dries the clothes efficiently. Blindly go for it.."
1.0,21 May 2020,Strongly Reccoment for the product.,From the day I bought the washing machine all the clothes are getting torned. I have complained during initial days but of no resolution nor fix. It is a defective piece and company wasted 2 years without giving any proper resolution. Now the warranty expired. NEVER BUY THESE ONLINE. LOT OF CHEATING AND FRAUD BY THE COMPANY.
5.0,21 May 2020,Smart... Efficient.. Modern.. Trusted..,Best quality n design.loved it
5.0,20 May 2020,Clothes getting torned from the time purchased,I bought this machine on 24-10-18. Easy to use with so many options. Allergy plus feature is so helpful especially in corona time.Almost 1.5-2 years old machine but still works like a new. Less noise. Bosch is awesome.
1.0,15 May 2020,Awesome,High noise and machine in moving more when spinning...experiencing very bad.Product is bad i feel
