Rating,Date,Title,Review
5,15 August 2020,"a branded product, dont get the installation done as ...",Jst go for it
5,15 August 2020,this product is not good,Nice packaging and impressive looks
5,15 August 2020,Best product,"This is my second IFB washing Machine.  This is smaller in size, heavier in weight, more steady and stable.  I had old stand and I love that there is no shake like the earlier one.  Smooth function, is slower than the earlier machine and also makes lesser noise.  There is no leakage from the door and any part.  This time it appears technology has improved and is at its best.  After reading lot of negative reviews I was a bit apprehensive but the first time use told me I am better off buying IFB again.  The program selector jog dial is so soft that there is no struggle, that means less wear and tear and ultimately no tears.  Once select the program, fill it, shut it and really forget it.  Come back later to collect your laundry washed and dried.  Great Product.  I wish you too have good luck like me."
5,15 August 2020,Ifb delivery review,"Nice machine, no issues till now."
1,15 August 2020,"Great Product, technology at its best.",Be VERY careful in buying Appliances from Amazon. I have had a very Bad experience. I bought an IFB Washing Machine from Amazon. Delivered to me Last Wednesday the 12th August’2020. Today is the 15th August’2020 and nobody has called up for Installation. We are Senior Citizens and the maids are on leave so me and my wife are washing  clothes ourselves.This is the special treatment that you get when you are a PRIME MEMBER only.Thanks to Amazon. We would now shift to Flipkart or any other good service providerwho care about their clients.
5,14 August 2020,IFB is best,Very good quality
1,14 August 2020,RD Prime Member since 2014 - Disgusted,"IFB not installed washing machine properly, water leakage issue. Water Hardness filter was deffective (water leakage issue). IFB charged 1850 for filter and provided poor quality filter. You can buy good quality water hardness filter on Amazon at lesser price. Also IFB not yet  replaced filter .Very bad after sales service by IFB"
4,14 August 2020,Very good Machine,Good Product.. Noise level is quite low also black matte color is awesome
4,14 August 2020,Poor After Sales Service by IFB,Machine is good. Amazon delivery was amazing. Received latest manufactured machine.
5,14 August 2020,Worth to buy it as per price,Best one
5,13 August 2020,"a branded product, dont get the installation done as ...","This is the best , thanks IFB"
5,13 August 2020,this product is not good,Installation is very good from jagitiyal service
4,10 August 2020,Quality washing,Warranty Registration process isn't working because serial number of products is not valid. Customer care number isn't working. SMS Also not sent. Android app isn't working. Website isn't working. Such a Worse Customer service. I received product today. 10/08/2020
3,09 August 2020,Ifb,There is an issue with upper panel on the washing machine.. It's broken from inside... And back as well...  Not expected this sort of damage with this product... And there is an issue while trying to get technician for installation request... Always busy...so pitty to see all this... It is gift to someone n now this sort of mess...
5,09 August 2020,Warranty and customer service not working,easy to use
1,08 August 2020,Get it fix ... Asap,It has arrived with a non functional motherboard according to the tachnician
5,08 August 2020,worthy,Fine and no vibration when the wash is over than only we removed the cloths.
5,08 August 2020,Defective defective defective!!!,A good product.
5,07 August 2020,Same as above,IFB is an awesome washing machine as always. It’s build quality as well all the features are just awesome.  The front load look is mind blowing. The service team is always there for you if you face any issue. And please use the IFB washing products for it’s long life and low maintenance.
5,07 August 2020,Nice,Nice value for money💵💵
5,05 August 2020,"a branded product, dont get the installation done as ...",Working great and most important energy efficient.
5,05 August 2020,this product is not good,Good
5,03 August 2020,Great,It's good product
5,01 August 2020,Good,It is very good.
5,31 July 2020,Good,"Good, easy to use"
5,30 July 2020,Good machine,Good Product And I Received Recent Manufacturing Product...Nice...
1,29 July 2020,Good purchase,This order I'd 1337473159886My ifb order product in package doesn't found me any garantty and warranty paper only receive bill only.
1,28 July 2020,Good Product,I have been contacting amazon customer service n IFB for a missing part in washing machine. Stil issue is not resolved.It's been more than 1 month since issue reported and around 12-15 mails and  7-8 calls have been made.Ifb amazon agent (Sayed anwar 063609 01463) who came to check never came back and did not fix. These agents do not respond calls.Noise level at times is too high & shakes up too even though clothes are below recommended weight
4,27 July 2020,Where is my warranty and garantty papper,The product delivered at that exact date of delivery..the support team was up to mark..at this budget a great washing machine from a brand like IFB..so go for it..
5,26 July 2020,"a branded product, dont get the installation done as ...","Using it since 18 months. Bought it for 21k.The machine is working fine without any problem but maintenance is a bit high. Need to change the filter candle and clean the machine with powder every 2 to 3 months. Additionally at the time of installation  u need to buy stand,filter,stabilizer which costs around 5k. Gets overloaded while washing heavy blankets and bedsheets. Takes too much time than other machines.4 years complete warranty is very helful."
4,26 July 2020,this product is not good,Please dont go for samsung or lg. IFB is the best to buy and very much recommended. Its been one month i am using it. You need to keep a watch when its rinsing at its full speed to avoid any damage other wise its the best product
5,26 July 2020,Missing part - not yet fixed,"Delivers a clean wash, doesn't destroy the fabric,  hot water wash is really good."
1,20 July 2020,Good product,Pathetic after sales service by IFB. Will never every buy IFB product again.
4,20 July 2020,Recommended,No timer
4,18 July 2020,Afrer sale service is bad .,"I recommend everyone, good for small family."
5,17 July 2020,No timer,Nice product
1,15 July 2020,IFB,Pathetic service. Didnot even use once. No one from IFB responding
4,14 July 2020,Good washing machine,Good
1,14 July 2020,"Pathetic service, installation and demo not done properly",Worst product.Don't buy it.Machine always showing error.Bought last week only.Received broken product.
