Rating,Date,Title,Review
4,15 August 2020,Nice product in good range,Good for small family
3,13 August 2020,Not a great experience,"No body has contacted me for the installation of the machine.. Although I tried contacting at toll free number of ifb, but they are non responsive at this."
1,12 August 2020,Good,machine was showing tE error. service is so bad. moter was stop working after worranty service guy replace moter in 4000rs after 1and half mnth it again stop working than they rplace electric bord and after 1.5 mnth machine again stop working.
1,09 August 2020,No installation done even after 4 days of delivery..,Not good. Scratches on the main panel. Looking used machine. Avoid buying with this kind of delivery.
5,31 July 2020,dont buy ifb,Good
5,31 July 2020,Used machine?,Value for money product. I have been using this product from last 2 years. It's functioning smoothly without any issues
1,29 July 2020,Good,Scratchess on top Lid need Replacement.
4,17 July 2020,Value for money,There is no issue. I wrote review after using 3years. Gr8 product
1,13 July 2020,Scratch on top Lid,Used product
5,11 July 2020,Value for money,I liked this machine it is time saver for me
5,10 July 2020,Nice product in good range,High performance  at law price
5,10 July 2020,Not a great experience,Pros -Cool color.Easy setup for wash programs.Not making much noice.Cons-Price is little higher compared to other companies machine.
1,07 July 2020,High performance  at law price,Rat mat missing
4,27 June 2020,Good Washing machine for family of 3,"Good product. Bought 2.5 weeks back.Installation service was, however, delayed and needs improvement for sure."
1,24 June 2020,Missing part...Rat mat missing,Amazon send defective piece and Amazon asign service provider which give apointment re schedule again and again.I give one star to amazon service.
4,20 June 2020,Overall a good buy for the purpose & price,"Good one. Easy to use,  washing timer is not counting for while filling the water."
5,13 June 2020,Bad experience,Water leaking
1,10 June 2020,Good washing machine for small family,Installation team is very rude .hang up phone without listening and they never came on time .
5,05 June 2020,Complant,"Awesome product, i was using this from last one year.  This is the 2nd in my uncle's home. It is easy to use and even Senior Citizens can use easily.Got in lesser price from Market on Amazon , thank you Amazon.  Noise level is also low. A must purchase product."
