Rating,Date,Title,Review
5,14-Aug-20,Amazing product,Value for money
4,14-Aug-20,DO NOT buy LG products,Good
1,14-Aug-20,Value for money,"Amazon and LG both customer service is, useless  no one interested to help customer. I called LG customer care more than five times but the kind of answer we are getting is unacceptable. There is, no timeline as to when a mechanic will come and install the machine."
1,13-Aug-20,Better,No body has come up for installation
4,13-Aug-20,LG and Amazon customer care and service is of no help . Completely useless.,When I thought to buy this I reviewed a lot.for top load LG is so good and durable. But many people bought Samsung I think it's due to less cost than LG but LG had more guarantee time than LG both on moter and product but Samsung has less I think it's 4-5 year only.
5,13-Aug-20,No installation,"Bought this at Rs. 14,999 exclusive deal, worth the money. Noise free machine, calculates timing properly. So far so good. Tub cleaning functionality is great. Haven't tried modes other than 4 and 5. prewash + normal works perfect for me."
5,13-Aug-20,It's good,Excellent machine to my satisfactionWashes 15 to 20 clothes each cycle  with less soap better washAutomatic washes in 45 minutes timeRecommend this top loading LG unit
3,13-Aug-20,Great product,OK
5,12-Aug-20,LG washing machine is very good,Value for moneyBut installation is too late
4,12-Aug-20,OK product,Product is good tq Amazon service given without damage
5,15-Aug-20,Amazing product,Value for the price
4,28-Jul-20,Amazing product,Value for money good quality and nice look overall I’m happy
4,15-Aug-20,DO NOT buy LG products,"Packaging and delivery perfect. .and in working noise level low ... quality of washing is not very well ,bt good ...simply best product for 15k range ...i recommend this."
2,15-Aug-20,Excellent,There is no warranty card....that is missing in package..... Amazon should provide this.....
5,15-Aug-20,Recommended one,Excellent
1,15-Aug-20,Warranty card is missing,Please don't buy LG product it's worst and service is even too worst.Also don't bought anything from Amazon which promised any service.
5,14-Aug-20,Great product,Thanks to AmazonGot the product with Super fast delivery.And the product was Awesome 😎
4,14-Aug-20,Worst Amazon and LG,Machine is good but service person explained in just 10 min and never check the checklist...he is come open the box and doing pipe settings.. never check other problem like mentioned in check list
4,14-Aug-20,Terrific,"Nice product less noise level,easy to use"" and ""value for money""."
1,14-Aug-20,Service person does not check checklist.....need to improve.,Installation date and time problem what to do
5,14-Aug-20,Nice product,"Easy to use and sufficient for a family of 4,, takes less time than the one I used. User friendly and must buy product"
5,27-Jul-20,DO NOT buy LG products,Very  nice  product  ad good  price.very nice service. Thanks
4,26-Jul-20,Super item,Nice super
1,26-Jul-20,Nice product .extraordinary  service  in lockdown. Thanks,"why fixing guys do hurry burry while fixing the product our rat mesh burned due to his improper fixing we stopped using it with fear we need solution,so much headache"
1,26-Jul-20,Nice,"Not happy with installation person... I have seen on YouTube company person come with extra pipe or stand but he had nothing, plus gave information in just 5-6 min and went, didn't give proper demo."
5,25-Jul-20,"lg guys improper fixing,poor lg service",Best in the segment. noise level is very and great cleaning.
1,24-Jul-20,INSTALLATION/DEMO WASN'T UP TO THE MARK,Too bad product on amzone. And to costly. Local market new model in same price. Please very fy evry large appliaince product purches from amzone
4,24-Jul-20,Best Purchase,Good
1,23-Jul-20,Tooo bad service by amazone.,"The washing machine came damaged, the motor is not working, and a complaint was lodged with LG.Unfortunately the complaint was lodged after 10 days of receipt of the machine as it was installed in a new apartment.LG sent a text message on 10th July 2020 stating a technician SAMEER DALVI would attend to the machine and replace the motor, but the same remains unattended after 14 days of receiving a BRAND NEW MACHINE.VERY POOR CUSTOMER SERVICE & A BAD NAME FOR LG ELECTRONICS.Stay away from this company."
4,23-Jul-20,Good,"Liked the product, infact its a product for the homemaker and according to my homemaker... its an awesome item, easy to use, worth."
1,12-Aug-20,Amazing product,Okay
5,31-Jul-20,Amazing product,It is good product no more vibration & easy to use..
3,09-Aug-20,Amazing product,Didn't receive invoice of the product.
4,12-Aug-20,DO NOT buy LG products,"5 star for Delivery and Installation. Amazon delivered 2 days before schedule. Lg guy installed the washing machine same day, even in lockdown. Flipkart is not even accepting orders for my city.Prima facie the machine is looking fine. Will give detailed review on quality of wash, water usage etc after some usage."
1,11-Aug-20,LG Team,"Installtion of the product is still pending, after 2 days of purchase we got a call for installation, but the person who came only demonstrated the product and didn't do any installation.whereas it is clearly mentioned on this site that customers will be called for installation within 48 hours of purchase.pls look in to the matter and do the needful."
1,11-Aug-20,Good product by LG,Installation person not responding and taking long time for respond please don't believe LG installation
4,11-Aug-20,Installation is still pending from LG,Washing machine nice and value for money . But LG service waste . The representative came for installation and he really don't give value for customers . He don't have patience at all . He did not explains the programs first he don't know the programs . He did not wait for some time . He said After installing the inlet pipe his work is over. Don't send these people to the customers for the installation.
5,11-Aug-20,Free installation don't believe,Rating based on 2 months after purchase... LG Washing machine meet the expectation for me.
4,11-Aug-20,Nice product but product waste service.,Quality product
5,10-Aug-20,Good,"I'm using this machine from last 10 years. So far so good, used it every single day"
5,10-Aug-20,At this price they should provide smart door...,Nice product
5,09-Aug-20,Rough and tough,Awesome product.Value of money.Nice cleaningsuperfast and safe delivery.
5,31-Jul-20,DO NOT buy LG products,Nice machine for this price.
5,30-Jul-20,Perfect for use,"better service and easy to use even childrens also can use , one  mynus isther is no drain motor in this model"
1,30-Jul-20,Amazing,Yet Washing machine installer and demo person didnt came. Please contact us immediately.
1,30-Jul-20,reviw,DEFECTIVE ITEM RECIEVED
5,29-Jul-20,Washing Machine installer,Very good product. Received as committed by amazon. Moreover service personals from LG was available for installation within 1hr of delivery. Satisfied with amazon service
5,29-Jul-20,DEFECTIVE ITEM RECIEVED,Excellent value washing machine
1,29-Jul-20,Very satisfied product and process of delivery and installation,"Please don't buy this model, although the company claims it to be their latest model, it's a poor performer. My 12 years old LG fully automatic 6.5 kg top loading was much better. It's better to buy semi automatic rather than buying this model."
4,28-Jul-20,Good quality machine,"I brought this product on July .Writing review after 3 weeks of use .It is very good for old age people as it is very easy to operate .-> The Noise level is very low .-> there are more wash programs .-> the problem is it doe snot dry clothes up-to the  mark , even there will be lot of wet in clothes even after spinning the clothes .There is no Air dry option . it is only of tub clean .That is only the issue with the machine , all other is good ..I recommend this machine 4/5."
1,28-Jul-20,Please don't buy this model.,Worst product with in 3 days machine is not working
4,09-Aug-20,DO NOT buy LG products,It how much use water
5,08-Aug-20,Didn't receive invoice of the product.,Best quality no noise & easy to use best price for purchase
5,08-Aug-20,Water use,Washing is OK but some times extra drying is needed for large bed-sheets and thin blankets compared to the previous model in LG which was excellent and did not give trouble for 5.5 years. This one need to be observed as its just a month old but saves on the electricity as the energy rating is 5 star
5,08-Aug-20,Best quality no noise & easy to use best price for purchase,We haven't faced any problems yet after a month's use
5,08-Aug-20,Good washing machine,Lg superb
4,08-Aug-20,Good all-round machine,Good
5,07-Aug-20,Perfect,The machine is really good. I took 6.5 kg version. Noise level is minimal but there is some. Select the wash type as per the need or else there will be washing powder stains on the clothes even after wash.
5,07-Aug-20,Good,I am very satisfied with the product. Amazon delays installation.You guys can directly call the company get it installed immediately.
1,07-Aug-20,Nice washing machine. Worth money,Not working
5,17-Aug-20,Amazing product,"Brand: LG so far never disappoint us, we are using maximum LG appliance# This machine has inverter motor + 5 star rating  save elevtricity# Not measured but i must say this machine consume less water than semi automatic# No noise at all, buzzer willlet u know when work done# really easy to use# not sure if hard water will cause harm for machine, but we bought 1k hard water filter using at water inlet point, no harm in that# LG top brand in home appliances,  picked this machine over ifb, Samsung and bosch# 5 star for amzon for offer , on time delivery and demo"
5,16-Aug-20,DO NOT buy LG products,Good product value of money
5,16-Aug-20,"LG always rock, big fan of LG products",Best in range
2,16-Aug-20,Good product,Does not ot wash clothes properly washing power can be seen in the clothes have to rewash it Twice old machines were good as the pulsating was superb
5,16-Aug-20,Lg awasome,So far satisfied.
5,16-Aug-20,Not worth,"Worth buy product ..its LG so nothing to say..recommendedWithout scrubbing ,shirt collar stain is washed very well."
1,16-Aug-20,LG Washing Machine review...,"The Machine has dent on left side, the machine is not easy to use for older people as there are multiple steps. I had haier machine which starts right away when you press start but this machine takes atleast 5-7 minutes to completely start and you have to be in front of it just in case it doesn't start or fails thats really uncomfortable. Also the dryer is not efficient when i compare with 10k rs Haier automatic machine."
5,15-Aug-20,Easy to use n works fine.,"It’s a great machine , easy to use and low noise level and is also inverter based model . It’s looks good and is absolute value for money . Researched many brands and switched from Samsung front load to a LG top load . Also great exchange and delivery service by amazon . Got it installed personally as did not have time to avail the free installation service ."
5,15-Aug-20,Machine is good with defects,Value for money
2,15-Aug-20,Good product and exchange service from amazon !,Very low Noice level
5,07-Aug-20,Amazing product,Value for Money
3,06-Aug-20,DO NOT buy LG products,Need to installation
5,06-Aug-20,Value for Money,"As of now, working fine and meeting expectation."
5,06-Aug-20,installation,This is very good items.thanks for Amazon
4,06-Aug-20,Good Product,Is the stand available
