Rating,Date,Title,Review
5.0,10 August 2020,One of the best automatic washing machine in this price range,Easy to use and value for money
5.0,9 August 2020,Damaged front,I have been using this product since 2 years and it the best thing I could ask for. As of now I have not faced any issue with it and have even recommended to my family members. Two of my other family members are also using it and loving it.
5.0,9 August 2020,Perfect product for small family,"Value for money product, It has been 1 year, without any problem it is running. We overload everytime and works fine. Must buy product. But only thing is we have not received any installation we did by our self."
1.0,9 August 2020,Best product,"Never buy this product. I have purchased this in 2015. It is not working since 2019. I contacted cust. Care to resolve the issue. Engineer came from samsung submitted that motherboard is not functioning and motherboard can not be replaced as it is not available. When I contacted again, they do not respond me. Now it is lying abandoned in a corner of my house."
4.0,9 August 2020,Best product for the price || No installation provided,Good product
5.0,9 August 2020,Never buy this product,"I had used this machine earlier at my flat in Mumbai,Soon after I shifted I used it 10 times in I guess 8 hours with full drum load,Works great, very easy to use, I don’t think their is a different mode for tough stains or heavy clothes,I always use standard mode, Takes lot of water, 6-8 Buckets for 1 washI had purchased two such machines, got it on amazing price in dealSatisfied"
5.0,9 August 2020,Good product,It has been a month since i have been using the product.ProsEasy to use.My mom can easily operate the machineLow noiseValue for money.Compared with other products and found this at the best rangeEasy installation. The product was installed within a day of the deliveryConsDid not find anyOverall it is good producy in the given range
1.0,9 August 2020,GETS THE JOB DONE,"Defective model dont buy this, andamazon service also worst i have raised a return request but they are rejected. And i have lost my money completely"
1.0,9 August 2020,Amazing,Recieved damaged product
1.0,9 August 2020,Worst product and worst service by amazon,"Damaged product delivered.My previous review about this washing machine has been put on hold. No idea why?However, I have to write once again to know people. If they are blocking again then it means they are not letting know bad reviews about the product which is infact truth.I received damaged product, delivery boy said not to open till the technician comes and we did the same thing. When technician came and opened the carton, to our surprise it was damaged an shown in the picture.And it was difficult to contact the customer care service which is mentioned on the washing machine.Finally, when you receive the product open and check to make sure you got delivered product in good condition. If not in good condition then return them back. Otherwise you have to waste more 2-3 weeks.May be the washing mashing company is good the they delivered the damaged product and contacting them is horrible. It is not easy.Thanks"
1.0,11 August 2020,One of the best automatic washing machine in this price range,"Cloths are getting torned in spin, especially long cloths, it gets tangled with other clothes badly after spin."
4.0,10 August 2020,Damaged front,"The product is good. Arrived on time undamaged. Colour and features are same as described in product specifications. The only issue was installation of product. It was mentioned that the service providers will come and install it within 48 hrs. But due to covid (which is no longer an excuse since all the services have been regulated and people are working normally), they didn't arrive. I waited for more than a week but didn't receive any call from Samsung unlike what has been written here.  I tried calling Amazon and Samsung customer care but it never connected. Finally I had to call a local service centre guy and get the installation done at my own expense which was supposed to be free. And got to know about the functions after reading the manual. This is the first time that Amazon has disappointed me with something like this. Satisfied with the product otherwise."
5.0,10 August 2020,Clothes are getting torned,Just go for it. Awesome product and good packing. Very happy with Amazon and samsung. Works really well. And got it for a good price. The installation was also done within 24 hrs of receiving the product. Good service.
5.0,10 August 2020,Good product but forget about the free installation.,"booked on Aug 5 2020, washing machine delivered on Aug 7 Friday 10 o'clock. samsung service person came on the following Monday and showed the demo in an excellent manner. my parents are happy with the purchase. I am satisfied."
5.0,10 August 2020,Awesome purchase...go for it. Five stars for the product.,good
1.0,10 August 2020,happy purchase,I've received damaged item this morning. Damage identified by the samsung service person in installation process and asked md to return it. Such a bad experience.
5.0,10 August 2020,good,"I purchased 6months back, its working gud."
1.0,10 August 2020,Received damaged item. Applied for replacement.,Product was delivered dented.
4.0,10 August 2020,Good,It is easy to use
5.0,10 August 2020,Damaged Product,This a very nice and compact machine. It will be enough for a family of 3-4. The features are great and its easy to use. Its lightweight as well and looks good. Over all value for money.
4.0,12 August 2020,One of the best automatic washing machine in this price range,Nice
4.0,12 August 2020,Damaged front,Easy to use
5.0,12 August 2020,Nice,"I have bought it one month ago from Amazon. Delivery and installation was too cool. It's nice to clean dresses..Pros : Totally Automatic , dual wash Technique , Good dryness , no need water touch and finally totally cool.Cons : It's take long time approx 40-45 min. You don't add water from outside because it doesn't calculate how many water is needed. and other problem is , if you want to change to any mode during working process...it should start from the core....it's painful and wasting time... So be careful while using.Thank you."
5.0,12 August 2020,Good model,Beautiful Washing Machine
5.0,12 August 2020,Nice Clean !,Good
5.0,12 August 2020,Full Value For Money,"Wonderful deal, highly recommended in all aspects."
1.0,11 August 2020,Best,There is no installation . Product was delivered 15 days before . There is no response from Amazon and Samsung.  Deserve zero star.
5.0,11 August 2020,Pesa vasool,Good service and the delivered product are awesome
3.0,11 August 2020,Low quality services,Very hard stains are not being removed
1.0,11 August 2020,Congrats,"Dear Amazon Representative, this product was a gift for the in-laws. Unfortunately when the installation technician showed up, he found the Machine Tub to be damaged. Alarming and concerning."
5.0,14 August 2020,One of the best automatic washing machine in this price range,Good
4.0,14 August 2020,Damaged front,Easy to use
5.0,14 August 2020,Good,"Very good, on time delivery and installation. Very happy with product and services."
4.0,14 August 2020,Easy to use,Look is awesome. No tangling of clothes. Properly washed.
5.0,14 August 2020,Good product and services,"This is a 2019 model but it has great value for money. It is as good as its newer model, it is quiet enough and wash is good. Very satisfied with this purchase."
1.0,14 August 2020,Nice product,The outlet pipe broke in less than 15 days of the purchase. Almost a week has gone and Samsung has not fixed it. Simply terrible!!!
5.0,14 August 2020,Great value for money,installination was good no damage in delivery and same colour mentioned go for it in low budget
1.0,14 August 2020,Terrible!,Water drain pipe not received in box.Led panel show dc.Unbalanced machine and under one spring out
1.0,13 August 2020,go for it,"Since the washing machine was delivered, I am chasing samsung for installation. It's 5 days still no one came for installation. On calling samsung helpline they keep on raising service requests but no one came to install. Extremely unsatisfied with Samsung."
3.0,13 August 2020,Missing Accessories and damage,"in this price range, you can't get better. Clothes get entangled after wash. machine is powerful to wash off all kind of stains (i used Surf Excel detergent). spin is good. I bought LG washing machine in 16k 2 years back which doesn't has problem of entangled clotes and it's filter worked better than this. but still that was 3k extra. I dont think you will find any good washing machine than samsung in 13k."
5.0,5 August 2020,One of the best automatic washing machine in this price range,Nice worth buying
5.0,5 August 2020,Damaged front,The monsoon feature is an added bonus.
1.0,5 August 2020,Nice product,"Samsung technician visited to me, ask me to connect the machine on water tap & power supply. then leave the place.now machine is huge vibrating during operation, my nabour are saying that machine is not balanced.kindly send technician to intall the machine & to support me how to operate machine. ( as there are many switches on the operating board)."
5.0,5 August 2020,Its a month since I bought this machine and its working well,Good Performance.  Clothes do not get entangled after the wash is complete.
4.0,5 August 2020,yet not installed,"Everything is good, but only one problem is there, when we use only wash mode then there is not drain water automatically"
5.0,5 August 2020,Good Performance.,Standard. Easy to use. Takes long time but that could be due to water pressure
5.0,4 August 2020,Overall good,Value for money.
5.0,4 August 2020,Good,"A compact and user friendly washing machine, Has functioned trouble free since purchase."
1.0,4 August 2020,Good product,It’s return policy is not for 30 days. I don’t like it and I don’t see any possibility of replacing it. I want to rerun the product. It does not seem original.
5.0,4 August 2020,Very user friendly machine,This was the second purchase of the same products.Blindly go for it.
1.0,13 August 2020,One of the best automatic washing machine in this price range,Received defective product. Got the refund from Amazon and ordered again from Flipkart. They delivered it with utmost care.
1.0,13 August 2020,Damaged front,"Not sure where to start, I would rate it a ZERO if there was an option. The machine from the very well reputed brand Samsung and ordered from Amazon comes broken with multiple defects. The installation guys came in and unpackaged it noticing multiple dents on the machine and issues with the shocker.It is really DISAPPOINTING to have this experience when it comes from a well known brand and sold on Amazon. Was there no inspection done at the source or destination warehouse to make sure the appliance is intact? Why did the customer have to invest their time and money to finally receive a broken appliance. The only reason I bought this online was the trust on amazon, but its lost with this experience. I did see a review or two stating the same issue that the appliance came in defected, and ignored it thinking it’s just a one off scenario but doesn’t look like that, it seems pretty common for them to send broken and defected pieces.DO NOT buy this appliance online, it’s better to go in store and buy."
5.0,13 August 2020,Dented product- Amazon’s delivery is not satisfactory,Does a good job and dries the clothes well too. Its quite sturdy and provides a glass top view to see whats happening inside. The programmable options are sufficient and was quite pleasantly surprised by the drying capability of this machine. Wasn't expecting much but it does dry the clothes to a good 65-70%.
5.0,13 August 2020,DISAPPOINTED!! Appliance came in with MULTIPLE DENTS and SHOCKER ISSUES,Really happy
4.0,13 August 2020,"Simple to use and handle, worth the price tag",Good
5.0,13 August 2020,Excellent product,"Easy to use, also value for money"
5.0,12 August 2020,Good product,Recommended
5.0,12 August 2020,Best,Ok
4.0,12 August 2020,Budget machine with good features,"Easy to use, good product.Damage for front both end side."
5.0,12 August 2020,Ok,Good product
5.0,7 August 2020,One of the best automatic washing machine in this price range,Easy to use....washing clothes well SPIN is really very good.I like it👍
1.0,7 August 2020,Damaged front,I have never seen any worst product like this bcoz it's damaging my premium clothes and after complaint they guys take a time I understand it happened due to covidBut after that they said we are not providing any warranty to plastic products ut will be chargeable for uNot expected this from samsungalmost after 5 month this issue started now it's almost 9 months still m waiting for to someone come and repairRather than this next time prefer to buy any china productsServices matterNo value for customerNo vakue for customer time0 star from my sideTotally waste of money 💰
1.0,7 August 2020,Very easy to use....Value for money,Product is damaged
2.0,7 August 2020,Worst products useless warranty all repairs are chargeable,It was very disheartening to see that my new Samsung washing top load  machine had a breakdown within fourth day . It showed a small smoke coming from the corner of the dash board after the spin ended and the machine completed its wash .After that it never started . I have informed the SAMSUNG service center .Looks like I have been given a defective piece. My old washing had worked for more than 10 years
4.0,6 August 2020,Damaged product,Not fancy but does the job pretty well. No complaints and is very good for its price.
5.0,6 August 2020,The machine had a breakdown on the fourth day,Good product....
1.0,6 August 2020,Does the Job.. no complaints,I bought samsung washing machine but nobody can come for installation
5.0,6 August 2020,Good,Still ok
4.0,6 August 2020,Nobody come for installation,"Overall good product from every perspective, easy to use but it takes much time in washing mode for 3-5 cloths."
1.0,5 August 2020,Product ok but bill not received pls send me bill,Bad machine
5.0,17 August 2020,One of the best automatic washing machine in this price range,Very easy to use. Very good price
4.0,16 August 2020,Damaged front,I have used this product previously it is performing good.But this time an issue with the delivery. There is a dent behind and not sure whether it can be corrected or not .
1.0,16 August 2020,must buy,Nobody was coming for installation. So I opened the product myself. It was in heavily dented condition. Replacement is also taking a lot of time. Very poor service.
5.0,16 August 2020,Dent in my newly delivered washing machine,Great product from Samsung and after sales service is great. Easy to use also
1.0,16 August 2020,Heavy dented condition. No installation.,Super good
5.0,16 August 2020,"Kudos, super",Good product
4.0,16 August 2020,Super good,"1 star less, as when power resets instead of resuming from same minute it resumes from beginning of that step"
5.0,16 August 2020,Good product,"Have used it for a month now, it’s easy to use and does a decent job. At this price it’s a great buy"
4.0,16 August 2020,Good product,Good product ..easy to use ..but little bit disappoint me when I saw a very small dent in back side..
4.0,16 August 2020,Great buy,"I find this washing machine excellent. Cleaning clothes well, as per given program.Very easy to use.Delivered next day of ordering. Installation and demo done by the next day.I'm satisfied with Samsung's overall performance."
5.0,30 July 2020,One of the best automatic washing machine in this price range,Good to operate
1.0,30 July 2020,Damaged front,"Whenever I select only spin function, it starts the whole washing process which is very irritating. I had bought it very recently."
3.0,30 July 2020,Value for money,Product is good but I am not satisfied as its Spin function. In My previous Semi auto Spin was nice and clothes dried 95% but In this washing machine just water drain out from clothes.
5.0,29 July 2020,Spin function does not work well,Great washing machine ....Very easy to operate ..
2.0,29 July 2020,Spin is less effective compare to semi automatic.,Not comfortable to operate due to Slow inflow of water.
5.0,29 July 2020,Great washing,Expected results
5.0,29 July 2020,Slow inflow of water,Very nice product
5.0,29 July 2020,Good Washing machine,Easy 2 use easy...wash is good...monsoon mode is d best d clothes r almost 90% dry after drying by monsoon mode...its surly value for d money u pay....
5.0,29 July 2020,Very nice product,Good
1.0,28 July 2020,Value for money 💰,"Delivered today, Samsung technician said valve is a problem, machine needs to be replaced.On hold with amazon for 30 minutes, no response, pathetic service."
5.0,8 August 2020,One of the best automatic washing machine in this price range,Good
4.0,8 August 2020,Damaged front,"Very Value for money selection. Extremely easy to use, reliable, and economic washing machine,One drawback is the filter gets clogged real fast, have to clean the filter min once in a week.Appart from the best in the market."
3.0,8 August 2020,Good,Getting obnormal sounds while spinning
5.0,8 August 2020,Best Value For Money,Value for money
5.0,8 August 2020,Good product value for money but getting abnormal sounds,Excellent product
1.0,8 August 2020,Value for money,Goods
5.0,8 August 2020,Product,Nice
5.0,8 August 2020,Nice,Nice and very good at this cost price
4.0,8 August 2020,Nice machine,Simply superb
4.0,8 August 2020,Budget Washing machine,Value of money good product.
1.0,16 August 2020,One of the best automatic washing machine in this price range,This is not working automaticallyTo drying the clothes We need to click on the power on button and have to choose spin to drying the clothes
5.0,15 August 2020,Damaged front,Aswome product really I like
4.0,15 August 2020,"I want to return the product, because this is not automatically",Good product but not best
1.0,15 August 2020,Excellent,When kept on floor it is not stable. Poor product. Water pipe is small n plugin cable is small too. Not value for money.
4.0,15 August 2020,Good not best,Good value for money
5.0,15 August 2020,Poor product,Really great product
5.0,15 August 2020,*,Great as of now.. as expected ...
4.0,15 August 2020,Worth to buy,Received product after 40 days of order date..Product looks good..After service was good..Samsung technician installed and they promised best service.
1.0,14 August 2020,Reviews are perfect !,"Dent product received from Amazon.product not properly packed,carton box very loose item has dent.it seems to be like second hand item.am not satisfied with this machine wash quality and more water using this machine"
1.0,14 August 2020,Good Product.. Delivery delayed...,Disappointed by purchasing this...as item was damaged n I am not getting replacement.
1.0,31 July 2020,One of the best automatic washing machine in this price range,The product had dent on top and bottom. Bottom side outer panel was completely broken. Even though the machine is great but i received a faulty product.
5.0,31 July 2020,Damaged front,Good ... Less sound simple to useGood one
4.0,31 July 2020,Broken product delivered,This product providing us good Service..
4.0,31 July 2020,Samsung washing machine review,"It is value of money, easy to use fit small area"
2.0,31 July 2020,Sritama Chatterjee,"Samsung service response is worst, I huave placed installation request on 28 July 2020, today is 31st July 2020. Stil installation is not done. I have been calling samsung service from last 3 days for followup, they are saying cock & bull stories. They are not resolving issues. They are inefficient. Very poor in terms of service. My service request number is 4306761979. Samsung service is worst ever serving I have seen."
3.0,30 July 2020,Our first washing machine,Water pipenis leaking. Installation guy didn't solved the matter
5.0,30 July 2020,Samsung service is very poor,Good
4.0,30 July 2020,Installation not proper,ya its value for money
5.0,30 July 2020,Good,Very easy to use.
4.0,30 July 2020,good,Short pipes.
3.0,1 August 2020,One of the best automatic washing machine in this price range,Very good
5.0,1 August 2020,Damaged front,Good
5.0,1 August 2020,Good,Value for money washing machine.  Entry level features and worth buying.
5.0,1 August 2020,Good,Best machine for the priceDoes the job perfectly clothes washed comeout clean and dryMight be less durable the front loads but for the price it's best option go for it
4.0,1 August 2020,Excellent product.  Go for it.,Very good
5.0,1 August 2020,#1 Washing Machine on Amazon,Super
1.0,31 July 2020,Value for money.,Product does not justify brand name.
5.0,31 July 2020,Super,"Good product, use full, the quality of washing and spinning is good, have to press the cotten fabrics directly after spin. Water consumption is medium, electricity consumption is less."
5.0,31 July 2020,Unworthy product,Everything is at its best
4.0,31 July 2020,Nice product,Water inflow is less. Taking long time to wah even quick wash.
4.0,26 July 2020,One of the best automatic washing machine in this price range,Easy operation & value for money
3.0,26 July 2020,Damaged front,"Product is good but handling product from delivery service is very worst, see the damage on machine it's very disappointing"
4.0,26 July 2020,value for money,You can go with the product.
1.0,26 July 2020,Bad delivery service,"Just got the delivery and it got dents all over, its like buying from olx a used product"
4.0,26 July 2020,It is ok,"I baught this machine in July 2020. It was well delivered on time and had good packaging. The body is sturdy as well as beautiful to look. It works very well and you dont have to worry at all. For installation I'll recommend if you can - watch you tube videos and do it yourself. It's easy no hard and fast rules there. As you would be getting calls from the company to send installation guy on n on till your machine is well working. I'm not sure but I thing they charge for installation. The buttons are good quality and led display is satisfactory. Tje only down side is its tedious to understand the various functions even though on getting a manual book.However it's worth the price . An absolute value for money. It's not that heavy. Yes required good amount of space. Wire and plug has approx 3.5 feet long and good quality. Drain hose pipe is ok quality. And the water inlet pipe is around 2 feet but is of good quality. One of the best washing machine in this price range with these many specifications.  Go for it, you wont be disappointed."
4.0,26 July 2020,Damaged delivery,Product is good .. easy to use ...  Like the function to spin 5 time if you want
5.0,26 July 2020,Easy to use. Value for money. Good brand,Value for money
4.0,25 July 2020,Price is adorable  ...awsm ...,Good one
5.0,25 July 2020,gud one must buy if u have low budget,Good and value for money
4.0,25 July 2020,Just go for it,Nice giod wash
1.0,28 July 2020,One of the best automatic washing machine in this price range,Not a good product
5.0,28 July 2020,Damaged front,I take products from Amazon. Previous experiences were excellent. This time I'm dishearted by the installation service.
5.0,28 July 2020,Waste,Gooood
5.0,28 July 2020,Excellent product and in time delivery.. Very Poor Installation service,"Easy to use, and value for money."
5.0,28 July 2020,Smart,Good Entry Level fully automatic washing machine. Real value for money
5.0,27 July 2020,Easy to use.,Amazing features with nice look..
5.0,27 July 2020,Good Entry Level fully automatic washing machine. Real value for money,What is the problem of this sounds.
5.0,27 July 2020,Great,Very good product at very right cost
5.0,26 July 2020,Problems,"Received the product a few days ago in intact condition without any damage due to transportation.Some suggestions for prospective buyers (as I have read some negative reviews).1. Keep the machine on hard surface, in such way, that it doesn't budge at all.2. Go through the booklet, coming with the product, meticulously, you may yourself install the product. You may also download the pdf from Amazon's page.3. If you do it on your own, the only problem you may face is to attach inlet pipe with the tap. There are three detachable parts at the mouth of the inlet pipe (go through the booklet) on the side of the tap. I bought a tap with two stopcock (see the picture) ---- one for washing machine and the other for normal purpose. I have also purchased longer inlet & outlet pipes, as per my requirements, from Amazon (you may get 3 meter or 5 meter lengths of them). Remember, you will have to get everything ready (i.e. provision for electric and water line connection near the machine) before Samsung technician visits your home for demo purpose.4. Machine is so superb that it distributes laundry uniformly on its own inside the tub during its operation (rinse / spin), if not (not in my case till now), machine will signal and you may manually balance the same (go through the one page leaflet coming with the product).5. The noise produced by the machine is very normal with deep humming sound. In my video, the noise appears to be louder.6. Washing and drying quality is very good. I think, for four family members, at best 3 times washing in a week will suffice.7. There is a level mark L (low), M (medium) and H (high) inside the tub --- do not overlook for filling the tub with laundry.8. Do not mix heavy clothes with light ones for good washing purposes. For example, if you you wish to wash three bed covers, do it separately, and not mix with them with shirts, inners, etc.9. Preserve Amazon's voucher carefully, as Samsung technician told me 10 years' warranty on the motor, and any problem cropped up in future, that voucher will be needed.10. Only cons ---- consumes huge quantity of water, that I think, is necessary for any top loading washing machine, otherwise, keep electric and water connection on, then, press Power & Start buttons in tandem, machine will work on its own and will signal for end, then goes off automatically, for taking out 90% dried laundry out of it.11. My Samsung technician is good enough to explain several functionalities of the machine and also advised on proper maintenance of the same."
4.0,26 July 2020,Very good product at very right cost,Value for money
5.0,3 August 2020,One of the best automatic washing machine in this price range,"It's a wonderful washing machine in this price range which can fulfill your all needs. Value for mkney, I m extremely satisfied .."
5.0,3 August 2020,Damaged front,"Very Nice product, value for money."
5.0,2 August 2020,Value for Money,"Nothing to say much about a brand like Samsung. It is good quality product, fast installation during this situation, easy to use. Love it"
5.0,2 August 2020,Good,Very good machine.
5.0,2 August 2020,Nice Product from Samsung,Product meets the claim of manufacturer and more
5.0,2 August 2020,Exellent,"Samsung 6.2 kg top load washing machine is absolutely excellent, i cant find anything to dislike, only the body material is little thick but in this price range its ok. I have 4 family members and it absolutely serves my purpose. Received in brand new scratches and dents free condition. Instalation from Samsung was also done smoothly, there was no hick up. Thanks Amazon!!"
1.0,2 August 2020,Headline,"poor in quality,so noisy,not properly clean the clothes"
5.0,1 August 2020,Value for money washing machine,Good product
