Rating,Date,Title,Review
5,25-Jul-20,Machine is excellent. Service part needs to be improved. Front load saves water. Useful wash options available.,The product is good however I have marked down on value for money because the after sales care is pathetic. One month after delivery and many calls/emails to Bosch we are still waiting for the warranty and the technician to come for a demo.  Would suggest going for a brand with known good after care even if you have to pay a little more
5,01-Jul-20,Machine is excellent. Service part needs to be improved. Front load saves water. Useful wash options available.,Very good product and value for money
5,25-Jul-20,Machine shaking,"using it from 1.5 years, everyday I use almost twice because of my kids and working great"
4,24-Jul-20,Good but still not received warranty,I don't like installation schedule and after many request they installed it but not updated and I m getting to reschedule massages
1,24-Jul-20,Easy to use and Best,Recived a defective piece and returned it back to the seller
1,23-Jul-20,perfect 👌 machine but poor installation process and still they not updated,Machine Not working properly...
5,22-Jul-20,Recived defective piece,Best washing machine ever
5,20-Jul-20,Too Bad... Ever i seen in Bosch,Good to go..
1,19-Jul-20,Bosch with amazon,"I have bought this machine last week, i am highly unsatisfied with this product as in the mix load cycle that claims clothes will be washed in 44 mins - it always take 1.5 hours for machine to complete that - and twice all the detergent was floating in the water even after 1.5 hours. Apart from this, twice it completed the cycle in 1.5 hours and all the clothes were completely wet - that is it dint dry the clothes at all ! Its total wastage of myMoney- i feel i would have invested in LG and would have got far better product that this."
1,18-Jul-20,Superb Machine.,It's tuf to use. Some options are not working properly.
2,18-Jul-20,Highly unsatisfied!,"Faulty product received, machine not working well some internal issue.Today first time i used it."
1,01-Jul-20,Machine shaking,"This product was delivered on 18th and on 26th when I used it first time it was found to be faulty as after the program ends it is giving me wet clothes with soap also in the clothes. I immediately informed the service engineer who came to install the Washing machine and he assured me to come on Monday i.e 29 th of June which was the final day of return window closure ,and I called him on Monday and Tuesday i.e yesterday and today also and finall he came today and informed the product is faulty and need some spare to be changed. Now why should I accept a product which is already faulty. So pls get it replaced on immediate basis."
1,30-Jun-20,Very good product,Installation.Its benn 30 days since the product got delivered but installation isnt done yet.Poor customer support from both bosch ream and amazon support.
4,29-Jun-20,Faulty product delivered,Product is good and easy to operate
5,28-Jun-20,Installation issues,Working nice
3,27-Jun-20,Product is good,"Waste of money. It does not take water in a proper way. In one and half bucket of water it washes 7kgs. Worst. There is no option to add more water. The clothes were stinking. They are not as perfect as we wash with hands. We use more water to clean the clothes perfectly. It doesn't matter how perfect the machine works, if it doesn't rinse properly in good amount of water then it's useless.  Clothes are not perfectly cleaned when it does not take more water. Also you don't have choice to rinse atleast 5-6 times. It does not take more water.  It does not rinse more number of times. It handly takes half bucket of water to rinse so many clothes, which just wets the clothes, forget about rinse."
5,26-Jun-20,Good,"Good ,i am using it from last 6 months,no problem as of now."
4,24-Jun-20,Worst intake of water. Water intake is very poor.,Installation guy is very rude and didn't even answer our questions properly. Demo was very bad.
5,23-Jun-20,Good,"What else to say about a product that gives you its very best each time you do your laundry? It's a quiet performer you can blindly buy. It is easy to operate and it keeps families happy! The maintenance may be a little more expensive than competitors, but can competitors ever match Bosch? Before, Bosch we had an American brand which we didn't use much as it used to tear up our clothes. We bought our Bosch after a friend had recommended it. That guy had bought a second Bosch after the body of his first Bosch had completely rusted away. After having  our complete satisfaction with Bosch, the one bought from Amazon was for my in-laws. They are happy too."
4,22-Jun-20,Worst service by instalation guy,"Writing this review after using the machine for one week.Pro’s>> more programs>> good wash quality>> less noise>> can change RPM level>> can add clothes in middle of the wash>> quick wash program (15/30 minutes)Con’s>> worst installation and worst service>> worst call centre>> Make sure to buy a stand if your floor is not even, else the machine will vibrate a lot>> installation guy will try to sell more products. They charged 250 rs for a nob to fit the inlet pipe to the tap"
5,17-Jul-20,Machine is excellent. Service part needs to be improved. Front load saves water. Useful wash options available.,I have received the product on 15th july and the installation done on 17th july. So many people mentioned about delay in customer service. But i have not faced any such problems. Overall quality of the product is the best. Without any second idea go for it.
5,01-Aug-20,Machine is excellent. Service part needs to be improved. Front load saves water. Useful wash options available.,Noise level a little high but probably expected
1,17-Jul-20,Machine shaking,"I've bought model WAK24168IN. On Amazon it claims the programs such as Allergy Plus, Hygiene, Super Clean, Drum Clean. But what I got is the same model without these programs. Doesn't Amazon's own Cloudtail cheated me, with a mediocre model version. I researched and bought Bosch WAK24168IN based on these important features. Installation is still pending, don't know what more surprises, hope Cloudtail wouldn't have removed the components also. I could return, but carrying 2 floors of this heavy metal up and down without a lift refrain me from doing it. They also not delivered the filter, which is supposed to be part of the pack. Need to spend another ₹500 for the same. Cloudtail and Amazon are equal culprits."
5,17-Jul-20,Really worth every penny. Go for it!!!!,great onhe
1,14-Jul-20,Cloudtail and Amazon cheated me with this ₹30000 machine.,"Use less product, with in 2.5years of purchase two repair and finally inside drum is not working which is cositng 13k , can buy new washing machine. Don't buy bosch products, not value for money."
5,14-Jul-20,nice,Bulit quality
5,13-Jul-20,Worst product by Bosch,"Delivery was prompt, followed by installation by Bosch engineer. I got it delivered in 2 days and next day of delivery Bosch engineer visited my place and did the installation. Water input hose length is only 140CM so I paid 450 for extension hose which was available with Bosch engineer.Noise level is very low. It's just a week so can't comment on any issues."
4,12-Jul-20,Value for money,"Simply superb, worth every penny. Go blindly with it."
4,11-Jul-20,Good purchase,"Overall it is good, Easy to use, I feel its too small when compared to ifb and bosch service is pathetic"
5,11-Jul-20,Perfect product,Very low noise and I liked 44 min daily wash.
5,10-Jul-20,Happy with the purchase💰👐,Best product value for money 👍
5,31-Jul-20,Machine shaking,Very nice product. Great performance and completely value for money
5,30-Jul-20,Good,Bosch name is enough
5,30-Jul-20,"Very good product, go for it",Value for money
