Rating,Title,Review
5,Awesome,Good ac...go for it without any second thought......can cool   12 x12 size room within 5 minutes.....
5,Worth every penny,Very good quality and fantastic cooling performance
4,Good quality product,I had purchased Blue star split inverter AC 1.2 T on dated 17 July and its installed on 19 July 2020 for my room Size 110 sqft. Its not cooling my room and it's out door unit noising like a generator. It's very high noise. My neighbors are complaining to me for this.Very disappointed to purchaee this.
4,Pretty good,"This is a wonderful ac , it really consumed less power than most of ours contemporaries. Cooling is a bit slow because probably it's Not 1.5 Tn. Bluestar guys force you to buy there stand or else pay them 400 extra as their fixing charge though it's written free installation. They have told me whenever you uninstall and reinstall this at other home (since I was in transferable job) you have to top up gas , this sounds ridiculous. So beware of these points"
4,Really Nice,Good
5,Classy product,Better than other brands... If u can afford ogeneral go for that .. otherwise this one is best for 100sq feet room. Cooling is awesome design is super... Power consumption is ok because it's a 3 star product.
5,Super!,"wesome ac, suberb cooling, cools 100x110 room within 10 mins. If its raining then dry mode works well.Installation charges are way higher than mentioned. Please read what all is covered within installation.cant really comment on energy efficiency as the bill sent is estimated during lockdown days"
4,Delightful,This is worth. All are ok except power consumption. Kseb rocking moments  :-)
5,Just wow!,I ordered this product after a hell lot of research..Ac came in Time..next day installation...awesome product .Bluestar and flipkart rocks..Coolong bht mast 😃
5,Best in the market!,k good
5,Classy product,It is cute and awesome. Special fit where the room is small and you still feel that 1 ton would not give enough cooling.
5,Fabulous!,Love it
4,Wonderful,Superb
4,Nice product,"c is working good..bt technician claimed they took 1900,bt we actually paid 2100.."
5,Must buy!,"It is really good product,, cooling very nice and looking good to।।"
5,Perfect product!,Best cooling
4,Wonderful,Thanks flip kart
5,Terrific purchase,wesome
5,Terrific,xcellent product
5,Great product,Nice cooling and Best customer service from Blue star ac in Ahmedabad
5,Excellent,Very nice product
4,Really Nice,t 26° as well room gets really cool. Not so noisy. Installation was also quick.
5,Awesome,Its really good value for money
4,Worth the money,"I am writting this review after 2 months of usage.Positive points:--I got this for 26000 for the prize product is good..-Its efficient.. It consumes around 8-10 units electicity (but it is according to one's usage) -quickly cools my room, my room size 10/12.-remote has backlight.Negetive points:-- it's outdoor is not very silent sometime noise is quite disturbing.This is the major drawback of this product.If u r buying this product then install its outdoor as far as possible.- it's ..."
4,Pretty good,Best product
5,Classy product,It is good value for money
4,Delightful,Good product by blue star ❤️
5,Wonderful,very nice... 🤘🏻
5,Best in the market!,Good selection. Value for money
1,Unsatisfactory,Very poor
4,Wonderful,"big name in air conditiones Like Bluestar and I don't even thought for another brand while going for  this instantly.And after choosing this Ac I am happy that I haven't made any mistake.It cools like a pro, cools within 3 to 4 minutes after switch onDesign wise it's decent.Price wise it's more attractive than other brands.It comes with 10 years of Compressor warranty which is quite good."
5,Brilliant,It's the best chinese make AC i have ever procurred. Best in class cooling having logo of Blue Star.
5,Best in the market!,Goog
5,Great product,It's very good worth every penny
5,Highly recommended,Super cool & nice lookBest serviceThank you
5,Terrific,Using for a month now. Very effective for room size 10*15 ie upto 150 sq ft. Cooling is very good. Noice level is low. Very well delivered by flipkart.. Installation also done on next day of delivery charged Rs. 1500/-. I m very much satisfied...
5,Terrific,Simply superb.... value of money 💰....
5,Must buy!,value for money.
5,Wonderful,Very Nice
5,Just wow!,ust buy excellent
5,Just wow!,Very good product
5,Fabulous!,Satisfied with this product
5,Great product,"Perfect AC at Rs. 29,899/- Mindblowing pros -1. Perfect cooling of BLUE STAR2. RARE 1.2TON for medium rooms3. Energy saver Inverter technology4. Swing upto 180 degree5. ECO MODE FEATURE FOR ENERGY SAVINGLeast important con -1. Manual horizontal swing blade"
5,Great product,Good AC.. go for it
1,Worst experience ever!,Cooling not sadesfash
5,Must buy!,Just go for it I am using this ac from last 6months no complaints 👆blue star🌠⭐🌠🌟⭐🌟
4,Wonderful,Good product
5,Worth every penny,Very good product
5,Wonderful,Perfect AC for my 12*12ft room...look a bit smaller but cools up the room in just 3-4 mins. Best Inverter AC under 30k with a big brand name.
5,Terrific,Super &nice product from bluestar. Product was too good and cooling and design of the product was nice. We will except good products from bluestar in future also.thank u bluestar and flip kart .
5,Fabulous!,"Very good product. Am fully satisfied. But installation charges is very high, overall total installation charges I pay rs/- 2990."
5,Fabulous!,fficient cooling. Quickly cools the room. Very good features. No complaints in my 3 months usage. Really recommend it.
5,Mind-blowing purchase,"I got this AC on 31-07-2020 from Flipkart. Ac condition is very good  & no any dent on AC, the product quality is very good, very quick cooling. Indoor & outdoor units are looking so nice. I recommend to all buy this product . Thank you so much Flipkart for this nice Ac."
1,Very poor,Faulty product . installation so bad.and installation people  very bad so arrogant people .I will never buy single product from Flipkart .BAD INSTALLATION PEOPLE. AND AC
5,Terrific purchase,bsolutely great AC.Soundless and fast cooling.Awsome working.I prefer i best brand and best product.
5,Highly recommended,one day delivery Flipkart after one day installation hand 750 rupees installation charges another parts 850 rupees delivery boy and installation technician are so friendly 1.5 minute cool in my room 154 square feet size thank you Flipkart thankyou Blue Star such value for money product
5,Classy product,I always recommend to my friends also to go for blue star because of thier products and after sale service.
5,Worth every penny,"Nice look.... for 8*8 room it is more than enough. But I didn't got remote stand. Cooling is good. I feel option. Direct Option which let the swing to control, so that you can get cool air anywhere you want to.... Look - 5 star, value for money - 5 star ( I got it for 29,000), cooling fast - 4 star overall good product..."
5,Best in the market!,Nice ac
5,Terrific purchase,The ac looking to good and stylish & no doubt to purchase this product
5,Brilliant,Nice ac good installation
1,Useless product,Product is good but installation was worst
5,Awesome,Good cooling for a room size upto 150Sq ft. if the room is not at the top floor. Can't say about energy efficiency. If there are voltage fluctuations especially if the voltage is low then buy a non-inverter AC.
4,Value-for-money,Superb product in this price rangeBut Not as good as mitsubishi
4,Value-for-money,Product received but all of sudden Flipkart as well as Blue Star has cancelled the Installation and Demo. Very pathetic decision and totally mis management of commitment.
5,Worth every penny,Best ac now a day....room is chill within 10-15 min....
5,Excellent,wesome product and value for money.
4,Delightful,Product are good but installation engineer untrained. I'll suggest to choose any other options.
5,Terrific purchase,ll over good
1,Very poor,Product was good but worst installation guys. They made a big hole in wall and hole is particularly visible even after INDOOR unit installation. Also charging 200 rupee extra money from  what show in Flipkart charges. Blue star really need to look in to this to keep up their brand !!
5,Wonderful,Very good product
5,Terrific,Nice
5,Great product,"elivered within 48hours and installed on same date ,thank you flipkart and delivery partner Ekart ....Installer guys was very and nice... Installed in 2 hours...Installation charge was genuine. Remote design is updated... Cooling is very good"
4,Really Nice,Nice product.
5,Classy product,Best at its rangeGood service by flipkartFor immediate delivery during this lockdown time
4,Wonderful,Bluestar is no.1 in airconditioner...instant chilled...energy efficient & many more features ...superfast delivery and reasonable price offered by flipkart..thanks flipkart...love to buy products from flipkart
4,Delightful,"c is very good in terms of cooling, design and energy efficient. Delivery is slow. Installation is very slow and blue star should work on it."
5,Simply awesome,k
1,Utterly Disappointed,By mistake I gave you star rating otherwise  I will not  give 1 star I got this AC on 17 June but still no one come for installation and no provide any update on this. Even for installation they ask more money transportation cost and food cost. Shame on you Filipkart for planning and asking for cost very very shame
5,Terrific purchase,"very fast delivery and installation service. loved itits an indian company, so i am happy"
3,Fair,Cooling is descent but not an outstanding. A chill feel is not getting in 17/18 degree while checked. Rather a trustful brand.
1,Unsatisfactory,bsolutely pathetic experience
5,Super!,Good product thanks for blue star
5,Brilliant,"Good AC. Loaded with a lot of features. Cools room instantly. Occasionally noisy, but mostly silent."
4,Pretty good,"Very good product, noise free, quick cooling of room even in min fan speed, blue star is too good, delivery & installation fast & satisfactory. Allmost no sound in outdoor unit, bought it on FK freedom sale at 29000, power consumption not yet tested,                                        Goutam Dey, barrackpur kolkata"
5,Worth every penny,Nice product
5,Great product,"eviews for 2 days usase . Just go for it. Cooling of this AC is fabulous followed by some good features such as ""I Feel"" . Installation was also prompt and done by good techie. There is very less noise in outdoor unit. Would like to edit my review after a couple of month."
5,Just wow!,Very good
5,Terrific,Nice
5,Terrific,xcellent product very fast cooling for my room... temp 26 is enough for my room...After using of 1 month this review was given...Design is good and compact..Very low noise compared to fan... Out door unit also very low sound..Service person is also well knowledged and friendly...I'm very much satisfied...
3,Nice,"fter so many analysis I decided to bought this product because of brand name.First disappointment is , it's made in china product. I had a doubt, it's duplicate or not. I checked with bluestar service center and I confirmed it's a original product from bluestar and manufactured in china.If I would have know this is from China,then  I never order it.Second disappointment is, it's only suitable upto 10*10. My room size is 10*13 and it's taking more time to cool. Also, please go for 1.5 t..."
5,Great product,"I was not sure if 1.2 ton is enough for my 140 SQ. feet room. But it is more than enough. Turbo mode cools like a pro. Completely silent performance. Quick and professional installation. You can go for it without any second thought, if you have room of upto 150 sq. feet"
5,Great product,Best AC in 1.2 Ton Category. Cools my 12×12.5 room efficiently. Remote Quality Can be better. You have to out remote infront of AC to operate. Overall Value for Money.
4,Really Nice,Super product
5,Awesome,Good AC by Bluestar works very well. Awesome cooling
4,Very Good,Installation and it's material is very costly
5,Simply awesome,Perfect product
5,Just wow!,Good product flipkart. And vallu for money. 27500 good deal.
4,Really Nice,Good go for it
5,Excellent,"UST BUY PRODUCT!!Excellent cooling. Every parts of the unit is of superior quality.One of the Premium brand in AC , at such a low price, hence value for money..Comparatively very silent, compared to my others ACs of Hitachi.... installation could have been more smooth..scope of improvement in BS staff behaviour/need to understand customer's voice... otherwise bang on BLUE STAR!! ZERO Concern...."
4,Very Good,very good product.Value for money.
5,Brilliant,I am happy...
5,Wonderful,must buy product in my opinion. Plus it looks great on the wall.
5,Must buy!,verall good...
5,Worth every penny,The product is excellent and does the job very effectively and efficiently. Superb performance as expected from Bluestar. 5star product.Got the product delivered on time and installation was done very well and the staff was well trained to do all the installation quickly and was able to give a demo also.Very happy with the service
4,Delightful,Purchased on June 6th. Installed within 2 days. Cooking is good. Takes few 5-10 minutes to cool the entire room of 140 sq ft. Little dissapoimted to see that in the outer cover it is written made in China.
5,Brilliant,Very good AC 👍
4,Nice product,verything good as it's Blue Star. Need to mention that extra drainage pipe and heat insulation tape came with the package. But the quality of wall mount sold by installation guys is pathetic. It got bent during installation so reduced one star.
5,Terrific purchase,"Nice Product, super cool, super silent !!"
4,Good choice,Cool product
1,Very poor,"I have been using it for someday, and i dont feel it is upto the mark. After 24C it feels like fan, very very less cooling,My room size is 132 (11x12)sq ft, and after setting temp to 17 it took 30min to cool down temperature from 30C to 24C. I am disappointed. and not to forget it is a Chinese product, I searched the internet before i bought and i nowhere saw where it was mentioned that it is chinese one.I am really thinking of returning this product as Flipkart has full unit return polic..."
5,Wonderful,"I am satisfied with service, it is awesome product... I recommend to buy it."
5,Best in the market!,xcellent
5,Highly recommended,xcellent ac with great cooling
5,Mind-blowing purchase,Good
4,Good quality product,I gives you shivers in just 5 minutes on 24 degrees.. so we generally keep it at 26 degrees even in July.
1,Terrible product,The service men installed the AC but did not seal the holes in the wall. A lot of dust enters through the hole during storms. They charged full but did not do their work properly. Thumbs down Blue Star.
5,Worth every penny. And Cooling is awesome,C Cooling is very Nice. Almost near to 1.5 Ton and Its electricity consumption is lower than other AC.
5,Just wow!,"It's been 10 days that I have been using the product and therefore, I feel like I am in a place to give an appropriate review for the air conditioner. I am actually planning on buying a Voltas AC, but then noticed that this air conditioner has more features than any other in the market under 30k. I did a comprehensive study and this is what I recommend you should purchase.The delivery got delayed probably due to coronavirus lockdowns.Okay. Keep in mind not to open the product until the ..."
5,Mind-blowing purchase,Nice one
5,Terrific,xcellent brand with good features...Get cool &chill in just 1 minute...Installation was also good just next day of Delivery.Got this 28999 only
5,Wonderful,xcellent service by Flipkart. Delivered on time and installation within a day
5,Excellent,"elivery was before Time..but I struggle for installation and demonstration..but, when I complain to Flipkart and Blue star,they took action immediately finally they came for installation.. product is awesome, looks beautiful, cooling perfect..Nice product by Blue star.."
5,Terrific purchase,C service is superb but installation is so costly
5,Perfect product!,Super AC..go for it.. super cooling. Looks Cute and small but too powerful
5,Highly recommended,xcellent coolingFlipkart delivered the product on time and also installed before the estimated date fixed. I am very happy to say that it was a great experience with Flipkart for their all support. Blue star split ac is a excellent cooling system among all the ac products.
5,Excellent,Very nice 👍👌👌
4,Value-for-money,Not bad. Good cooling and stylish features.Blue Star is a brand for Air-conditioners Best product.I suggest you please must buy..
3,Good,Some dust smell is coming
5,Terrific purchase,Using it on 14*14 room... Good air conditioner with faster cooling... Bluestar as the name..
5,Terrific,Very goog
5,Wonderful,Cooling is best and few mintes cooling pasa wasula product. Happy ???
4,Pretty good,Got the AC delivered two weeks back. Delivery was hassle free and also the installation however cooling effect is quite okayish not something extraordinary.
5,Terrific,Nice product. had remote is issue but solved by exchange
4,Wonderful,This product not up down swing
5,Simply awesome,Very good 👌
5,Wonderful,C awesome but installation boy were not good.
3,Does the job,Its ok ok product not too much good. But it is value for money.
4,Good choice,No comments
4,Very Good,Nice product will buy it
5,Terrific purchase,very nice
4,Wonderful,Beat product from blue star
5,Perfect product!,"etailed Review  after 1 month extensive use.I am giving 5 star purely for ac's performance , energy consumption and value for money proposition, not for other factor like delivery and installation.I was looking for AC for top floor for room of 110 square feet.i have visited 2-3 branded store like Vijay sales n reliance-Chroma , everybody said buy 1.5 ton after hearing top floor and that time I was confused.But I go for my instinct and logic which is saying 1.2 ton will suitable and I bou..."
5,Mind-blowing purchase,"legant design, good product"
5,Simply awesome,Nice delivery done by flipkart  best in cooling and value for money
5,Simply awesome,Good product. Cools within 10 minutes in 135 sq ft room. Installation done for 750 (excluding stand)
5,Terrific purchase,good product
4,Very Good,Good product
5,Classy product,It is very good ac in this budget. I recommend to buy this ac. The design is very cool and good. It can cool your room in 2 minutes upto 120sq ft.
5,Great product,xcellent AC by Bluestar. Highly recommended.
5,Classy product,"I am giving this review after 1 & half month of usage.Pros1. Nice build quality2. Awesome cooling..!!!3. Trusted Indian Brand for Refrigeration sector4. Installation and demo is good5. Less price than other 1 ton inverter AC. Cons1. No horizontal swing,only vertical swing.2. Remote Battery not included in the box."
5,Super!,y room is about 90 to 100sqfit cools it in just 5 to 7 min Go for it
5,Excellent,Seems to be very great quality.Cools the 150 sqft. room in just 2 minutes.
4,Nice product,Good product
5,Terrific,Good product
4,Delightful,Good working and quality
5,Just wow!,The temp display act as a bedroom night lamp which can kept on or off as per your wish. Outdoor is robust build.indoor looks very simple with option for hiding temp display. Cooling is awesome with very low sound..
4,Nice product,c cooling is very very good but copper tube not length not suitable from home kindly extension from copper line from bluestar Ltd and the go to flipkart at the same time worst delhivery courier agent kindly change other courier to customer satisfaction first....go to this ac model awesome design thank to flipkart and bluestar brand...not thank u delhivery courier worstless.
4,Nice product,nice
4,Nice product,"Satisfied with the product.Installation is very fast, within one day."
5,Awesome,efinitely value for money Looks-wise it's impressiveNo noise I feel the cooling time is much longer than expected
5,Super!,No doubt blue star is a masterpiece in AC ...It's cools the room very fast and and energy efficient 👌
5,Super!,"Nice product, value for money, running good and it's getting cool with our target time only. We can buy this product."
5,Great product,wasome
5,Mind-blowing purchase,#_Amazing AC.   Cools like a pro   Advanced technology.   Best brand   Design and features are Cool  Over all I love it😍😍😍
5,Excellent,super cooling . go for it without any confusion.
5,Terrific,Wonderful product AC works super as expected
5,Highly recommended,Good
5,Super!,Very good product and also low price
5,Awesome,ac is good but installation is not satisfied
4,Good quality product,Super best ac under 35k catgory Price only 28 kSuper cooling Nice looking
5,Great product,wesome product
5,Wonderful,Super good AC. Bluestar is best
5,Terrific,a great product for below 30 k rupees. nice cooling i slept whole night at 30 deg.timely delivery by flipkart and good installation by blue star. it is better to go for this ac in place of 1.5 ton
5,Must buy!,It's a wonderful AC. Install it and you will forget the weather outside.
5,Simply awesome,Value for Money
5,Just wow!,"mazing product, value for money, delivery on time. Thanks to Flipkart"
5,Fabulous!,"Compact design, excellent cooling, good deal in flipkart , just amazing product,"
5,Highly recommended,Cools pretty fast. Direct swing angle feature is very effective to reach out at every corner of a room. The remote shows room temperature.
4,Very Good,Service and installation was excellent. Cooling is good but pinion regarding over all performance of the product can be given only after using for a period of time .Design and look of the product is nice.
5,Perfect product!,Superb cooling performance.Good Energy saving.Overall Excellent product.So fast delivery & instant Installation.
5,Awesome,I am reviewing after one month of using.Awesome cooling for my 10*10 room. Quick cooling1.2 ton at lowest priceThanks to flipkart
5,Just wow!,Fantastic service and working condition. Very reasonable price but flipkart delivery agent at vizag was not good but Bluestar installation service was very nice and well experienced.Thanks to Blue star.
5,Awesome,nice
5,Highly recommended,It cools room within 5 minutes.
5,Best in the market!,Very good product. I purchased it for Rs. 27249/- ( lowest in the market (my opinion )). Supply was very quick and installation within two days. Thanks to Flipcart and Blue star service.
5,Just wow!,its awesome
4,Very Good,Good
5,Highly recommended,"ne of the best AC's I have seen in the market.Wonderful cooling, energy efficient and amazing design especially the remote is beautiful."
5,Best in the market!,Budget AC
