Rating,Title,Review
4,Worth the money,I fixed in my hall which above 150 sqft cooling is good and very silent outdoor unit. Happy with purchase.
5,Fabulous!,xcellent AC. Go for it. Don't think about the negative reviews. Go at once. Speaking from my personal experience. No doubt value for money. Cools my 165 sq ft room easily within 5mins that too at temp setting 24. Go for it without thinking too much. And what a superb design it is. Not like any other ACs like boxes 😜
4,Very Good,This is my 2nd AC from Godrej as the first one i brought 3 years back. The first product was good and i didn't faced any issues for which i gained confidence to buy another one. Regarding this one the product has improved its quality and design. The cooling is perfect and the AC is very responsive to its function. Cools a 200sqft room in 15 mins (efficient cooling) but also depends how many items u have in your room according to that it will take time to cool.The eco mode is very helpful wh...
5,Perfect product!,Super amazing
5,Terrific purchase,"xcellent purchase. I am fully satisfied with my selection, product and service of Godrej."
5,Terrific,"Nice Product , Got it in rs. 36499 , installation was done by godrej team in rs. 599+18% tax , installation was very quick , just after another day of delivery. No follow-up was required , everything was automated by flipkart.Delivery of flipkart could be more faster as it took 5 days from payment to finally courier the product and after that transit time of 5 days, on 10th day product was delivered to my home. (although it was within the prescribed time) - 3.5 star for flipkart delivery, 1..."
3,Nice,WoW....Indian company selling chinese product...It's a Made in China Product....Would suggest buyer to go for Voltas ...
5,Wonderful,Product is awesome bt installation charge is very very high it took me around ₹2300 it's not done..... Anyways the product is super... Go for it👍👍👍
3,Does the job,"Installation charges are too high...their copper wire is too expensive and low quality, they charged us 10 thousand rupees for installation,  these people are like robbers, not expected this from godrej."
4,Worth the money,Nice Ac . Make sound nil . 4 days of usage. Its feel so pretty. No battery provided by Godrej for remote. No SOCKET PIN has been provided . After all its a good product
5,Wonderful,Value for money
5,Best in the market!,Super
5,Super!,"wesome, too cheap compared to local Godrej store, nice shipping & handling, perfect 👌"
4,Pretty good,Product is very good...but the installation team from cooling power(author service centre) totally disappoint me...the cooling power guy failed to show their identity....there method of work was also pathetic...even their behaviour was also not tolerable... they had done a total mess.
4,Good quality product.,Good quality and efficient product. No issues till now.
5,Best in the market!,"Godrej is always been a favourite when it comes to cooling. I must say this time I have not been a miser and invested good amount of money just to buy godrej AC. As I have used other brands also but since I'm using godrej AC from 2 years and got satisfied with the performance, I again bought I more this time with 5 star rating and inverter ac."
5,Must buy!,Cooling is great. Looking and designing is unquestionably excellent. Worth every penny.
5,Awesome,Best quality
1,Useless product,Worst product n service not functioning well...Waste of money don't buy
5,Great product,Works like a charm till now
5,Best in the market!,Good buy. Prompt installation service. But made in china. Try to manufacture in India
5,Must buy!,Very nice achi it's working really very nice..... ☺
4,Wonderful,This AC is working with very low voltage below 200 V.Working effectively and efficiently. I am happy with this.
3,Nice,"C is good, no doubt. But installation technicians were not so good at their work. They didn't bring many tools too. Didn't provide us with bill till now. Overall, AC is good, but installation thing needs to be eased and proper."
5,Must buy!,"I have purchased 4 AC ,20/10 COOLING ,20/10 AIRFLOWNICE PRODUCT AT 35000 RS ONLY ."
5,Brilliant,This ac gives best in class cooling performance
4,Wonderful,Superb
4,Wonderful,Very good product but installation of out door unit and tubing is not satisfactory.
5,Classy product,Good Product.
5,Super!,Kids are happy with the machine
