Rating,Title,Review
5,Highly recommended,Colling very fast good one
5,Classy product,Superb Deal
1,Did not meet expectations,Third class product don't buy
5,Excellent,very nice product by flipkart
5,Excellent,Nice cooling good product
5,Highly recommended,"Nice delivery system, excellent installation system, product is good."
5,Terrific,I am using ac for last 2days. It is value for money product . At that price it is the best ac . Installation person behaviour was decent he is nice guy . If you want new inverter ac then go for this
5,Just wow!,Good
5,Terrific,Good ac Must buy product
5,Excellent,Good product blue star.
5,Excellent,"Nice AC by blue star, cooling room in a  few minutes and looks awesome.thanks Flipkart for  timely delivered but installation could have been much better."
5,Must buy!,Superb cooling...nice product from bluestar...
5,Terrific,Nice product
5,Terrific purchase,eally It is a good AC. I recommend for this one.
4,Very Good,Good
4,Pretty good,"Nice product , with best quality and price ,"
5,Just wow!,"xcellent experience with Flipkart more than my expectations.super fast delivery, super fast installation service. Nice guys came for installation. Cooling superb with good function. I will give ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐ for all ."
5,Fabulous!,Very fine at affordable prices. 😊
4,Really Nice,Good
5,Great product,Good one
5,Wonderful,bsolutely amazing..
5,Mind-blowing purchase,Nice product
5,Terrific,This is the first time I ordered electronic product in any online format with lots of doubt but after receiving it I was surprised to see the product with Super packing like buying products in offline...  So what are you waiting and why are you wasting you money to buy with heavy price on offline...  Go for it as Bluestar is always Bluestar.
5,Simply awesome,"Blue star ac best in the market, awesome cooling n noise level is very low, my room size is 12*12 but cooling just 3/4 mints in 25 degrees... & also good installation service is provided by blue star..."
5,Mind-blowing purchase,Good ac low power consumption cool room in only 5 minutes not recommended as central ac desing very good hide display option very good in the remote
4,Delightful,Nice and good
5,Wonderful,excellent
5,Best in the market!,Worth every penny. Delivered on time. Installation was done properly and timely.
5,Awesome,wesome
5,Simply awesome,"xcellent, quick delivered, performance is very good, Temperature up/down steps is in 0.5 degree centigrade which is very useful for maintaing temp & fro energy saving. At 27 c0 , room turns into more than comfortable cooling."
5,Awesome,Bought AC for the first time and experience is very good....
4,Pretty good,Nice design. Cooling is good
5,Mind-blowing purchase,VERY G
5,Great product,"First of all on time delivery,secondly same day installationcooling is good, packing was good...it cools 160 sq ft room in 5 mins in 24 degree..looks good .. it will make yougo burrrrr in 10 mins🥶🥶🥶🥶outdoor unit bit noisy..remote has many features..blue star ac too good for cooling..go for it..good deal.. recommend"
5,Wonderful,Very heppy
5,Fabulous!,Good AC
4,Really Nice,"There is very good cooling and electrical insulation is also very low, nice product"
5,Terrific,Using for last one month...very happy with it
5,Perfect product!,Terrific purchase..Well cool. Chilling in just 4 mint.I am satisfied.😍😍😍
4,Worth the money,elivery was amazing and got the product within 3 days.. But... Installation guys come with 4 kids and there were hovering around my house in this pandemic situation.. i strictly as them to go outside also the charge supposed to be 750/- but he took 1000/- for installation (excluding wiring and stabilizer).... Over-all the Ac works as expected also cooling is great bluestar is known for its cooling....
4,Pretty good,Cooling is awesome
5,Super!,Good AC. Nice product. I got at 29800. Installation properly done.
5,Terrific purchase,xcellent choice if you select this air conditioner....
5,Wonderful,"Great Product , Thank you so much to Flipkart and Blue star , nice service and nice product so I will give 5 star rating"
5,Wonderful,Nice product and good installation Thanks
5,Fabulous!,Nice cooling from blue star AC
2,Slightly disappointed,Have this since June.. worst experience.. had to get in touch with customer care multiple time as the product gave insufficient cooling... It takes hours to cool the room even at 21oC..
4,Good choice,C is Best but service not like that at the time
5,Wonderful,Yes it's good to me 😊
5,Terrific,Good product
