Rating,Title,Review
4,Wonderful,eally good product
1,Terrible product,Not doing cooling well.
5,Excellent,Super ACDelivery was so safety and goodInstallation boy is too good behavior ias awesomeAc quality is soo awesome low unit energy billInstant cooling feature❤️❤️Love the product...Flipkart is awesome for online shopping ❤️❤️❤️❤️
5,Classy product,"Good AC, good Cooling, Prompt service by LG"
5,Wonderful,Best in performance and efficiencyFully satisfied .Best feature is Himalayas cooling mode cools the room in 10 min form 33 degree room temperature to 27 degree in just 10 min.
4,Good choice,ver all oky
5,Must buy!,wesome cooling
4,Delightful,Product is good but brand installation not done they have not called
5,Worth every penny,verything thing is good
5,Terrific,It's really good.... But remote showing in description is of 2020 model not 2019 models.. Please update it.... Wrong discrimination..
5,Best in the market!,Nice
2,Moderate,Huge noise from indoor unit
1,Terrible product,"The AC works good for 2-3 days, then stops cooling. On high cooling mode it is actually throwing hot air. One can not sit in the room when this AC is on. Do not go for this product, blatant looting of consumer money."
5,Super!,"Good product but the delivery is poor i get my indoor unit first and after a long inquary i came to know that my outdoor unit is left behind in hub and after five days they deliver me the out door unit.overall the ac is good but there are some pros and cons too.. Pros 90%1.cooling is verry good for my room 230sqfoot in 15 to 20 min. 2.less electriciety consumpsion on 26 degree.3.4 in 1 coolling ie, convertable to lesser ton capieciety according to needs. 4.low noise level indoor and outd..."
5,Must buy!,wesome ac
5,Fabulous!,Product is awesome. So cheap price. I got it 36500.and market price 43000.
4,Value-for-money,Nice
4,Value-for-money,Flipkart support- It's a value for money. I really appreciate this product. Product received in good condition. Installation was done within a week. Engineer support-Engineer support was not up to the marks. They were not fully equipped with tools. My appeal-Flipkart must take a note towards the engineering support.
5,Terrific,"Got it for 37k, a installation charge was 999 which i pretty much okay. AC was up to my expectation. A good deal i would say. Just go for it, don't think even twice."
5,Super!,Good for your pocket
4,Good quality product,"It is good, it will cool down after running long time."
5,Best 10/10,Flipkard is best option for purchasing productThanks Flipkard
4,Wonderful,installation was very fast and good... paid 1300 for it....but ac cooling is less as compared to my panasonic ac 1.5 ton...i think lg has focused more on power saving rather than cooling
4,Really Nice,Product quantity is good... nothing fancy...works ok....filter is in the top... service charges will be higher than other brands but support quality is good and seriously taken
5,Excellent,Cooling down day by day
5,Excellent,mazing product ...if your budget something 40k then must buy
5,Best in the market!,very fast shipping and delivery . noice level very low . installation cost very reasonable . i m pay 1800 for installation . my room size 100 sq feet . very fast cooling .
