Rating,Title,Review
5,Great product,Super A/C its bill also very affordable only 1unit whole day it cleaning also very good and simple also LG company gives you very better service my another ac that i buy about 10 years ago but it never need service also cooling was fine no doubt recommended to buy this!!!!!
5,Highly recommended,Its over a year of using this LG beauty and I’m completely satisfied by its performance. Zero noise as well.
2,Could be way better,1 am writing review after one year.. here are my opinion about the ac. 1.) Company free service is worst. They come and just clean the evaporator coil with brush. 2) 1 st year cooling was  Very good. But after one year cooling reduced to half...  3) Company did not provide out door unit stand. 4) company does not provide rubber insulation to cover cooling line which is made of copper.. this line must be insulated otherwise cooling efficiency will reduce.. as heat exchange will be done bef...
5,Fabulous!,Nice
1,Utterly Disappointed,Worst product I've bought so far. AC doesnt cool below 26 Degrees. Air throw is too little.
5,Awesome,C is just awesome. Use @25-26 celsius and at 40%energy saving mode and would not increase your bill much😄.Go for it blindly!!
5,Classy product,xcellent cooling effect and energy efficient
4,Nice product,Un happy small size
5,Fabulous!,"This AC doesn’t cools like chilling winter, it creates smooth,sweet environment when turned on such a unique feature.Its silent feature is simply awesome. The AC works very silently.Loving this.Hardly room temperature comes under 23 degree. The Himalayan Cooling is very good.Flipcart services very confusing,they first told me that the installation would be free of cost.However,LG services was awesome.They were quick to resolve my issue.Installation cost was 999/-.Must buy product in..."
1,Did not meet expectations,"Spoiled twice , and no longer built"
