Rating,Title,Review
5,Super!,Too good
5,Great product,Very nice machine and simple operating
3,Just okay,till date no person visited
5,Simply awesome,very good ✌✌✌✌
4,Wonderful,"Built quality good, performance good, easy to operate, very low noise. But, get sure about Bosch service at your area. It took very long time and I fade up with repeated installation request. Flipkart will not carry any responsibility after selling their product. Don't rely on Flipkart's information about regular installation in your area."
5,Terrific purchase,eally good product I fully satisfied
4,Very Good,eally happy with this product.
5,Highly recommended,Best I like it . No problem .. pure automation . Dry is completely good . Once dry you can war it directly
1,Waste of money!,Product is good but the washing quality and machine performance is average
5,Great product,xcellent
5,Mind-blowing purchase,Best Service from Bosch and flipkart.
4,Good quality product,Installation took sometime after repeated calls to customer care.. but happy that the looks and performance are good..Would like to see it's longevity..
4,Good quality product,Good design but plastic pipe for outlet should be more length
5,Fabulous!,Very nice product
5,Mind-blowing purchase,Very good performance
5,Just wow!,Very nice product
4,Good choice,I am satisfied this machine
3,Fair,ver all good but make load noise while drying
5,Awesome,Super machine value for money 💰
5,Brilliant,Very nice product
2,Not good,Perfomance is poor only because washing method is not good very slow. Top end don't buy go for permanant usage better to for front load.Top end cleaning also not much.About service means sofar i didn't get any problem. Once problem came then only we will know about service for online products.Over all my opinion better to go for front load wasing machine.
5,Super!,I am using fast for 2 years. Excellent perforation
3,Decent product,The filter is not as described. There is normal filter and drum instead of describe magic filter and drum . Machine work well but Flipkart has cheated on us.
5,Classy product,Good product and the delivery and installation was prompt
5,Mind-blowing purchase,Good
5,It does all the things as mentioned in its description.,"It does all the things mentioned in its description.Pros:Steel body. Excellent build qualityDoesn't make noise at all during Wash / Rinse / Spin cycle.Buzzer to indicate that task is finished.Separate tray for detergent /liquid.Water outlet pipe can be placed at left (default), right or BACK side as well.Rat mash also there5 star rated product so electric consumption also very less.decent length water inlet pipe and nice long electric cableNice auto locking top doorConsWater out..."
5,Brilliant,smart product with storming performance
5,Must buy!,Good product and on time installation by the Bosch technicians.
4,Nice product,"Product is very  superb, washing and drying all are excellent .I am highlighting  some issue which i faced.The first is the exchange policy. The guy who had delivered the washing machine his mind is set that we can't exchange your old product, even my old washing is in working condition, only some minor color is faded but he said this is rusting. There is no rusting at all and he also argued with me and rejected the exchange selection. So I pay an additional amount for this.The second is..."
5,Terrific,Good
5,Excellent,"Very nice and good product, posting after 3 months of usage, quality is very good and everything is working good. Best for a small family of 3-4. Just go for it"
4,Good choice,Nice product 👍 value for money
5,Wonderful,Wonderful
5,Highly recommended,xcellent
5,Wonderful,xcellent
5,Wonderful,Good washing machine ☺️
4,Delightful,This is really good for daily usage. its been nearly 6 months now and i found it nice. motor doesn't make much sound or no shake during spin which is very good.You can spend few money extra to buy this than buying some other brands. Also you can install it your self which is very easy than waiting for people to install.
2,Slightly disappointed,chine is not working after 2 weeks usage from the demo and installation done. Service team from Bosch is not responding quickly till now issue is not fixed Power supply and water inlet is not working properly.No one tool responsibility till now in fixing the issue.
5,Terrific purchase,"achine is just fantastic no complaints at all!Worth for money!I can say if you compare wash with  IFB and Lg this is the best.Only the thing which I didn’t like was the demo process and the person who visited, attitude was very bad!!"
5,Best in the market!,xcellent must buy
4,Nice product,Washing machine is good quality only water inlet pressure low
4,Good quality product,kkk
5,Excellent,Good design fast delivery
5,Brilliant,I did first wash. It was good without noise. I shall wait and see some more days before I come to conclusion.
5,Terrific,Good and best washing machine
5,Wonderful,r Bapi Sengupta install my washing machine properly and perfectly
4,Wonderful,Product is good bt auto on off problem means wash time is up
5,Terrific purchase,pprantly a good purchase decision
5,Classy product,nice and good product
4,Worth the money,Superb product.... Go for it without any second thoughts... I have been using it for almost 2years...
5,Great product,Grate Product
5,Best in the market!,"Super Quality , best for a mid range washing machine .MUST BUY"
5,Wonderful,Product quality and performance are very good. Only the issue is installation. Installation from bosch is worst. The person visited for installation is such an expert that after installing the machine with tap. He explained 1 minute about the product and how to use it. He just said (Click the power button and then click the start button thats it rest everything is taken care by the machine itself). If it was that easy what is the need of providing so many features. I wondered to see that he h...
4,Worth the money,No person reached for installation.
5,Terrific,"I bought this for my uncle, performance wise they are very happy. thank you BOSCH and Flipkart."
4,Nice product,Good product
5,Fabulous!,Very good product
1,Horrible,Worst Installation services by Bosch. Not coming on the said date. Technician switching off the mobile. Product good but service disappointed
3,Fair,Getting frequent E1 error
1,Utterly Disappointed,Not a great product.Got stuck in between
4,Worth the money,Nice washing machine. Good design & good system
4,Nice product,"Good, right time delivery"
3,Nice,Go for IFB since it's warranty is less than IFB and the drum looks less size than IFBThere is no option for express wash.In IFB there is option for express wash in 30min
5,Excellent,"mazing Product.They say in white color model of 7kg 704W0IN there is no Rat protection mesh.. i tell you this, it's there no worries. Only white color gives 10 years warranty on motar, grey color gives 3 years only.Sound is very low. Vibrations are next to none. They have mixed all variants of this machine on flipkart. So reviews are confusing here. Plastic Tub (base) is of plastic but Drum is steel so You won't notice the difference. No surf stains, very clean wash... Despite I tried 6 pa..."
3,Nice,"It too noise, but LG performance silent &clean"
5,Terrific,xcellent washing machine
4,Pretty good,Product is excellent But authorized technician said FLIPKART extended warranty is not for BOSCH company.
3,Decent product,No one for Installation & demo. Product is Excellent
4,Delightful,Worth buying and Delivery and support is excellent
5,Classy product,Best washing machine for small family👪
5,Best in the market!,Fantastic product with good range of price from flipkart . It's function awesome.if any one wanted to  buy  washing machine below 20 k then can go for it.
5,Perfect product!,Good
5,Wonderful,Worth of this price.
5,Terrific purchase,Superb
5,Great product,Good 👌🏼
5,Brilliant,It is very nice product . It is the best product for washing the cloths . value of money
4,Worth the money,Good product and quality. Thanks seller.Ideal for family of 4-5 people. Cleaning performance is very good.
5,Just wow!,Thanks for two days delivery by flipkart. Delivery person is also very nice person. Very nice Washing machine. Before it I have use Lg top load Washing machine. Bosch's wasing machine is also a good Washing machine. In comparison to Lg it takes very less time for Washing and also less consuming electricity. Washing quality is also very good. 7kg is also a very good size for 4 to 5 family person. The equipment is silence. Price is also reasonable. Overall performance is satisfactory. Thanks fo...
3,Just okay,"pplied for no cost emi via HDFC card, now hdfc started charging emi with interest and processing fees . Here it's displayed no interest no processing fees....Totally miscommunication going on....Don't know is it mistake by flipkart or by HDFC"
4,Good quality product,Prodact good but delivary an instalaton very bad
5,Super!,Nice 👌👍
5,Fabulous!,wesome product from BOSCH....Value of money
1,Did not meet expectations,Installation is yet to be done very disappointed Would update if found other issues
4,Nice product,Simply the best @ price
5,Worth every penny,It's to good product 👌
5,Highly recommended,Very good
5,Terrific purchase,Worth buying it.
5,Awesome,Nice
4,Good choice,Nice
5,Fabulous!,"Firstly I will thank flipkart for product and excellent delivery. The product is too gud, no physical damage found on the machine and it doesn't make too noise. Best buy under 16k."
1,Useless product,Useless product
5,Great product,good machine
5,Excellent,Good one. Go for it.
4,Worth the money,xcellent
5,Best in the market!,Good product and fast installation in just one day
5,Classy product,The best product I've bought so far. Highly recommended this . I think this is the best in the price range
5,Awesome,Nice product. Worth for all
4,Value-for-money,No hot water  option Relly ok with the performance
4,Very Good,"So far so good in regards to the Washing Machine. But not happy with the seller. Bad packaging. Additionally, installation guy was not that knowledgeable about the functions."
5,Mind-blowing purchase,Very nice service and very quick installation.Nice explanation of functions and features.Totally satisfied
5,Must buy!,It's worth for money 16k-17k
5,Simply awesome,It's surely a 5 rating service   Happy with the installation Nd demo from being too end by bsh team. Keep going all the BestMr.ramesh clearly explain demo...
5,Just wow!,Very nice 👍👍👍
5,Excellent,Great machine at this price
4,Really Nice,Good product.
4,Good choice,Timely delivered washing machine in this covid situation.. and functioning well and design is good... Installation only took lot of time..
5,Great product,"I am writing this review after using the machine for the last 6 months. Prompt delivery, same day installation. Trouble free working. Excellent Bosch product. Good buy."
5,Fabulous!,mazing Washing Machine I'm writing this after 1 year of usage trust me it's best
5,Fabulous!,Nice
4,Pretty good,Very good product at a very reasonable rate Little disappointment from Bosch service Else it’s highly recommended 👍👍👍👍
5,Must buy!,Good delivery and installation also very good. Very kind person mr. Vasudevan installed and demo. Good
5,Awesome,"Gets job done silently. Worth buying it. If at all you have a small family, then it's a perfect purchase. No second thoughts at all."
5,Simply awesome,good working..but getting noise while machine is running...
4,Value-for-money,Good nice
5,Worth every penny,"Gives a great wash, better than LG and Samsung washing machine at same price"
5,Super!,Good product. Helpful flipkart
5,Fabulous!,Value for money with brand
5,Excellent,Nice product..
5,Just wow!,Nice Product
5,Mind-blowing purchase,The machine I bought is about one month old now. No major concerns. We Installed it ourselves as we did not want anyone coming home because of covid19. It is good for a family of four people. Very large things may be difficult to wash in this and it would be better to opt for larger size. Even though it is manufactured in China. Bosch seems to have maintained strict vigilance on quality. Flipkart did an excellent job of delivering the product.
