Rating,Title,Review
5,Highly recommended,oney valuble
1,Unsatisfactory,"achine was damage, water not stop ,countin flow in machine, valve is problem"
4,Good choice,It's good product working smoothly
5,Highly recommended,I loved it this washing machine is budget friendly and works good and more over 5 star is not enough.
4,Pretty good,Good washing machine. At this price they should have included digital display.
4,Wonderful,Very good product shall be recommended
5,Simply awesome,wosome machine utilised heavy for one year and continue
4,Really Nice,Nice product
5,Terrific purchase,Pros: Look is great Value for money Trusted brandNo noiseCons:It takes 90mins to wash your clothes in cotton modeTips:Use washing powder depending on your number of clothes otherwise it will not wash your clothes properly
5,Great product,Just I want to say loved it in 20k budget this IFB machine is worth with features and company doesn't provide stand we have to buy it separately from IFB technician.
5,Terrific,Good Quality. But vibrates more
5,Must buy!,Good product within budget for small family..
3,Just okay,Installation is the worst experience
2,Expected a better product,ften getting error.
4,Wonderful,"good product, before you have a look at power consumption and go forward."
5,Just wow!,Supra
5,Excellent,It's simply superb
1,Worthless,IFB person cancelled demo himself and did not come for installation.
1,Don't waste your money,Flipkart is not take credibility to assure to get product in shown offer in its website.so do not belive on Flipkart by closing your eye as it say filpkart assured.i am worried till I get my product in offer price.wasted lots time and money. So be careful while shoping on flipkart.after placing order only seller and delivery agency deciced that you get product or not.Flipkart don't take any action for customer benifit.
5,Great product,Super 🥰😀
4,Very Good,"Good product ifb is good  ... But please improve demo section, not clear explanation for the all options"
5,Excellent,"eviews in my point of view👇Wash 95/100Inbuilt heater 80/100Inbuilt Voltage protection 100/100Sound/Noise 90/100Hardwater wash/Aqua energie 90/100Inbuilt voltage protection is useful for who has frequent voltage fluctuations. If your voltage decrease below 220V (-5) or increase above 240V (+5) machine automatically stop, once required voltage obtained it starts automatically and continue from where it left.Washing time on mixed fabric mode 1.45 hrs.Child lock is there.Recommend..."
5,Brilliant,Super
4,Good choice,Super prodect
4,Delightful,"There is no digital display,for this cost there should be a digital display,apart of that product was awesome."
5,Awesome,Super
5,Terrific,good product
1,Don't waste your money,Felt no difference between Top loading and this front loading. Better to buy any top loading
4,Worth the money,"eally a very good product, meets mine expectations.IFB is good brand by quality n performance we can easily go with it.  After an year of use I'm writing this review, delivery from flipkart is really good but installation was not a gud experience.Thanks ifb and flipkart."
5,Classy product,I purchase only 18500/- value for money Delivery on time and and installation on time machine is awesome thanks IFB
5,Wonderful,"I have used this machine for one week only. Please evaluate my review accordingly.In order to verify the power consumption, I had installed an energy meter & observed the followings,Cotton wash mode, cold wash used 0.15 unit electricity for a wash and warm wash used 0.35 unit. Didn't check Hot wash. It is 0.8 unit According to installer. Could be true from above experience. Water consumption is very low.The only draw back is that this base model doesn't have separate tray for softener. ..."
5,Simply awesome,Nice working
5,Terrific purchase,Going great as of now
4,Value-for-money,Liked it !
1,Horrible,"ecently I have ordered ""IFB Aqua Energy Front Load washing machine"" through Flipkart and which is delivered on 8th of this month.Technician suppose to come on same day(08-08-2020) but he said, he can not come that day and will come on next day and requested me that if someone from IFB and enquires about the status on installation, I should help him saying that  myself asked him to come on next day.He tried to cheat me in all possible ways to by different products from him. He doesn't see..."
5,Perfect product!,Super
5,Fabulous!,To uch taking time and not satisfied
5,Worth every penny,Best for small family
3,Fair,Their is no drain pipe in this washing machine
1,Hated it!,"Worst service,,, it's almost a month ,, don't buy any products on Flipkart"
4,Very Good,ngineer was hurry burry while installation and Demo. This too early to provide rating of  Performance and value for money. So that I giving 4.
5,Terrific,Go for it fabulous
1,Absolute rubbish!,"Washing quality is very very poor even after a program cycle of 2hrs. Return policy period is too low, because effectively you get only 8 days to return. No tray for blue and comfort, providing these trays is not at all cost effective for manufacturer. IFB lost its reputation. My uncle's Samsung top load is far better than this IFB front load. My mother and wife are very disappointed and they started using our old LG semi automatic washing machine. Don't buy this thinking that it's an ever lo..."
5,Simply awesome,kay
5,Simply awesome,Best brand of Washing Machine. Nothing can beat IFB in this segment.
2,Bad quality,Had received the machine with a dent.
3,Just okay,Worth product.. don't buy anything from IFB demonstration man
5,Simply awesome,product good quality
4,Good quality product,Product is good and delivered well in time by flipcart. But ifb service is not good. Installation happened after 10 days of delivery and after 10 to 15 calls to ifb.
1,Terrible product,I have used only 20 days Front Dors not working I want to change my Product
5,Awesome,Great Deal and Product
5,Wonderful,Good for value of my money
5,Must buy!,xcellent product with superb packing & timely delivery by Flipkart.
5,Highly recommended,"xcellent product,  value for money"
5,Just wow!,Nic product for 3 to 4 person Simply good ❤️
3,Does the job,2 less star due to Installation delay....machine works very nice...but the outlet pipe must be 3 meter atleast...I can go for it without thinking twice as our family is using IFB washing machine since last 11 years...
4,Good choice,"Nice product, value for money & nice demo and installation given by technician,  good behave of tech.5 star rated given."
5,Terrific purchase,Best product go blindly fr this machine if u are 3-4 people in home ...no need to consider any other washing machine
4,Nice product,IFB Mechine s awesome...But additional spares too much cost compare to market
3,Good,Valueble for the money
5,Highly recommended,100% worth
2,Could be way better,"Washing taking long time, each wash it was taking more than 1hour, don't waste your money, better take any other brands, not good not worthful"
5,BASIC & EASE TO USE,basic machine from best manufacturer IFB...easy to use for less known people like single button to select hot and warm mode instead of setting temperatures..ease to use800 RPM enough to dry..
5,Terrific,Very Nice..thank you flipkart 😍😍
