Rating,Title,Review
4,Very Good,Nice product
5,Must buy!,Its good product at resonable price thanks to Flipkart
5,Terrific purchase,I've been taking service of Mr. LG Fully Automatic Washing Machine for last three years and he never made us disappointment! He is a hard worker yet so silent. We need his service of regular wash every third day for our family consist of four and never escalated our water and electricity bills. No complaints still  with our 6.2 model and hence bought another one (6.5 kg) for my parents last week. Thanks flipkart for the timely delivery and installation.
5,Just wow!,Very nice washing machine
4,Good choice,couple of features are missing.
5,Just wow!,wesome product
5,Mind-blowing purchase,easy 2 use n Helpfull
1,Utterly Disappointed Don't Go for it,I am giving 1 Rating because there is no indication of how much liquid / surf we have to pour and all the surf is loading into cloths at a time. This will damage the top most cloths. After washing is completed my top most cloth is still contains surf. I have to wash it manually for removing surf in that cloth.
5,Simply awesome,"wesome product, thank you Flipkart"
5,Perfect product!,Product is super cool... Delivery also very good.
5,Mind-blowing purchase,Best washing machine for small family and for simple and fair usage .
5,Great product,It is very delicious for this price.  It is top brand.
4,Worth the money,"So for so good, only problem is service engineer not supported for outlet drainage passage..."
3,Nice,"achine is Decent for the price of 14500/- , easy to use. Only problem is the inlet pine, which is small due to which I had to spend extra money to buy 2.5m pipe."
5,Highly recommended,Good Product.
4,Really Nice,Superb
5,Highly recommended,1 No. Product
4,Good quality product,verall good
4,Really Nice,Great productGiving 4.5missing Smart door
5,Wonderful,Worth of money
4,Delightful,Good product
5,Awesome,Good Quality and very nice product after used. 5/5 star given LG compony Washing machine and thank you flipkart for wonderful product given to me.
4,Pretty good,goodproduct # nice design# best for selection
1,Not recommended at all,Looks like a defective machine has been delivered by Flipkart.The tub is not spinning at speed. Just rotating by few cms at slow speed. Also the timer displays total time as 1 hr and process completes in 3 hrs.Flipkart/Seller we are very disappointed by the product.
5,Just wow!,ld model
5,Simply awesome,Lg Good washing machine thankq Lg Very easy to Operate Fully Automatic
1,Useless product,dont buy washing machine in flipkart please its worst.machine program button was not working and return was cancelled installation and demo was not done after a month
4,Nice product,verything good
3,Just okay,"Pros 1. Price to value ratio is very good on this model 2.Smart  Inverter motor and energy efficient3. Above average spin speed4. Machine made for last longer 5. Very elegant, and simple to use functions 6. Comes with seperate softener and bleach dispenser. Cons :1. Flipkart delivery was very careless, 1 side is already have a bend due to improper handling , and there was no thermocol cushioning on that side also 2.  Slowly closing lid function is must for all washing machine with g..."
1,Terrible product,lectrical shock findout
4,Pretty good,wesome product
4,Pretty good,Nice product
4,Value-for-money,Nice washing machine but higher water head required more than 5m
5,Simply awesome,asy to use.
5,Just wow!,* This is value for money in 12k to 14k you get the fully automatic washing machine with 5 star Rating That's Amazing . * Perform Awesome If you Here from someone that you will not get the totally clean clothes So ignore them just use the Matic surf Or liquid. * Child lock is very Attractive feature for me and Build Quality is also attractive. If you purchase this and maintained quite good so you will use this machine for 10 years surely.
5,Just wow!,Value for money..
3,Just okay,I received the product 8 days ago still not come to install the product very bad..
5,Wonderful,Very good product.  Superfast delivery.
5,Fabulous!,elivery nd instalation services are good thanks for flipkart nd LG services...for product after using some time...
5,Excellent,"I don't know why people prefer other sites when flipkart actually is the best, washing machine was delivered well on time in good packaging. Delivery boy handled it really well and nicely kept it inside the house. Installation process was hassle free and the person explained us well. The machine looks good and compact, perfectly washing the clothes. Very happy with the purchase. Value for money under 15 k."
5,Worth every penny,Super washing machine with low cost just I bought 13208 only contain LG it's a brand
5,Super!,xcellent...
5,Terrific purchase,Super
5,Great product,Good product n good price .
5,Awesome,Very good product
5,Wonderful,Good
5,Worth every penny,nice product value for the money... always LG best for washing machine
4,Silent,Silent...Probably the only Top load washing machine with inverter motor in it's price range
5,Fabulous!,Good
2,Moderate,"ake no mistake, this is probably the cheapest and barebone entry level automatic washing machine. There is no air dry, no special features, the door doesnt have smart lock, there is no childlock. Very bare minimal programmes, very less options for self programming. There is no inlet for bleach etc, no seaprate compartment for additives like fabric cleaner. Overall it gets the work done. This model is atleast 2 to 3 yrs or more outdated and not a good buy for 2020. You will get much better op..."
4,Nice product,"Pros Product is good.Less noise. Delivery is good. Cons: If power cut happens and resumes, machine starts program from beginning. Don't belive in Exchange policy of flipkart. Rejecting for dent, rust. No value for old product here but here they are providing false promises in old product price. No old product is exchanged here, so while buying don't include exchange price in this payable price."
5,Simply awesome,"Worth of money super awesome,,,"
5,Must buy!,I have 8 Kg Lg Washing Machine And This 6.5 kg i buying for gift my sister and is super and easy to use just Go for it
5,Super!,Wonderful product. Fast delivery made by flipkart.This washing machine is really wonderful and I will definitely recommend this product to everyone.
5,Terrific,Hi this my review after one week usesEasy to use Nice designBest dealAnd most important brand LG
5,Mind-blowing purchase,mazing product very nice service of flipkart
5,Highly recommended,"Very fast delivery,and washing machine is working good."
5,Wonderful,The machine is very good and cleaning quality also good. Its clean all types of clothes very well. Must buy it.value of money.
4,Value-for-money,Quite good but not as expected q
3,Nice,Washing quality not upto mark. if you want use for classy use then go for it.if kids are there and some dirt  clothes are there Means.its not a good choice
1,Useless product,i took this product.. it is about 10 days they not yet demo and installed my product  too much unsatisfied with lg
5,Excellent,verything was perfect the delivery by flipkart as well as demo by LG executive perfect.. Flipkart has alwaz been customer centric site which strives to get satisfaction to customer. Keep up the good work👍
4,Nice product,Useful. Simple. Installation person is good.
