Rating,Title,Review
5,Worth every penny,Working good so far
4,Value-for-money,Good product
4,Really Nice,working good
2,Slightly disappointed,irt is not at all going no strong wash mode is available better go to other washing machine in the same budget
4,Worth the money,I got the dent on the machine
5,Worth every penny,Thank u Flipkart..
5,Simply awesome,No any call instillation demo time provide the company
5,Best in the market!,Super best budget
5,Great product,Good quality and fast service by samsung
5,Awesome,Best washing machine.Its wash quality is very good.Very low sound.Take's very less detergent.I am very happy to purchase this item.My grandmother is very happy also.I recommend you to purchase this.
5,Perfect product!,Value for money.
3,Decent product,on't bye
4,Good choice,wsome
3,Fair,Performance is good but body is delicate and rat mess is not good quality.
3,Does the job,Good
5,Mind-blowing purchase,Nice prduct... Thanx flipcard
5,Mind-blowing purchase,Good Value for money
5,Fabulous!,I am giving this review after 2 yrs of purchasing this...this is such an awesome product with affordable price...don't think much it is too good
5,Great product,xcellent working
2,Expected a better product,Installation problem
3,Good,Good
5,Terrific,"I am very happy with this purchase, I brought this machine in sale for 10,000 rs. Performance wise this is also good, many options we have like delay, monsoon, delicates, blankets etc.Hassle free purchase, demo n installation.Thanku samsung and Flipkart both...."
3,Just okay,elivery and installation was good. No dealy in installation. The beep sound is very low once the cycle complete. According to price segment buy another one for better service and time. Washing quality was not Hoti Mark!!
5,Classy product,Perfect product 👌
5,Terrific purchase,Good delivery service nd installation service is also good
5,Wonderful,Good quality
4,Pretty good,Best product
5,Must buy!,Good.
5,Just wow!,xcellent machine sleek design than the previous machine I used of Samsung. I experienced Samsung machine from last 10 years. Better service. Always go for it. SAMSUNG is SAMSUNG
5,Perfect product!,Good working
5,Mind-blowing purchase,Good
5,Great product,ind blowing awesome product
5,Wonderful,Good for light users and washing clothes normal. But no hot water wash available but for this price point can’t except that.
4,Value-for-money,Value for money
5,Must buy!,Perfect for small size family.. No issues. Go for it
4,Good quality product,Good
5,Excellent,Service team is fantastic.. Kudos to the team
4,Delightful,Good Product
4,Worth the money,Good
5,Mind-blowing purchase,mazing washing machine bought at super price... 😍😍🤘🤘Really happy with the product..
4,Delightful,"Very good product. Looks nice, low noise level and does its job well. Got it at 12K that even made the deal nicer."
5,Awesome,Gud product
5,Best in the market!,"The product i  personally feel is nice . It doesn't make any noise, neither it shakes much. it the best buy within this range.The installation guy was very humble and helped me install the machine on the same day of the delivery"
4,Wonderful,Nice product
5,Highly recommended,IF.. u r getting it under 14000....just go for it... Don't think... Best best.. Love it...
5,Must buy!,Satisfied with the purchase. Writing after 2 weeks of usage. Very less noise.. Waking is clean and neat. Got it for 12000 in big flipkart sale.. Go for it... Awesome fully automatic in this price segment....
5,Must buy!,Good product 👍
4,Wonderful,Highly recommended. I am using it from last 10mnths working properly even though adding extra clothes in it.
5,Classy product,"Fantastic product.After searching many washing machine...i finalised this because of Pricing and Durability,performance.  Excellent product..in this segment and pricing...Blindly we can go with this product...12years warranty.."
5,Mind-blowing purchase,"Works well without any problems ,plain and simple design."
2,Not good,"nly normal wash work correctly and when power cut in middle of wash it starts from beginning. Also if u want to do only resign or dry only that also not work,  you hv to start from beginning."
5,Simply awesome,completely satisfied
5,Classy product,If you choose for exchange Don't think that they will take the old product. They will take but it should not be rusted and It should be as new product My old machine was rusted so they did not take it
5,Mind-blowing purchase,good one
5,Terrific,Beautiful
5,Classy product,This is superb product from samsung.Fits in budget with all necessary functions.Must buy Most trusted brand.
4,Nice product,"Nice product, fully automatic."
5,Fabulous!,ne of the best I made
4,Worth the money,Very easy to operate and good working
5,Terrific,"Super product, delivered on time, installed before time, nice service given by flipkart and Samsung, thank you so much for your cooperation, however i would request you  that there should be add something in your replacement policy,( like if i want bigger machine of the same brand after delivery as well,)...kindly add to this ij your replacement policy, as i wanted 6.5kg machine but by mistake in ordered 6.2kg machine, after delivery i noticed that, but now there is no chance to replace this ..."
3,Just okay,Not properly clean .
4,Wonderful,"Well it u plan to buy a washing machine n are very confused, go for this Samsung washing machine I have researched a lot before finalizing itBest part is you can manually set the wash programs, and also choose if u only want to dry clothes with the Spin setting As automatic washing machines tend to use lot of water, so for now I am using it only for drying bucket load or clothes n it works like a charmVery easy to operateBest machine in this category*You may like to purchase an extra l..."
5,Great product,Great deal ...works amazingly well for me
5,Wonderful,Very good washing machine.
4,Good quality product,Very good
1,Unsatisfactory,Very bad experience.....just because of small issues exchange is not done....!!!.... Flipkart is really not understanding such things...!!
5,Terrific,"It is best w/m but it's take more water ,as am not expecting this much of water .nd take lot of time to wash clothes.But not bad at this price range 😁."
4,Value-for-money,"Liked this washing Machine, Flipkart service was too good. At present washing machine is working good. Will review after using some more days."
5,Best in the market!,xcellent product  at first it was so silent that I cannot imagine when I ordered the after one installation team has arrived very good and polite service
5,Super!,Value for money
5,Excellent,best quality  worth for money
4,Worth the money,Good
3,Good,INSTALLATION  is not goodEngineer not explained the function of washing machine. Further support from installation  engineer  iis bad
5,Mind-blowing purchase,"It's an year, using this machine and working perfect"
3,Just okay,"installation and demo was not on time. at the time of installation, he did not cooperate for puting stand."
5,Highly recommended,Working good and it’s second machine
5,Worth every penny,Good experience
4,Very Good,Great buy.
4,Good choice,Good
4,Good choice,"wesome machine,thank you flipkart, Gift to my mom and she is very happy."
5,Terrific purchase,Value for money... Does the job quite well as fully automatic top load washing machine. Got it @11k and it's worth the price. Delivery and demo was done same day and as scheduled.Point to be noted: Many washing machine offering 10-12 wash functions are also covered in this machine other way round.Only draw back in this machine which was observed that control panel is at front and can lead to water swepage while taking wet cloth out. It would have excellent if it would have been at opposit...
4,Very Good,Good product for small family. Very quiet washing machine. Almost no noise. Cleaning is fabulous. Would have given 5 star if the installation was fast but unfortunately it took a lot of phone calls to get the final installation date. Please try to do the installation within 48 hours from the product delivery date.
4,Pretty good,nice product. value for it
4,Good quality product,Nice washing machine... But the person who came to installation was fully commercial..
5,Super!,Naic  product  and amazing
1,Not recommended at all,Buy this machine only if you have water with pressure. I live in chawl amd we have 500 litre tank but machine is taking the water very slowly that it would take 5-6 hrs to fully fill the tank. We thought of supplying water through external pipe but that also gives error message and which nullifies the whole purpose of buying the fully automatic machine.you should note that we had wirlpool fully automatic machine that was working totally fine with same water tank. we tried the return policy si...
4,Worth the money,Comfortors cannot wash cleanly it's dis advantage Clothes can clean good and clothes r stiff like iron
5,Must buy!,"Its easy to use, u can self install it. Doesn't makes mucg sound. Sturdy and beautiful and highly efficient."
5,Just wow!,Nice machine worth
5,Wonderful,elivery is very fast and the delivery agent also very polite and humble.
1,Worthless,"I had purchased the machine in exchange offer, pick up person denied to collect the machine with some absurd reasons saying machine is rusty inspite of all working and physical conditions ok and qualified for return.I had to take machine by paying balance amount to him. He also collected extra Rs.100 for pick up without picking up the machine.Flipkart should take appropriate action for such issues else credibility would be lost soon."
5,Great product,xcellent
4,Nice product,Very good washing machine.I am happy with the purchase
5,Awesome,Thanks Flipkart
5,Classy product,"Good product..i got it at 11.9 k,its osm"
5,Great product,"I'm writing this review after using this product since last 3 month. This is the best washing machine by Samsung. Benefits : Very low consumption, Cleaning quality is good, No smell of detergent after wash & Very good quality of dryness (Have to dry 10-30 min after put it out from the washing machine). No headache to cleaning clothes. This is why the fully automatic washing machine recommended. Moreover, I'm satisfied with its performance."
5,Just wow!,"Nice product, bt problem with installation n demo"
5,Super!,Very nice product and working
5,Terrific,Very satisfied machine
5,Perfect product!,Good!
4,Pretty good,mazing washing machine. Installation engineering was not aware of any features so i was upset with this service provider. Otherwise washing machine is very good. Earlier I have Godrej washing machine. But after seeing this i think Samsung dimond drum is far much better than my old one
5,Just wow!,nice product .thank you flipkart for fast delivery.
5,Excellent,"asy to wash, easy to use, in one word the best product which I was looking for"
5,Just wow!,it's very nice and helpful to solve your problem.
4,Good choice,esign is good .. Value for money .. Only flip side is cleaning of clothes is not very good .. Not so strong in cleaning stains although using matic liquid as well as Vanish ..
4,Worth the money,Samsung washing machine doing great job.Thanks to Flipkart.
5,Highly recommended,good macin
5,Highly recommended,Great product for that price
5,Best in the market!,Nice for 3 people
4,Good quality product,Good for entry level Automatic washing machine.
5,Best in the market!,xcellent
5,Classy product,"Super design, easily used any person, I gifted to my mom she is so happy to use,Quick delivery , Insulation in Two days, Thank you Samsung , Flipkart and Ekart ."
5,Great product,ll is great but function i need (hard washing feature)
4,Pretty good,This one is excellent for small family.
