Rating,Title,Review
2,Could be way better,The machine does not clean the clothes properly..very poor performance.
4,Good choice,Good washing machine. I have solder model for 7 yrs. Am happy with even to day . Bought this for parents. Has a few more useful features . Worth buying.
4,Nice product,Washing machine is good and I have purchased on very reasonable price due to discount in compare to MRP.Installation from Whirlpool was also done on time.
4,Delightful,Good one
5,Awesome,Very easy to use good performance very good value for money
5,Must buy!,elivered on time.... Product working perfectly
5,Awesome,Value for money...
5,Super!,Too good
5,Excellent,Very nice Design And Color And Fully Automatically working in good Condition Looking Attractive
3,Just okay,But quality is not upto the mark
5,Fabulous!,Good colitis
5,Terrific purchase,Very nyc
4,Delightful,Good
5,Super!,Thanks flipkart so good product
3,Fair,"achine is good as it's supposed to be.. but ""water was collected in the box of machine"".."
5,Excellent,Great product. I was using whitemagic 123 before and  i am loving this version of Royal. The multiple wash programs are really very much useful and easy to operate.
4,Good quality product,Very best product
5,Just wow!,Good
3,Decent product,Good
5,Must buy!,awesome
5,Must buy!,"The product is very good nad at an affordable price.Flipkart delivered it on time.But the installation and demo process from Flipkart end was too slow and very annoying.After we chased continuosly for th installation, it was then actioned upon. So please check on this Flipkart team.Overall product is very good."
5,Classy product,it's nice
4,Very Good,gud product but the people for installation and demo are not in present yet its been a week till now and i just got a msg saying installation and demo is finished successfully ...
5,Awesome,Fantastic product Today only Installed. Fast delivery by flipkart and next day Installation by whirlpool is awesome and the installation guy is also very much helpful in explaining everything in detail. Overall very good service from Flipkart and Whirlpool..
5,Classy product,"Good product, timely installed by whirlpool service provider. I am happy with this product, and recommend for others. I got this for Rs.12,250/- with SBI card discount offer. Thanks Flipkart and SBI card."
4,Value-for-money,mazing project. But flipkart delivered the product with dents on it and took almost 20 days to replace. This was not expected from them
5,Great product,Value for money.. thank you flipkart for wonderful deal.
4,Good choice,esign was very good. Good product. Name
5,Terrific,"Good product, working good"
5,Terrific purchase,Very nice machine it's really gd for use any types of clothes
4,Pretty good,Good
4,Nice product,So classy and smooth wash..
4,Worth the money,Value for Money Useful for small families
1,Terrible product,Not good to wash heavyweight clothes
4,Value-for-money,"Good product, bought on Flipkart, performance is also good, I feel it’s value for money, hope they will improve little more with design and warranty period that’s a Question mark ??"
5,Classy product,Very good product..and the sender behaviour is very good..
5,Just wow!,Good
5,Perfect product!,"Initially I fear regarding on line purchase this product. Finally I win, excellent product."
5,Great product,"Nice product, I got it at price 10800 using sbi card."
4,Nice product,Nice
5,Terrific,Very good
4,Delightful,"eviewing product exact after 1 year. Product is good in this price and work well. When it comes to rating product, I would give it 5 rating. But for demo and installation, I would give only 1 rating, I had to take leave for 2 days from office, just for demo and installation coz service engineer didn't turn up on scheduled time. No support from flipkart and whirlpool too in this regards."
5,Highly recommended,Small vibration
4,Worth the money,Nice one
5,Simply awesome,Great deal and experience
5,Must buy!,Good product & value of money
5,Terrific,ost welcome love whirlpool
4,Good quality product,"The performance of the machine is good.... Vibrates more than Samsung. Clothes come out clean, the daily wash option is tough on t-shirts, damages the elastic."
5,Best in the market!,Pretty good for 3-4 members
5,Awesome,xcellent in working
4,Wonderful,"There is a reason for 4 star. Whirlpool no doubt is a good brand. But after using like 3 years, paint of washing machine will start fading. And they should provide solution to this. Though performance of machine is very good.This is my third purchase same machine. Please whirlpool team contact me and get me solution for fading paint."
5,Terrific purchase,Good product but costed 2000 extra for any filter and calling us everyday that give feedback should we give feedback daily it's not value for money costed 2000 extra for filter go with lg
3,Good,Nice
5,Excellent,Value for money product.. Less sound and easy to use.. I bought in monsoon sale around10591rs..buy it without any hesitation. 5star.
3,Fair,I bought it in June and in August it received a price drop. So I am extremely unhappy with this purchase. I will recommend others to buy the latest products only.
5,Great product,Best machine good build quality best performance. Good service installation and demonstration
5,Super!,Working very smooth
5,Great product,Nice product under 13k. Less noise . Easy to use
4,Nice product,super product
5,Must buy!,it's good
3,Does the job,k performance. Not good design
5,Simply awesome,Best product best price best service very good
4,Nice WM with aesthetic looks..,Very pleasing colour and nice features. Timely delivery. But the Installation and demo was pathetic. Have compelled to purchase the cover and WM stand.
5,Great product,Good product
5,Mind-blowing purchase,This machine is ausome... Price is less but quality is really good...
5,Super!,Nice product
1,Not working,defective product. Its not working
5,Brilliant,Very good & budget friendly washing machine
4,Nice product,Working great
5,Wonderful,superb for small family
5,Excellent,Such an amazing Indian brand product.The performance was at peaks I don't about the service team I think they respond quickly till now no problems let see that turn too......✌️
5,Super .. Fully satisfied,Nice. Must Buy.. Delivery and safety also gud.
5,Simply awesome,Value for money....performance  is all-round best..  👍👍
5,Fabulous!,"If you want a washinv machine within your low budget, then go for this..."
4,Pretty good,"Value of money. Bought in 10% card discount. Average performance. Just beware, installation engineer, try to sell you many items which are not required."
5,Just wow!,Perfect and compact machine does the job
3,Good,Good
5,Worth every penny,Good👍
