Rating,Title,Review
5,Just wow!,efinitely a good product
5,Mind-blowing purchase,xcellent washing machine 👍Value for moneyQuick deliveryQuick installationNice washingVarious modes5star
4,Wonderful,Very good machine 👍 and specially service boy is very good  and explain everything 👌
5,Terrific,Very nice product. Using it for last 1 month without any hassle. Samsung does justice to the money spent for the purchase. Thanks flipkart for the wonderful shopping experience once again..VALUE  FOR  MONEY  -  5   S T A R S
5,Mind-blowing purchase,Nice
5,Perfect product!,"Very good product. Delivered on time and demo and installation done within 2 days. Noise of the machine is very low. 7.5 kg plum machine does have a magic dispenser. See in picture.Very cute and compact machine, you can go for it."
5,Highly recommended,Simply Awesome
5,Great product,Washing machine was super but installation person behaviour is too bad he behave like rog
5,Terrific,Good
4,Worth the money,Good
3,Good,"verage machine. Wash performance is good but not a silent one. Motor is silent but lot of other noise. When the spin cycle starts it sounds like Enfield bike. I have a doubt on the durability. Also, you will not find this model in the Samsung website (seems this is the outdated model). Bosch is anytime better than this."
5,Brilliant,The machine is amazing nd I'm happy with the Flipkart service.
5,Wonderful,Good quality product. Washed clothes clean.
5,Great product,eceived Great Product from Samsung..Fast delivery with Fast Installation aswellTotally Satisfied Thanks Flipl
5,Highly recommended,Good product & Easy to use
5,Just wow!,"ust buyPrice less than market price,Great service installation and demo,5*"
4,Nice product,achine performance is excellent. Also the look is very good.  Very Easy to Operate. I have given four star due to poor demo by samasung executive. They are in so hurry that they only installed the machine and give you the basic demo. They do not provide the full information regarding the filter cleaning procedures etc. The 2 years + 5 years warranty written in description is wrong. It's 3 years + 10 years.Flipkart delivered the product on time and also installation was done just after ...
5,Terrific,Nice one
4,Really Nice,Good I am very satisified
5,Just wow!,Nice item...
5,Just wow!,Fully satisfied 👍🏻
4,Good choice,Work is fineModule is best all completely function available in this mechine
5,Great product,on't think if you are looking a good washing machine go for it
4,Very Good,Its great value for the price. Good performance👍
3,Good,Got a defective piece.After some time it shows 4C error which is due to the lack of water.But there is enough pressure of water from the pipe.But inside machine there is not sufficient water.Either defect in water valve or any other issues with machine.But service team of samsung is doing a good follow up and trying to rectify the error.
5,Classy product,Nice
5,Perfect product!,Perfect buy!Undoubtedly go for it for a family of 5-6 members
5,Classy product,Perfect Machine.
4,Very Good,Good product...
5,Simply awesome,Nice product
5,Terrific,Super
2,Slightly disappointed,"uring spin function, more vibration is coming and due to this machine is moving from the place....."
5,Classy product,xcellent product with good installation within time good service it’s enough for small family thank you
5,Fabulous!,"Best washing machine ever. Samsung ka bharosa...It comes with 3 year + 10 year warranty an superb performance. Zero noise and machine looks fabulous...Flipkart delivery,installation perfect.."
5,Just wow!,Super product
5,Fabulous!,Very nice product
4,Pretty good,k
5,Wonderful,wesome product
4,Very Good,Good product thank you flipkart
1,Waste of money!,Poor and cheap quality of service from samsung and flipkartWill update after using the machine.
5,Must buy!,First thanks to Flipkart. What a speed delivery and same day installation and demo has done. Amazing design and look. We are very happy to have this product. I recommend to go for this Product.
4,Pretty good,Nice machine
5,Super!,ore washing time
5,Terrific purchase,Super
5,Great product,Great product ..functioning well...Installation was done within 48hrs of delivery
5,Super!,Good in this price...
5,Best in the market!,No Magic Filter in this model
5,Terrific purchase,Nice product .... quick delivery and installation
4,Value-for-money,Samsung 7 kg 5 Star Inverter Fully Automatic Top Load Silver  (WA70T4262GS/TL)Works fine after 1 month of usage. Good product for the discount available.Just that it makes a bit more noise while spinning the clothes. Rest every thing is fine so far.
5,Great product,Nice products
5,Perfect product!,Terrific
5,Simply awesome,Thanks to Flipkart first  and machine was super and unique design created by samsung  delivery is ok ok but onthe same day of delivery technician demo was completed super fast one the same day and technician was tell detail process of washing clothes in this mechine 💯♥️
5,Highly recommended,Low power consumption
5,Awesome,Very nice product
5,Great product,Good product feom Samsung. If you are looking nearby 20.5k machine. Then go for it. Best part: digital inverter which makea less noise.
3,Good,"Smaller items like socks, kids clothes, gloves, underwear will get stuck in between the glass and drum space and will not rotate in the cycle. See the  picture."
5,Terrific,"xcellent washing machine , spinning wise the machine is much better than LG direct drive. Clothes will be washed with high speed and performance , even tough stains will get removed by this machine , my white turkey towel which will be in brown colour always , as I am not able to wash it with hand that perfectly , not it gained its previous colour because of this washing machine."
1,Very poor,Use after 15day the washing machine is not working
5,Fabulous!,"It's good machine , timely delivery and Installation on time"
5,Brilliant,Nice product
5,Best in the market!,wesome product. Value for money.  Thanks flipkart.
5,Classy product,Service is good and engineer came on time to installation
5,Perfect product!,Superb
5,Terrific purchase,Fine
5,Excellent,verything good I would like to go with big one I did small mistake
5,Perfect product!,Good for small family
2,Not good,Not installed till date
5,Must buy!,"Initial Impression is quite good. The drum size feels little bit small. However, hopefully it will wash 7~9 clothes at a time. Installation not yet done.I will update my review after use of one month"
3,Fair,"The washing machine good overall, but does fit enough clothes even though it 6.5kg product unlike compared to top load. Not eco bubble like advertised.."
4,Wonderful,"Good oneThanks to Flipkart ,,😄"
4,Worth the money,Superb product at this price
5,Must buy!,"I was looking for washing machine as my 16 years old LG  6 kg waser started making some  noise in spin. Since I already spent Rs11000 to service  twice during  past two years, decided to take the option of exchange.  Even though you get very small amount as exchange, you will not like to keep two washing machines occupying so much space.After delivery I was shocked to see the samsung 6kg drum size, it is exactly 50% less volume than my old LG 6kg.  I was puzzled and still not having any ans..."
4,Good Buy!,"The WM is very nice. I choose this because of space constraints, however... it is good in all aspects.Great Service from Flipkart and Samsung. On time delivery and demo."
4,Nice product,High cars may be
5,Super!,"Nice design machine by Samsung. wash quality is good , very silence operation,  thanks to samsung also flipkart for smart delivery"
5,Fabulous!,Super
3,Does the job,This machine don't have Eco bubble technology. Incorrect specifications. If this machine don't have Eco bubble technology then why Flipkart showing this technology in there specifications i don't know !!!
3,Fair,oesn't have magic dispenser and hydraulic door.
5,Terrific,Good working machine.takes heavy duty too.runs smoothly.
5,Must buy!,good
5,Highly recommended,"Very nice product...👌quality was just awesome and delivery of the product was also nice, no scratch nothing. Love this product..❤❤"
5,Wonderful,Super But color demej
5,Perfect product!,Samsung is very nice product
5,Super!,Good quality product nd Service. Thank you flipkart
5,Awesome,Nice product  4 person  bes washing machine
5,Fabulous!,colour is same as shown and product is running normal.
4,Nice product,Good product.Flipkart delivered on next day.
5,Simply awesome,mazing product by Samsung!
4,Worth the money,"Good product,I like it"
5,Terrific purchase,"The product is superb and value for money, i got it at 22k it's a good machine by samsung , dilevery and installation are good.."
1,Useless product,The installation was below average
5,Fabulous!,Good product
4,Delightful,Liked it very much..really good and no complaints till date..should check about drum clean after 40washes as it is just one month that I have taken this and then I can add more points to this
5,Great product,Best product under 20k
5,Mind-blowing purchase,k
