Rating,Title,Review
2,Bad quality,"Writing it after 4- 5 wash. One of the few top loads with inbuilt heater which is a must if you have kids at your home. It makes absolutely no sound and consume very less power. Features like child loock, anti bacterial wash, hydrolic cover are useful. Wash quality is good but not water saving as they claim. Overall product is good. Loaded with features, most of which are practical. Still , absence of dedicated softner  tray is disappinting. Multiple additional sensors are there but that does..."
5,Super!,Best design and good quality. Very satisfy.
5,Highly recommended,Today I've got this delivered so no reviews on how it works but the model and the design is classic and brilliant. The bes thing is it was a surprise for my parents and they liked it.
5,Worth every penny,"The purchase was smooth with the Flipkart. Received my product well on time. The installation was late though the customer service helped in resolving the problem. Its 10 days now using this masterpiece,no breakdown smooth functioning. The built-in heater is a addition which makes this product best in market. All features like power dry,allergn free wash are rare to see in any other washing machines."
5,Awesome,"verall product was very good....but disappointed that it doesn't has softner dispenser,smart detergent dosage.."
5,Super!,ne of the best products in this price range
5,Mind-blowing purchase,"I am very much happy with Whirlpool fully automatic machine purchased online through Flipkart. Moreover, Installation and Demonstration was very satisfactory and service person was very humble, knowledgeable and efficient."
5,Must buy!,Nice product
4,Nice product,Using it for last 10 days. Quite impressive. Works fine even in low water pressure.
5,Awesome,Very nice product with so much of new features.. I'm impressed with the flipkart service and whirlpool products
1,Did not meet expectations,Cost is very high....
4,Good choice,NYC Performance Can operate in Inverter but Pump is damaged when arrived now only leakage problem In pump. Service is good in my region but technician make fool 1st time. He said your water tap is not correct change it is leakage but other technician make the Pump. (ALWAYS REMEMBER IN DAMO FULLY CHECK YOUR WASHING MACHINE WORKING OR NOT THEN Give Bill to Technician)                                                      Thank you
5,Classy product,Wonderfull and xlent tanque filip kart
5,Must buy!,You can not ask for more.love it
4,Worth the money,Product was good. But Installation demo was not satisfied.. installation person has no demo knowledge on the machine controls.
5,Worth every penny,awsome service Thank you Flipkart.
4,Worth the money,"7 days have passed, used 5-6 times... working fine, no issues!Will complete my review after using it a few more times..."
5,Super!,It is really a good deal in this price...go for it without any hesitation... it's so amazing product with new features...
5,Simply awesome,"The washing machine performs pretty well, makes the least noise and vibrates only during drying. This model has an inbuilt heater and works really well. The ordinary dry quality is adequate. Coming to the looks, I haven't found a top load washing machine in the market which looks better styled than this model. The price offered by Flipkart at Rs. 24990 is the best rate in the market. I have visited retail outlets as well but the price is nowhere close to what Flipkart is offering. Coming to..."
4,Value-for-money,Good quality
