Rating,Title,Review
1,Hated it!,Installation is a huge issue for this machine. Got it week back and still it's kept uninstalled. It requires a specific adaptor which you won't get anywhere in market . The machine won't come with that adaptor. Now you are left with only option that is to order it and still that's uncertain that it will fit properly. Installation is a disappointment for this machine.
4,Wonderful,"In one word, I can define it as BEAST. It does its job very well. Just go for it (if you are looking for a quality product instead of budget) if you have a good water pressure, in my case, I have a normal water pressure on top floor of my 2 storey house, might be it requires more than what I have as a low water pressure indicator is always on. But the good thing is that this works as expected even in low water pressure. In future I will raise the overhead tank height, probably that will solve..."
5,Terrific,"Worth buying this machine, superb performance so far."
5,Just wow!,5 Star to Flipkart for Delivery and Installation Facilitation. The Bosch engineer was very friendly and explained all the features very well. Only took the tap attachment for the machine from him for 300 bucks. Did not try to sell anything else. Overall very happy with the purchase. The machine performs as advertised. Very silent and efficient.
5,BEST PRODUCT,BEST IN THE LINE OF BOSCH WASHING MACHIN
5,Simply awesome,xcellent product
5,Just wow!,Quick delivery and next day installation. Thanks Flipkart
5,Worth every penny,Nice so happy ❤️😍🥰
5,Perfect product!,Totally product Good...
5,Excellent,Good
4,Good quality product,achine is very good in performance.
5,Perfect product!,xcellent and great product by BOSCH. BOSCH is the Ace compony  of Washing machine product category. No one compete him
5,Classy product,xcellent washing machin..
1,Unsatisfactory,Hopeless product... Never expected such a service by Bosch and flipkart.
5,Fabulous!,"First operation super silent low noise, low water consumption and the clothes com out nice and clean."
4,Delightful,"I did a lot of research on different washing machines from all companies out there(the only 2 last standing were samsung and this bosch washing machine).I ordered this washing machine during lockdown period. There were some difficulties with the installation such as the person getting late or telling it late that there are some things that need to be installed on customer end, plus I also had to schedule installation again all on my own.It has almost been a month of using this machine and..."
5,Perfect product!,achine is working good and it exceeds our expectation. But makes some noise after few days.
1,Terrible product,No demo
3,Nice,achine cleaning process is best. When the motor is running machine create some notice. So I want replacement this product. Otherwise this washing machine is best valuable for the money.
5,Worth every penny,Worth of money
4,Value-for-money,wesome product Awesome performanceDeep silence Undoubtedly the very best product..BUT consBelt drive vs LG Direct drive Display is uneasy to see LG 6D motion It's not 5 star rated Hope LG is Technically advanced
2,Moderate,Price is too high
4,Worth the money,Working is excellent. Overall performance is good.
5,Must buy!,excellent German machine
5,Simply awesome,Silent machine.. and wash quality is very good..
4,Very Good,"Nice product. Less noise, machine vibrates only during rinse at the end of washing otherwise 5 star.Very good features."
5,Mind-blowing purchase,"xcellent model , great performance , competitive pricing by the seller and seamless logistics to deployment within 48 hours from order execution taking care of all precautionery Covid19 pre requisites, close co ordination by Flipkart team with Bosch service team . Overall very delighted customer..."
5,Classy product,awesome product. good installation team. value for money
4,Value-for-money,very smooth no vibration
5,Must buy!,Less noise or you can say zero noise. clear function so easy to use. Taking really less detergent even our LG machine was taking more detergent then this one.Anyone who is looking for a 8 kg washing machine should go for it without a second thought.
5,Excellent,"I have been using this amazing machine for 6 week now and i must say its super silence, supper intelligent, and super efficient."
4,Delightful,"Wonderful product from BOSCH i give only 4 Stars Because Some latest features were missing Compare to My All Time Favourite Brands LG,SAMSUNG That is Direct Drive Technology,Steam Wash,Extra Rinse Option are missing but on the other hand Unique Features are provided by the Bosch That Are Less Water Consuming,Express Wash etc.Finally im fully satisfied with this machine best machine on the Budget.BUT Be Carefully with Flipkart Free Installation and Demo Services they are not done installation..."
5,Terrific,"Best washing machines , 100% less noise and wash quality is excellent, works efficiently and demo and installation was also quick although purchased during these pandemic situation."
5,Excellent,We received order within 3 dayThanks for flipkart
4,Worth the money,"I purchased this product in flipkart in June 28th, 2020. The product delivered on 1st july and got it installed by Bosch technician on 4th July. The machine is very good and functioning nicely. So far verified 4 to 5 modes and all are working fine. However observed slight vibration/ shaking during spinning . This has to be Checked and observed further whether levelling problem of four legs or machine problem. Overall performance is good and recommended."
4,Worth the money,"Got this machine on 1st Jul 2020. So far so good. But there is one problem with this machine, it doesn't have a buzzer. If water supply is not on- no buzzer, when program is finished- no buzzer. I was using LG which has a very good buzzer to indicate issue or complete process"
5,Best in the market!,"Worth for money. It's really nice ,good, works"
