Rating,Title,Review
5,Terrific,"It's work fantastic, clothes are easily clean, operating is very simple..I m so happy thank you flip kart thanks LG"
5,Terrific,Good looking working also good and came expected date.
5,Classy product,Very very good excellent product thank. You flipkart
5,Best in the market!,arlier I used IFB for almost 7yrs. if I compare LG with IFB noise level are pretty low in LG also you have number of wash programs to choose especially 30mins quick wash is very handy and also quality of washing is better in LG
5,Terrific,Using for past 10 months. The machine is really fantastic  washing clothes is really excellent consuming less power and water. Purchased in big billion days for 25k. U can purchase it blindly .DONT GO FOR 2ND OPINION thats my suggestion
4,Pretty good,good LG product
5,Highly recommended,"3 to 4 people is it good,  for 5 people buy 8 kg machine."
5,Perfect product!,Very good service by Flipkart and the machine is very nice. It do very less noise during washing.
5,Super!,wesome product 👌👌👌
4,Worth the money,Very good
5,Classy product,Best quality washing
4,Delightful,"Cons-Tub is definitely small. Spin drying of clothes not upto expectations. My 17 year old top load was doing a better job with less than 700 rpm with much larger tub.Can't load clothes during washing cycleProsMinimal vibration and noise.Less water consumptionStill to assess wash quality.Compact size, only 44 mm depthQuick delivery and installation by Flipkart. The delivery guys and installation tech were in a hurry. Need to improve that. Thank you"
3,Decent product,Gud
4,Really Nice,"Good working, low sound to listen"
5,Highly recommended,Good and smooth
5,Classy product,wesome machin in compact size. Value for money product. Zero movement and zero sound. Only it feels its takes time more than normal.
1,Hated it!,ont buy from flipkart if you need the best
5,Perfect product!,Good woking
5,Mind-blowing purchase,Very nice product
1,Worst experience ever!,"Very very poor and bad service for installation ,"
4,Pretty good,it is very useful ............ nice design ...........clothes are washed very properly ...
4,Delightful,Go
5,Classy product,LG products are always good.... Work decently... No vibration sound.. good product.  And it is goot if it is shipped carefully..
4,Good quality product,"ecently purchased product, real assessment can be made at a later stage. After few months of use customer feedback can be made. It's too early."
5,Just wow!,So far really nice
5,Wonderful,Super delivery. No hassle with the demo. Service installation guy was however not interested in telling all the feature. I luv how silently the direct drive works. No viberations as of yet. Will update as the months go by.
5,Simply awesome,Very good product and Flipkart delivery also very first in lockdown period.
5,Awesome,"Good product ,no noise,smooth running oneday before his schedule installation and commissioning done by service engineer  ."
4,Good choice,Prodect is good
5,Simply awesome,Very good product.
4,Pretty good,Good washing machine good service by lg and fast delivery by Flipkart performance is too good but if your family is big more than 4 people go for 8 or 10 kg
4,Delightful,IT is a very good product.delievery was very bad
3,Decent product,"i cannot say amazing, excellent. its just okay for a family of 3-4. features are decent, but capacity is a concern"
5,Highly recommended,xelent performance no noice. Thanku flipcard
5,Highly recommended,Nice product.
5,Highly recommended,Super mind blowing purchase
5,Must buy!,working very good but Flipkart intal ok but demo not satisfied
5,Best in the market!,xcellent
5,Highly recommended,"Got this for 28k on sale.... Have been using for more than a month now, fully satisfied with the wash quality and silent operation of the machine.... No noticeable cons.... Recommended !"
5,Great product,Value for money
5,Perfect product!,"This is my long time review machine had Very good function for daily loundry. Works very well at all mode, good safety features"
5,Fabulous!,Nice products and good performance.
4,Nice product,good working washing machine... value for money..
5,Awesome,Good
5,Terrific purchase,"Great product, Great delivery, Fresh stock"
4,Good choice,ecent product worth 30k
4,Delightful,It's ok
5,Perfect product!,Good. Nice
5,Mind-blowing purchase,Nice product
5,Terrific purchase,Performing well as of now.
