Rating,Title,Review
5,Classy product,Very good
5,Just wow!,Nice product purchased itfor 28K on no cost emi. No problem yet. It's only 2 weeks so it's early to comment on anything. Will write in detail after a month.
5,Super!,Installation and demo not explained properly.....
5,Excellent,xclant product
1,Waste of money!,Very  very bad product don't buy this Chinese product the machine is defective and no response from Samsung.....
4,Nice product,1 year will complete now. Good performance till now and no problems found yet.
5,Worth every penny,The machine available  in only white color..  not looks good..
3,Decent product,"good machinebut the installation process from Flipkart and Samsung was late!and the time shows in a cycle is not perfect, it's much from the real time!"
5,Awesome,Good
5,Highly recommended,Best products
